"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1_K-1-24_1-E,1_01_55195"	"neg-Exp1_K-25-48_1-E,3_01_55198"	"neg-Exp1_K-49-72_1-E,5_01_55201"	"neg-Exp1_K-73-96_1-E,7_01_55204"	"neg-Exp1_K-97-120_1-F,1_01_55207"	"neg_Exp2_K01_1-C,1_01_342"	"neg_Exp2_K02_1-C,5_01_347"	"neg_Exp2_K03_1-D,1_01_352"	"neg_Exp2_K04_1-D,5_01_358"	"neg-Exp1_P-1-24_1-E,2_01_55196"	"neg-Exp1_P-25-48_1-E,4_01_55199"	"neg-Exp1_P-49-72_1-E,6_01_55202"	"neg-Exp1_P-73-96_1-E,8_01_55205"	"neg-Exp1_P-97-120_1-F,2_01_55208"	"neg_Exp2_P1_1-C,2_01_343"	"neg_Exp2_P2_1-C,6_01_348"	"neg_Exp2_P3_1-D,2_01_353"	"neg_Exp2_P4_1-D,6_01_359"	"neg_Exp2_P5_1-E,1_01_364"
""	""	""	""	""	" 640.3652"	""	""	""	"309.78191"	""	""	""	""	""	""	""	""	""	""	""	"0.000000e+00"	"8.860813e+01"	"4.092860e+02"	"6.705608e+01"	"1.277098e+02"	"9.868383e+01"	"8.871100e+01"	"1.190859e+02"	"1.480837e+02"	"4.420834e+04"	"4.602714e+04"	"5.026052e+04"	"5.780245e+04"	"  61354.3507"	" 11316.25963"	" 13174.84003"	"1.915434e+03"	" 14289.40539"	"9.437287e+03"
""	""	""	""	""	" 640.3859"	""	""	""	"293.27889"	""	""	""	""	""	""	""	""	""	""	""	"0.000000e+00"	"1.354338e+02"	"0.000000e+00"	"1.014611e+02"	"1.695512e+02"	"2.733060e+01"	"3.668280e+01"	"0.000000e+00"	"1.601280e+01"	"7.107497e+03"	"6.639890e+03"	"6.401514e+03"	"4.765720e+03"	"   5226.7860"	"  1603.54375"	"  3265.29850"	"5.055557e+02"	"  2678.80800"	"2.555277e+03"
""	""	""	""	""	" 641.3187"	""	""	""	"135.49578"	""	""	""	""	""	""	""	""	""	""	""	"1.029512e+03"	"7.362273e+02"	"8.511497e+02"	"9.219478e+02"	"6.560791e+02"	"2.234811e+02"	"1.954626e+02"	"2.941741e+02"	"2.017722e+02"	"4.095815e+04"	"3.463577e+04"	"3.272503e+04"	"3.453750e+04"	"  27153.2444"	"  3604.12974"	"  4407.21831"	"9.706467e+02"	"  8029.05399"	"3.836154e+03"
""	""	""	""	""	" 642.2812"	""	""	""	"187.74750"	""	""	""	""	""	""	""	""	""	""	""	"3.555793e+03"	"2.715751e+03"	"2.587256e+03"	"3.186570e+03"	"2.948221e+03"	"4.234927e+02"	"4.284946e+02"	"5.186382e+02"	"5.120760e+02"	"1.357048e+04"	"1.352650e+04"	"1.437905e+04"	"1.460876e+04"	"  11248.4172"	"  4492.73287"	"  4249.96668"	"1.994261e+03"	"  5228.33920"	"3.883694e+03"
""	""	""	""	""	" 642.3045"	""	""	""	"202.71863"	""	""	""	""	""	""	""	""	""	""	""	"4.981955e+04"	"5.261902e+04"	"5.111199e+04"	"5.169463e+04"	"5.674402e+04"	"7.170912e+03"	"7.314105e+03"	"8.315379e+03"	"7.746796e+03"	"2.831577e+04"	"3.115902e+04"	"3.158685e+04"	"3.675969e+04"	"  28006.7959"	"  4909.54085"	"  5728.68391"	"4.337772e+03"	"  5688.10237"	"5.604956e+03"
""	""	""	""	""	" 642.3406"	""	""	""	"255.95297"	""	""	""	""	""	""	""	""	""	""	""	"1.262834e+04"	"1.079097e+04"	"9.439981e+03"	"9.960498e+03"	"1.249899e+04"	"1.509997e+03"	"1.651050e+03"	"1.535348e+03"	"1.621810e+03"	"1.065280e+04"	"9.930758e+03"	"6.184586e+03"	"4.205760e+03"	"  10234.4475"	"  3336.36714"	"  2980.57887"	"1.713395e+03"	"  4272.54576"	"3.730974e+03"
""	""	""	""	""	" 642.7876"	""	""	""	"309.77516"	""	""	""	""	""	""	""	""	""	""	""	"9.109452e+02"	"9.726649e+02"	"6.114517e+02"	"4.690483e+02"	"6.695196e+02"	"2.063498e+02"	"1.600704e+02"	"1.834536e+02"	"1.440841e+02"	"2.419608e+04"	"2.798992e+04"	"2.605650e+04"	"2.475587e+04"	"  27495.0278"	"  3077.91427"	"  3811.72071"	"9.306073e+02"	"  4802.24721"	"3.450500e+03"
""	""	""	""	""	" 643.3063"	""	""	""	"204.84464"	""	""	""	""	""	""	""	""	""	""	""	"1.725245e+04"	"1.482174e+04"	"1.757834e+04"	"1.386736e+04"	"2.013504e+04"	"2.342582e+03"	"2.178495e+03"	"2.747747e+03"	"1.136827e+03"	"2.135414e+04"	"1.971863e+04"	"1.922868e+04"	"2.102245e+04"	"  18152.3033"	"  3527.55144"	"  4028.13378"	"2.462862e+03"	"  4623.36240"	"3.842714e+03"
""	""	""	""	""	" 644.0265"	""	""	""	" 23.01394"	""	""	""	""	""	""	""	""	""	""	""	"3.838409e+02"	"3.295842e+02"	"1.887190e+02"	"3.220868e+02"	"3.403682e+02"	"2.281451e+02"	"1.254480e+02"	"7.707042e+01"	"1.937899e+02"	"8.404366e+03"	"5.333461e+03"	"5.281109e+03"	"5.882647e+03"	"   4151.2841"	"   874.29820"	"  1059.37931"	"2.698616e+02"	"   741.04589"	"8.460996e+02"
""	""	""	""	""	" 644.2395"	""	""	""	"420.06654"	""	""	""	""	""	""	""	""	""	""	""	"1.283908e+04"	"1.879188e+04"	"2.110375e+04"	"5.198030e+03"	"2.090769e+04"	"6.416244e+03"	"5.879121e+03"	"7.818709e+03"	"7.116257e+03"	"0.000000e+00"	"1.057026e+03"	"4.279174e+02"	"3.385632e+03"	"   3219.6168"	"  1793.47391"	"  1862.48880"	"5.960901e+03"	"   160.39601"	"5.548440e+03"
