"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_Exp1-K1_2-C,1_01_7421.d"	"neg_Exp1-K2_2-C,3_01_7423.d"	"neg_Exp1-K3_2-C,5_01_7425.d"	"neg_Exp1-K4_2-C,7_01_7427.d"	"neg_Exp1-K5_2-D,1_01_7429.d"	"neg_Exp2-K1_2-E,1_01_7432.d"	"neg_Exp2-K2_2-E,3_01_7434.d"	"neg_Exp2-K2_2-E,3_01_7438.d"	"neg_Exp2-K3_2-E,5_01_7436.d"	"neg_Exp2-K3_2-E,5_01_7440.d"	"neg_Exp1-P1_2-C,2_01_7422.d"	"neg_Exp1-P2_2-C,4_01_7424.d"	"neg_Exp1-P3_2-C,6_01_7426.d"	"neg_Exp1-P4_2-C,8_01_7428.d"	"neg_Exp1-P5_2-D,2_01_7430.d"	"neg_Exp2-P1_2-E,2_01_7433.d"	"neg_Exp2-P2_2-E,4_01_7435.d"	"neg_Exp2-P3_2-E,6_01_7437.d"	"neg_Exp2-P4_2-E,7_01_7439.d"	"neg_Exp2-P5_2-E,8_01_7441.d"
""	""	""	""	""	" 462.04022"	""	""	""	" 215.35368"	""	""	""	""	""	""	""	""	""	""	""	"2.993034e+02"	"5.402376e+02"	"6.442737e+02"	"8.140247e+02"	"1.724195e+02"	"4.322808e+02"	"5.162580e+02"	"3.861061e+02"	"1.223945e+02"	"1.160319e+02"	"2.779570e+03"	"1.111198e+03"	"2.491007e+03"	"9.842227e+02"	"1.349706e+03"	"1.637097e+03"	"   1623.4432"	"1.337705e+03"	"1.272289e+03"	"1.328584e+03"
""	""	""	""	""	" 462.09219"	""	""	""	" 293.55618"	""	""	""	""	""	""	""	""	""	""	""	"3.637337e+05"	"2.503861e+05"	"2.607952e+05"	"3.118184e+05"	"4.954252e+04"	"1.876020e+05"	"1.954249e+05"	"1.976323e+05"	"1.701943e+05"	"1.633947e+05"	"1.260766e+06"	"8.119513e+05"	"9.056735e+05"	"6.158566e+05"	"5.821977e+05"	"6.714772e+05"	" 541892.8105"	"6.051670e+05"	"5.296920e+05"	"3.197206e+05"
""	""	""	""	""	" 463.04785"	""	""	""	"  75.89887"	""	""	""	""	""	""	""	""	""	""	""	"2.833906e+04"	"1.663845e+04"	"2.017668e+04"	"2.808202e+04"	"3.740576e+03"	"5.162203e+03"	"1.120775e+04"	"1.183712e+04"	"7.586367e+02"	"7.513004e+02"	"1.333845e+05"	"6.154956e+04"	"1.033240e+05"	"2.464156e+04"	"4.823671e+04"	"9.284697e+04"	"  49927.4565"	"6.270406e+04"	"6.632707e+04"	"6.268561e+04"
""	""	""	""	""	" 463.09525"	""	""	""	" 293.56041"	""	""	""	""	""	""	""	""	""	""	""	"6.900699e+04"	"4.788532e+04"	"5.051969e+04"	"6.112347e+04"	"9.801537e+03"	"3.693781e+04"	"3.771436e+04"	"3.698978e+04"	"3.239886e+04"	"3.282416e+04"	"2.391561e+05"	"1.542771e+05"	"1.733928e+05"	"1.205375e+05"	"1.156713e+05"	"1.323258e+05"	" 106089.2630"	"1.164164e+05"	"9.888573e+04"	"6.175257e+04"
""	""	""	""	""	" 463.08143"	""	""	""	" 201.13366"	""	""	""	""	""	""	""	""	""	""	""	"4.220290e+03"	"4.006068e+03"	"3.510263e+03"	"3.791083e+03"	"3.485558e+03"	"4.314999e+03"	"4.844533e+03"	"3.230948e+03"	"3.716089e+03"	"3.626516e+03"	"1.129903e+03"	"1.222515e+03"	"1.501249e+03"	"1.298260e+03"	"1.773411e+03"	"2.574706e+03"	"   1816.6929"	"1.648195e+03"	"1.391112e+03"	"1.467847e+03"
""	""	""	""	""	" 463.14483"	""	""	""	" 272.05763"	""	""	""	""	""	""	""	""	""	""	""	"3.061932e+05"	"1.473766e+05"	"2.734042e+05"	"2.422664e+05"	"8.174968e+04"	"1.660398e+05"	"1.637856e+05"	"1.638477e+05"	"1.070779e+05"	"1.024424e+05"	"5.911136e+05"	"4.456145e+05"	"7.981415e+05"	"7.474324e+05"	"7.292455e+05"	"1.574303e+05"	" 267992.9745"	"1.421000e+05"	"3.202327e+05"	"2.496821e+05"
""	""	""	""	""	" 463.14442"	""	""	""	" 282.34389"	""	""	""	""	""	""	""	""	""	""	""	"1.561871e+05"	"7.444768e+04"	"1.531231e+05"	"1.398738e+05"	"4.733097e+04"	"9.451959e+04"	"9.018228e+04"	"8.709966e+04"	"6.001665e+04"	"5.944562e+04"	"5.313778e+05"	"4.497926e+05"	"6.618969e+05"	"5.379740e+05"	"5.730174e+05"	"1.217608e+05"	" 263645.7796"	"1.642656e+05"	"2.780232e+05"	"2.496094e+05"
""	""	""	""	""	" 463.21679"	""	""	""	" 355.47511"	""	""	""	""	""	""	""	""	""	""	""	"4.632522e+03"	"2.159278e+03"	"1.628383e+03"	"1.819826e+03"	"7.741463e+02"	"1.422997e+03"	"2.049196e+03"	"2.294866e+03"	"1.613177e+03"	"1.176468e+03"	"9.729501e+03"	"4.248980e+03"	"6.536633e+03"	"2.890594e+03"	"5.279250e+03"	"4.152119e+03"	"   3655.3369"	"4.027827e+03"	"3.626266e+03"	"3.227877e+03"
""	""	""	""	""	" 463.25073"	""	""	""	" 387.09897"	""	""	""	""	""	""	""	""	""	""	""	"1.462288e+03"	"2.094290e+03"	"2.213785e+03"	"2.325289e+03"	"4.461338e+02"	"8.913691e+02"	"1.249068e+03"	"1.307791e+03"	"1.151909e+03"	"1.786226e+03"	"1.805443e+03"	"1.569686e+03"	"1.545976e+03"	"1.086291e+03"	"1.439056e+03"	"1.017366e+03"	"   1386.1482"	"1.920549e+03"	"1.580790e+03"	"4.772099e+02"
""	""	""	""	""	" 463.23476"	""	""	""	" 415.91397"	""	""	""	""	""	""	""	""	""	""	""	"1.704139e+03"	"1.005661e+03"	"1.137902e+03"	"1.501244e+03"	"2.481346e+02"	"9.129861e+02"	"7.925393e+02"	"1.029694e+03"	"8.267713e+02"	"8.624569e+02"	"2.357772e+03"	"1.262317e+03"	"2.042715e+03"	"1.749715e+03"	"1.260477e+03"	"1.254002e+03"	"   1112.0974"	"1.157843e+03"	"1.929335e+03"	"1.223538e+03"
