"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1_K-1-24_1-E,1_01_55180"	"pos-Exp1_K-25-48_1-E,3_01_55183"	"pos-Exp1_K-49-72_1-E,5_01_55186"	"pos-Exp1_K-73-96_1-E,7_01_55189"	"pos-Exp1_K-97-120_1-F,1_01_55192"	"pos_Exp2_K01_1-C,1_01_365"	"pos_Exp2_K02_1-C,5_01_370"	"pos_Exp2_K03_1-D,1_01_375"	"pos_Exp2_K04_1-D,5_01_381"	"pos-Exp1_P-1-24_1-E,2_01_55181"	"pos-Exp1_P-25-48_1-E,4_01_55184"	"pos-Exp1_P-49-72_1-E,6_01_55187"	"pos-Exp1_P-73-96_1-E,8_01_55190"	"pos-Exp1_P-97-120_1-F,2_01_55193"	"pos_Exp2_P1_1-C,2_01_366"	"pos_Exp2_P2_1-C,6_01_371"	"pos_Exp2_P3_1-D,2_01_376"	"pos_Exp2_P4_1-D,6_01_382"	"pos_Exp2_P5_1-E,1_01_387"
""	""	""	""	""	" 125.0416"	""	""	""	"  38.04202"	""	""	""	""	""	""	""	""	""	""	""	"9.383100e+04"	"9.963226e+04"	"9.429563e+04"	"8.224368e+04"	"9.327671e+04"	"2.353504e+04"	"2.507088e+04"	"2.529716e+04"	"2.334026e+04"	"4.075766e+04"	"2.736221e+04"	"2.830016e+04"	"2.925576e+04"	"3.120339e+04"	"1.895873e+04"	"1.483717e+04"	"1.485765e+04"	"1.006412e+04"	"1.353990e+04"
""	""	""	""	""	" 125.0585"	""	""	""	" 130.64425"	""	""	""	""	""	""	""	""	""	""	""	"7.834031e+03"	"1.456893e+04"	"9.977923e+03"	"1.169013e+04"	"1.638900e+04"	"5.239389e+03"	"7.751077e+03"	"7.880373e+03"	"6.799344e+03"	"3.171800e+03"	"3.098316e+03"	"3.565122e+03"	"5.338325e+03"	"2.536466e+03"	"1.456901e+03"	"1.556998e+03"	"4.530252e+03"	"1.646332e+03"	"2.088725e+03"
""	""	""	""	""	" 125.9848"	""	""	""	"  20.84174"	""	""	""	""	""	""	""	""	""	""	""	"4.585089e+03"	"1.157711e+04"	"8.767830e+03"	"1.136380e+04"	"1.271873e+04"	"5.535123e+03"	"1.369120e+04"	"1.319426e+04"	"1.357999e+04"	"2.688365e+04"	"2.960516e+04"	"2.949825e+04"	"2.886359e+04"	"2.874357e+04"	"3.116308e+03"	"8.806661e+03"	"1.205544e+04"	"1.102537e+04"	"8.934664e+03"
""	""	""	""	""	" 126.0364"	""	""	""	"  65.65353"	""	""	""	""	""	""	""	""	""	""	""	"3.534532e+04"	"4.936931e+04"	"3.804168e+04"	"4.519807e+04"	"5.371990e+04"	"3.956712e+04"	"3.004859e+04"	"2.537904e+04"	"2.617193e+04"	"4.394612e+04"	"4.403035e+04"	"3.878018e+04"	"4.307462e+04"	"3.865957e+04"	"3.451216e+04"	"2.955771e+04"	"2.785437e+04"	"2.494532e+04"	"2.867374e+04"
""	""	""	""	""	" 127.0383"	""	""	""	"  82.12176"	""	""	""	""	""	""	""	""	""	""	""	"5.100522e+04"	"1.504374e+05"	"6.537276e+04"	"8.442557e+04"	"1.097980e+05"	"1.142069e+05"	"1.583606e+05"	"1.494776e+05"	"1.600508e+05"	"1.810467e+05"	"3.601063e+05"	"2.428179e+05"	"3.068472e+05"	"4.303752e+05"	"1.495510e+05"	"2.342584e+05"	"2.266657e+05"	"3.327247e+05"	"2.420293e+05"
""	""	""	""	""	" 127.0482"	""	""	""	"  74.00280"	""	""	""	""	""	""	""	""	""	""	""	"1.799767e+04"	"3.054897e+04"	"2.303047e+04"	"2.148980e+04"	"2.838833e+04"	"5.081221e+03"	"7.035096e+03"	"3.632869e+03"	"5.074692e+03"	"1.214608e+04"	"3.146962e+04"	"1.874791e+04"	"1.366840e+04"	"1.386718e+04"	"2.790473e+03"	"4.383003e+03"	"4.015604e+03"	"5.941624e+03"	"4.008364e+03"
""	""	""	""	""	" 127.1107"	""	""	""	" 405.78135"	""	""	""	""	""	""	""	""	""	""	""	"7.390486e+02"	"2.246048e+02"	"3.338720e+02"	"5.610638e+02"	"2.924680e+02"	"6.840167e+01"	"8.876716e+01"	"1.001267e+02"	"8.675911e+01"	"8.824520e+04"	"9.143106e+04"	"8.755617e+04"	"6.406060e+04"	"5.772906e+04"	"1.730808e+04"	"1.701239e+04"	"4.685281e+03"	"3.062982e+04"	"1.198857e+04"
""	""	""	""	""	" 127.1105"	""	""	""	" 304.33176"	""	""	""	""	""	""	""	""	""	""	""	"4.024067e+03"	"5.977399e+02"	"1.227188e+03"	"1.950895e+03"	"1.182236e+03"	"1.672088e+02"	"3.633448e+02"	"3.297450e+02"	"2.439164e+02"	"1.042997e+04"	"1.295852e+04"	"1.133035e+04"	"9.336950e+03"	"7.507644e+03"	"1.899713e+03"	"1.454046e+03"	"8.381467e+02"	"3.169958e+03"	"1.586123e+03"
""	""	""	""	""	" 128.0417"	""	""	""	"  82.20473"	""	""	""	""	""	""	""	""	""	""	""	"2.666283e+03"	"1.172495e+04"	"3.434351e+03"	"5.133029e+03"	"6.634871e+03"	"9.129177e+03"	"1.089981e+04"	"1.010775e+04"	"1.121699e+04"	"1.523566e+04"	"2.607033e+04"	"1.663447e+04"	"2.125136e+04"	"3.393393e+04"	"1.151816e+04"	"1.784219e+04"	"1.620809e+04"	"2.518792e+04"	"1.829401e+04"
""	""	""	""	""	" 128.1136"	""	""	""	" 405.56690"	""	""	""	""	""	""	""	""	""	""	""	"2.486270e+02"	"2.225916e+02"	"4.044467e+02"	"3.307932e+02"	"1.963028e+02"	"5.939148e+01"	"6.072066e+01"	"5.607504e+01"	"1.091059e+02"	"6.815026e+03"	"8.254188e+03"	"7.520035e+03"	"5.833275e+03"	"5.402787e+03"	"1.334933e+03"	"9.285201e+02"	"3.340838e+02"	"1.996451e+03"	"1.303628e+03"
