"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_Exp1-K1_2-C,1_01_7443.d"	"pos_Exp1-K2_2-C,3_01_7445.d"	"pos_Exp1-K3_2-C,5_01_7447.d"	"pos_Exp1-K4_2-C,7_01_7449.d"	"pos_Exp1-K5_2-D,1_01_7451.d"	"pos_Exp2-K1_2-E,1_01_7454.d"	"pos_Exp2-K2_2-E,3_01_7456.d"	"pos_Exp2-K2_2-E,3_01_7460.d"	"pos_Exp2-K3_2-E,5_01_7458.d"	"pos_Exp2-K3_2-E,5_01_7462.d"	"pos_Exp1-P1_2-C,2_01_7444.d"	"pos_Exp1-P2_2-C,4_01_7446.d"	"pos_Exp1-P3_2-C,6_01_7448.d"	"pos_Exp1-P4_2-C,8_01_7450.d"	"pos_Exp1-P5_2-D,2_01_7452.d"	"pos_Exp2-P1_2-E,2_01_7455.d"	"pos_Exp2-P2_2-E,4_01_7457.d"	"pos_Exp2-P3_2-E,6_01_7459.d"	"pos_Exp2-P4_2-E,7_01_7461.d"	"pos_Exp2-P5_2-E,8_01_7463.d"
""	""	""	""	""	" 130.0647"	""	""	""	" 242.776910"	""	""	""	""	""	""	""	""	""	""	""	"1.526402e+04"	"1.096818e+04"	"9.855062e+03"	"1.200954e+04"	"4.877806e+03"	"8.827276e+03"	"8.503774e+03"	"1.015940e+04"	"8.373939e+03"	"8.378064e+03"	"3.228863e+04"	"2.019925e+04"	"2.608556e+04"	"1.983327e+04"	"2.129952e+04"	"1.411330e+04"	"1.438843e+04"	"1.261569e+04"	"1.412873e+04"	"1.280955e+04"
""	""	""	""	""	" 130.0648"	""	""	""	" 162.552009"	""	""	""	""	""	""	""	""	""	""	""	"3.178949e+03"	"2.538355e+03"	"2.426251e+03"	"2.895314e+03"	"5.807250e+02"	"9.805239e+02"	"1.531917e+03"	"2.094545e+03"	"1.690452e+03"	"1.695473e+03"	"9.343242e+03"	"6.343478e+03"	"6.600325e+03"	"4.540618e+03"	"5.223077e+03"	"5.541185e+03"	"5.100732e+03"	"6.132356e+03"	"4.588434e+03"	"5.227785e+03"
""	""	""	""	""	" 131.0491"	""	""	""	" 180.729188"	""	""	""	""	""	""	""	""	""	""	""	"2.140236e+04"	"1.593651e+04"	"1.565035e+04"	"1.738883e+04"	"8.910886e+03"	"1.466716e+04"	"1.755079e+04"	"1.735494e+04"	"1.351507e+04"	"1.340871e+04"	"9.554330e+04"	"7.511671e+04"	"8.602409e+04"	"7.518989e+04"	"7.331457e+04"	"5.362624e+04"	"5.907485e+04"	"6.585675e+04"	"6.212788e+04"	"6.148642e+04"
""	""	""	""	""	" 131.0493"	""	""	""	" 250.066706"	""	""	""	""	""	""	""	""	""	""	""	"1.023818e+03"	"8.326775e+02"	"8.888334e+02"	"1.084575e+03"	"6.288795e+02"	"6.057757e+02"	"3.874489e+02"	"6.351305e+02"	"5.552640e+02"	"5.671592e+02"	"4.560274e+04"	"3.311735e+04"	"4.686783e+04"	"3.845538e+03"	"3.551484e+04"	"2.248249e+04"	"5.717667e+04"	"2.707615e+04"	"4.494705e+04"	"4.749753e+04"
""	""	""	""	""	" 131.1293"	""	""	""	"  21.918344"	""	""	""	""	""	""	""	""	""	""	""	"2.557038e+03"	"2.760021e+03"	"4.110748e+03"	"4.337285e+03"	"2.315518e+03"	"2.659472e+03"	"3.497471e+03"	"2.567558e+03"	"3.446935e+03"	"3.483682e+03"	"9.676272e+03"	"7.755998e+03"	"1.404746e+04"	"1.077824e+04"	"1.204766e+04"	"9.289657e+03"	"1.173066e+04"	"7.265483e+03"	"1.265696e+04"	"7.143444e+03"
""	""	""	""	""	" 132.0526"	""	""	""	" 180.675991"	""	""	""	""	""	""	""	""	""	""	""	"1.994674e+03"	"1.561631e+03"	"1.458727e+03"	"1.505762e+03"	"7.759536e+02"	"1.382105e+03"	"1.311382e+03"	"1.681607e+03"	"1.187305e+03"	"1.130819e+03"	"8.451410e+03"	"7.533543e+03"	"8.802956e+03"	"5.946063e+03"	"7.496621e+03"	"5.141914e+03"	"5.792091e+03"	"6.744592e+03"	"5.884478e+03"	"5.334260e+03"
""	""	""	""	""	" 132.0526"	""	""	""	" 249.962742"	""	""	""	""	""	""	""	""	""	""	""	"2.085326e+02"	"1.317935e+02"	"9.642548e+01"	"1.811448e+02"	"1.391330e+02"	"1.191045e+02"	"4.036560e+01"	"1.447824e+02"	"1.444714e+02"	"9.540960e+01"	"4.389849e+03"	"3.442559e+03"	"4.621581e+03"	"1.721376e+02"	"3.452501e+03"	"1.999427e+03"	"5.271004e+03"	"2.840604e+03"	"3.932785e+03"	"4.361176e+03"
""	""	""	""	""	" 132.1019"	""	""	""	"  45.764571"	""	""	""	""	""	""	""	""	""	""	""	"2.262405e+04"	"1.947169e+04"	"2.450141e+04"	"2.117308e+04"	"1.269787e+04"	"1.175511e+04"	"1.326571e+04"	"1.348533e+04"	"1.214995e+04"	"1.211279e+04"	"6.922010e+04"	"5.455293e+04"	"7.229141e+04"	"7.441509e+04"	"7.316989e+04"	"2.790581e+04"	"3.805650e+04"	"3.750427e+04"	"4.295043e+04"	"3.936321e+04"
""	""	""	""	""	" 133.0646"	""	""	""	" 228.116332"	""	""	""	""	""	""	""	""	""	""	""	"1.867772e+02"	"1.825297e+02"	"1.892056e+02"	"1.661788e+02"	"6.206299e+01"	"1.317993e+02"	"1.748548e+02"	"1.444592e+02"	"1.154416e+02"	"7.974143e+01"	"5.442718e+03"	"2.572236e+03"	"5.793451e+03"	"8.533488e+02"	"3.467397e+03"	"2.520682e+03"	"4.710098e+03"	"2.326890e+03"	"3.994491e+03"	"5.287949e+03"
""	""	""	""	""	" 133.0644"	""	""	""	" 195.537847"	""	""	""	""	""	""	""	""	""	""	""	"6.289617e+02"	"3.541455e+02"	"2.642640e+02"	"4.638893e+02"	"1.721865e+02"	"2.069103e+02"	"2.386193e+02"	"2.252250e+02"	"1.814603e+02"	"3.740364e+02"	"4.163784e+03"	"2.833950e+03"	"3.650479e+03"	"3.640555e+03"	"2.748735e+03"	"1.969054e+03"	"2.270148e+03"	"1.977173e+03"	"2.017990e+03"	"1.136134e+03"
