PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144212955,7649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212956,74879,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
144212957,20653,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212958,223368,Active,90,,,active agonist,active agonist,0.00528854,111.189,active antagonist,0.00453541,-32.7349,active agonist,0.00420033,110.04,inactive,SIGMA
144212959,12580,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212960,62092,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144212961,91333,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212962,342,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212963,62558,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,13.4678,inactive,,0,inconclusive agonist,13.0286,22.3814,inactive,SIGMA
144212964,31255,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212965,250096,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144212966,61290,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,MP Biomedicals
144212967,169794,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
144212968,75588,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,51.8803,21.7576,inactive,,0,inconclusive agonist,51.874,21.6655,inactive,LightBiologicals
144212969,2723891,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212970,76497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212971,6850746,Inconclusive,5,,,inconclusive,inconclusive agonist,,10.7354,inactive,,0,inactive,,0,inactive,SIGMA
144212972,114994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,EQ Laboratories
144212973,8175,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,SIGMA
144212974,62661,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212975,62098,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144212976,60196372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212977,4678,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212978,62467,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212979,12338093,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212980,5367706,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212981,6850741,Inconclusive,5,,,inconclusive,inconclusive agonist,,13.1105,inactive,,0,inactive,,0,inactive,SIGMA
144212982,38854,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,21.1397,inactive,,0,inconclusive agonist,,25.7968,inactive,SIGMA
144212983,519382,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,13.9558,inactive,,0,inconclusive agonist,,14.7647,inactive,SIGMA
144212984,117822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212985,31353,Active,42,,,active agonist,active agonist,28.62,21.7482,inactive,,0,active agonist,43.6412,40.0969,inactive,SIGMA
144212986,69885,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inactive,,0,inconclusive agonist,,22.7383,inactive,Alfa Aesar
144212987,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212988,39801,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
144212989,61051,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,13.7568,inactive,MP Biomedicals
144212990,87146,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144212991,10857465,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144212992,15510,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,SIGMA
144212993,7742,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,SIGMA
144212994,92292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Waterstone
144212995,9373,Inconclusive,5,,,inconclusive,active agonist,,11.2426,inactive,,0,inactive,,0,inactive,LightBiologicals
144212996,8834,Active,42,,,active agonist,active agonist,48.9782,27.3499,inactive,,0,active agonist,36.026,20.5379,inactive,SIGMA
144212997,81784,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
144212998,7144,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,12.2756,inactive,,0,inconclusive agonist,,12.3214,inactive,SIGMA
144212999,8499,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213000,120101,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Magical Scientific
144213001,12150,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213002,62935,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213003,5357002,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
