PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144213115,108938,Active,42,,,active agonist,active agonist,52.8854,40.3833,inconclusive antagonist,61.6524,-27.8526,active agonist,47.1284,42.7321,inactive,LightBiologicals
144213116,6327114,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213117,23668197,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213118,5147,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213119,6,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213120,7966,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
144213121,4211,Active,44,,,active agonist,active agonist,13.8039,35.2192,inconclusive antagonist,,0,active agonist,9.77124,40.9726,inactive,LightBiologicals
144213122,8640,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
144213123,5284382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
144213124,8638,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
