,Concentration(ppb),Average,Stdev,%RSD,% DIFFERENCE
B,135.768791074431,152074.666666667,1408.20819956899,0.925997886719455,-9.48747261704621
T,138.243821215188,431440,15389.5056450817,3.56700946715225,-7.83745252320786
E,140.123661281539,1257034,61844.6623646698,4.91988779656475,-6.58422581230712
X,140.193480274923,1112532.66666667,48830.9860266341,4.38917323416128,-6.53767981671801
B+S,143.186678071207,272943,4722.27201673093,1.73013120568431,-4.54221461919527
T+S,141.284622323303,752541,23752.6357905812,3.1563244780791,-5.81025178446485
E+S,140.563176118037,2145255,51316.056122816,2.39207255654064,-6.29121592130849
X+S,138.888562510858,1897617.66666667,50029.2860466081,2.636426026455,-7.4076249927614
