Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	NEG_Pool_All_01 	NEG_Pool_All_02 	NEG_Pool_All_03 	NEG_Pool_All_04 	NEG_SF-100109-114720 	NEG_SF-100109-121711 	NEG_SF-100109-124896 	NEG_SF-100109-124904 	NEG_SF-100109-130034 	NEG_SF-100109-169058 	NEG_SF-100109-199550 	NEG_SF-100109-231142 	NEG_SF-100109-244079 	NEG_SF-100109-227718 	NEG_SF-120831-00062 	NEG_SF-100109-255622 	NEG_SF-100109-239012 	NEG_SF-100109-259700 	NEG_SF-100109-142930 	NEG_SF-100109-146730 	NEG_SF-100109-199546 	NEG_SF-100109-225118 	NEG_SF-100109-252159 	NEG_SF-110121-00073 	NEG_SF-110908-00016 
99.00793605		0.67_99.0079m/z	0.665216667				857.7471921	849.9659142	867.4302481	818.2998934	1052.327986	1017.078689	1460.461988	724.6909968	842.8583293	941.4674005	1030.23258	884.5393173	896.0110412	1643.062744	790.6260454	830.3095069	731.0562413	1036.083033	743.5729652	848.682582	1050.343908	1021.125449	943.7506811	1259.171223	1076.776901
659.2763973		4.20_659.2764m/z	4.202083333				3232.585102	3334.01975	3289.346246	3198.667242	5576.64334	3000.372381	4537.981159	3167.255402	3258.091606	2963.281354	4245.990985	4275.030814	3229.115563	3728.497712	3677.322084	2944.048839	3958.122329	3916.861878	4273.347075	2201.929602	2867.42199	1920.01841	4778.582882	4703.625028	3231.373609
145.0606755		5.32_145.0607m/z	5.32365				558.514199	546.8485244	551.0640724	567.9273218	682.4314332	379.457849	456.4988074	1321.937736	450.7090816	264.3655615	394.9640982	140.3835823	274.1476492	1127.738553	605.6823819	747.0636468	392.6051275	994.8024776	508.336275	1392.125749	285.0829417	1559.406369	590.4542128	529.5748039	855.7724488
459.2393524		6.19_459.2394m/z	6.191633333				350.3922417	397.7507454	377.7375689	350.4525698	354.0548763	413.0932269	228.5010398	602.0050614	543.0663866	370.7164496	622.7780229	292.1413444	304.1143413	216.1922183	392.3232999	464.3633816	594.936886	220.7347953	448.8352046	565.9919599	623.416389	368.7171086	153.7456959	482.9615296	369.5951353
718.8153569		7.98_718.8154m/z	7.9785				400.1424986	390.1272266	348.9477021	388.1014852	431.8256029	425.3324939	343.8145779	422.8237992	721.4966951	261.2865347	631.018557	303.5088843	397.5779276	537.8497429	283.7533137	324.5475022	227.1410694	370.1778378	1202.787288	359.6484867	243.0175586	223.9769406	563.4008896	278.5060803	449.7216725
190.0496872		2.98_190.0497m/z	2.976183333				421.4058691	453.8941947	443.1516624	507.0525619	260.5832252	776.9325064	229.911037	255.2929857	526.6518733	753.9415449	150.9215647	230.6244419	445.0591497	981.8789577	455.2970459	244.6079126	357.7812373	727.4427443	115.3248351	886.8324767	941.3195712	1076.006901	451.1217929	302.2878384	1003.355958
132.0317664		6.12_132.0318m/z	6.124				100.4935849	105.1962314	114.8785393	112.8403482	0	32.5285207	167.6883311	93.51418747	136.540034	180.4718587	0	12.19634139	28.17432458	464.6142159	0	267.7055016	0	260.4455974	122.3871617	84.89924755	0	175.42126	104.1805647	165.1572395	112.1422139
693.3132661		5.24_693.3133m/z	5.239116667				1145.50375	1129.359608	1100.203374	1161.422565	1255.870036	1247.483191	1595.370948	1562.411928	1662.253616	929.9179992	1337.415595	1653.869505	1592.957573	614.214255	1646.188981	1123.454616	872.5927687	883.1060425	1562.983614	1470.245911	814.3249093	1582.865977	699.6341036	868.5649053	1465.972576
507.224506		13.49_507.2245m/z	13.48781667				3280.148352	3343.662818	3314.703576	3165.434121	962.3270092	8230.319631	4790.320537	5313.890525	8641.853512	1369.792766	1981.83642	663.3679888	1384.52442	3236.906751	3848.320145	1358.83189	15819.65636	634.4351121	2436.225258	1631.521762	1639.031217	1672.449637	595.7661124	17190.99544	1288.08318
823.8631985		5.68_823.8632m/z	5.681566667				445.1736326	506.5352005	500.2223493	451.4382933	309.3738605	233.2202266	392.7212036	423.2079768	536.1446283	274.4827665	432.7465167	593.6064822	365.7667855	28.47097243	569.549399	374.7673989	406.4077546	309.3611106	879.0812624	1304.001984	616.4741827	819.0837079	33.37572855	316.6977929	1404.090995
