Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_sample_1-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_2-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_3-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_4-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_BioRec_Plasma1a_pos_1132014.mzXML peak height	CSH_BioRec_Plasma2_pos_1132014.mzXML peak height	CSH_BioRec_Plasma3_pos_1132014.mzXML peak height
770.6		PC-O (36:3) (plasmanyl/plasmenyl) 	5.58				148763	149468	157634	137601	152248	123266	122348	180519	169988	126929	130738	121387	149056	190390	1064943	1084817	174639	180218	163528	187182	201347	204453	213974	181431	178832	175982	183393	43615	40003	42599
804.56		PC (36:4)	4.9				38353	38715	36582	40263	44835	47132	45437	45884	55878	55215	49684	55165	58828	62171	62899	59116	60504	53333	60409	56433	55401	54668	58044	86836	90162	87958	85152	660658	617261	645757
768.59		PC-O (36:4) (plasmanyl/plasmenyl) 	5.26				855806	699489	954846	756809	682998	662991	631901	661114	670980	752675	753205	702804	959955	933707	1055289	992472	1041106	1165544	983617	898616	918160	906981	1027677	845888	830655	818458	874959	232237	212088	223551
780.55		PC (36:5) 	4.45				131009	101780	166277	118809	135365	128100	119728	128460	99948	125316	122546	115987	105391	106358	114762	70158	64596	86094	61037	35196	36986	35994	41966	68272	66064	63881	67364	156003	141023	151695
780.55		PC (36:5) C 	4.95				603230	657716	565885	648983	680463	688193	678720	674943	664873	642362	639286	653306	618299	624846	599860	677253	662118	649314	648139	601814	606306	606512	623944	595407	586608	589029	586919	1115018	1080528	1069923
766.57		PC-O (36:5) (plasmanyl/plasmenyl) 	5.13				462313	359378	543664	409917	338412	327743	301052	312186	323564	384585	392758	361596	468008	451619	495820	425887	428717	494536	400304	302797	314135	307960	342918	412656	411810	409240	423190	221145	206775	217217
778.55		PC (36:6)  A	4.19				20096	16030	25011	17663	14447	14261	14215	14874	13247	15475	14691	14457	15623	17405	17326	13760	13417	16333	12716	12695	12803	12826	14374	27373	25907	26642	28657	4565	4606	4726
800.62		PC (37:2) 	5.84				413445	367854	454698	382880	337435	323954	312542	316268	289045	328778	336940	305654	331377	331014	339728	324839	318721	372741	301930	275647	284456	277856	297865	324216	306553	313895	306835	14408	12493	13950
798.6		PC (37:3) 	5.48				82569	93136	94897	75452	57212	56268	52902	55689	52173	59644	61752	57344	66714	67796	72861	66808	63516	78914	59508	50917	51436	87297	98966	97548	46924	46311	46400	19574	18328	20059
814.63		PC (38:2) 	6.14				2095279	1824118	2338081	1929037	1813072	1711340	1693031	1688149	1523958	1712334	1797016	1647743	1720401	1698117	1757248	1683676	1648791	1933292	1519538	1309159	1299289	1294153	1367533	1002712	951181	956414	1002411	47710	44168	45758
812.61		PC (38:3) 	5.65				508228	448823	568812	476763	396815	378322	371782	376222	358250	398981	412509	381502	435004	428993	452464	420879	413551	474990	390883	313432	324527	318824	344741	265357	262882	260183	259316	601872	538915	587928
808.58		PC (38:5) A 	4.95				969288	816769	1104536	894867	870127	869165	816728	855643	868197	994546	964420	942008	962498	968771	1019284	753657	719087	838318	698452	409120	429401	411278	469928	566041	560575	551569	563051	429688	396058	421569
794.6		PC-O (38:5) (plasmanyl/plasmenyl) A 	5.3				947725	760467	1092500	853829	675342	657872	615047	638181	658035	766370	764230	718547	962235	950090	1042887	1059022	1082352	1201358	995480	975818	1014188	987328	1116988	795762	783434	769273	812501	189343	172486	186199
794.6		PC-O (38:5) (plasmanyl/plasmenyl) B 	5.9				330702	303864	350236	317398	300327	289936	284578	288309	260155	289611	302167	284407	295340	293841	301197	321319	314437	346492	298680	348113	346124	348164	358857	322356	307897	310885	322157	45791	43168	46800
828.56		PC (38:6)	4.74				54456	48347	61215	50819	42251	42316	38391	41569	42404	48531	48648	46620	55265	55888	59634	49705	50253	54897	49293	43948	46301	47120	50807	82612	83680	82419	82884	167834	160479	189315
806.57		PC (38:6) B 	5.07				358001	360224	365934	367615	321050	317722	314997	313755	312160	340696	333261	333872	361632	352173	354955	367772	355278	375273	353944	298273	300318	296579	318764	236102	227609	232911	227231	191713	178114	201048
792.59		PC-O (38:6) (plasmanyl/plasmenyl) 	5.11				419444	327732	475456	372948	286835	283813	256437	270280	291357	342659	344497	321229	461251	446073	500293	492491	533007	561262	495597	497077	518993	505158	571346	477614	456304	449590	503930	46347	41452	45808
804.56		PC (38:7) 	4.26				47376	35200	57235	43374	44846	43342	40004	43297	32832	41955	39484	37886	35345	34442	37608	26335	24243	30474	22543	12351	12975	12068	14154	20043	19185	18112	19819	5826	5347	5485
844.68		PC (40:1)	7.32				97962	74231	110956	77162	89126	81438	77324	81697	65781	77828	81514	70821	65129	66255	73494	49775	51767	67594	44943	29491	29031	29015	32190	27383	24064	25031	24827	998	1098	1096
840.64		PC (40:3)	6.27				42535	34334	48926	37014	32186	30811	28421	29177	27080	31060	32716	29323	33426	33184	35928	29906	30368	35925	27872	21632	20794	21570	23187	18086	16856	17488	17335	2071	2003	2059
836.61		PC (40:5) A 	5.5				97643	106708	141588	113981	90330	89971	83750	84329	88699	100450	100100	96814	107012	105625	111873	83373	79329	91372	77621	51279	51908	49995	55141	91252	86412	88291	89493	114286	104843	109636
822.63		PC-O (40:5) (plasmanyl/plasmenyl) 	5.92				92719	74668	103519	83838	63871	60970	59099	60880	61287	69416	72993	64879	91070	86472	100223	96184	106574	115714	94886	109606	109342	105829	121322	110108	106336	103710	115047	19247	19055	19065
834.6		PC (40:6) A 	4.98				488962	404276	555710	446108	330844	331404	302550	312030	312456	375599	362878	354191	371983	365337	378081	279931	256895	298798	245461	132843	140708	135065	149246	145692	144327	140613	145127	56084	50299	59816
832.59		PC (40:7) 	4.79				582479	523037	654520	549864	547162	573259	534346	540620	566542	656981	590132	620928	622235	621986	619903	510735	482697	510194	468240	255547	273723	262120	291469	273470	277966	268195	286572	80555	74925	78535
818.6		PC-O (40:7) (plasmanyl/plasmenyl) A 	5.13				219345	176179	258685	208717	116940	121895	111144	111241	119482	141510	145919	137165	219300	216263	225475	275902	279186	292972	257173	280155	297565	289022	322405	200239	197182	189539	211181	18058	16394	17442
818.6		PC-O (40:7) (plasmanyl/plasmenyl) B 	5.61				67240	55982	77567	60806	46537	46989	41945	42935	50218	53889	54051	51923	71355	64588	70425	69948	70664	73683	65554	65651	63641	62871	66752	59149	59750	57090	59741	10033	9342	10561
830.58		PC (40:8) 	4.42				26567	19800	32672	22918	69285	70579	63377	64906	58148	71204	60862	59111	33045	34956	43271	14548	11917	16890	11081	4142	4282	3904	4493	4797	5060	4328	4423	11241	10720	11508
816.59		PC-O (40:8) (plasmanyl/plasmenyl)  	5.33				172426	162100	178647	172431	147308	142817	139547	139608	147762	164809	160360	159450	193764	194752	204110	224277	222747	221947	217722	208423	217819	210561	228829	166103	168601	164661	171623	23277	21695	25713
854.58		PC (42:10)	4.29				12473	9056	15392	9778	38020	37330	32334	33426	29871	37072	33360	32056	15967	19227	23193	7422	5635	8586	5640	1559	2334	1711	1843	2794	3039	2869	3056	3630	3019	3048
864.64		PC (42:5) 	6.07				11822	9462	12872	10034	9150	9263	8020	8449	7884	8670	9417	8508	9332	8837	9539	7285	7456	8840	7059	4643	4986	17320	5220	7408	11769	13302	7485	2392	2108	2605
850.66		PC-O (42:5) (plasmanyl/plasmenyl) 	6.59				48631	37966	58508	40452	30105	27214	25569	26905	25407	30493	32642	28711	41375	40761	46324	40722	43521	54500	39148	38757	39552	37218	43642	36109	33317	33233	36244	14162	12906	14631
862.63		PC (42:6) 	5.58				22476	20177	25717	20533	17529	16399	15440	15622	14795	17210	17130	16400	16847	16619	16691	14195	14181	15787	13161	8786	8830	8736	8598	9520	9609	9009	9572	1661	1728	1965
878.7		PC-O (44:5) (plasmanyl/plasmenyl) 	7.21				47926	35247	54351	39078	29539	28601	26181	26575	26181	31592	34340	29690	42234	42185	47274	43283	45572	52008	42549	36888	39341	36870	42600	29186	26806	26320	27984	16757	15981	15993
724.53		PE-O (36:5) (plasmanyl/plasmenyl) 	5.35				716016	546229	831013	608004	474435	476315	433952	456634	424862	495638	529145	479740	569129	567728	604896	575945	580604	692792	546728	655500	682475	679288	738171	851844	848268	826315	872572	24909	22277	24336
752.56		PE-O (38:5) (plasmanyl/plasmenyl) 	5.98				241542	178983	280731	201833	167310	161954	151644	160717	145145	169267	173918	160483	196789	192422	206920	196585	203711	235228	184806	246116	261349	258119	285547	422070	407244	405066	420401	32560	29678	31633
750.54		PE-O (38:6) (plasmanyl/plasmenyl) 	5.38				802009	628385	910359	689018	544116	547446	507449	524635	486676	551523	577845	547227	659931	656855	678670	680785	667137	773866	628912	785980	826548	820019	869311	901955	912795	883524	954390	18263	16413	17808
778.57		PE-O (40:6) (plasmanyl/plasmenyl) 	5.99				126591	90868	147257	103509	84005	84672	75290	81620	75842	89137	93201	84629	109052	105441	113168	105598	108731	126537	100150	124743	130640	130749	146266	200108	200878	195996	207401	12035	10329	11726
768.57		plasmenyl-PC 34:0	5.72				900975	774594	989883	834835	753221	846859	836441	719276	842825	732757	833577	823781	761294	834049	793653	729117	879583	837295	691618	653615	859291	855742	856554	909455	894257	909612	915577	21415	19690	20111
790.57		plasmenyl-PC 36:3	5.54				953446	821147	991467	813341	825975	741499	784194	806299	740767	816053	848457	792420	858175	765806	917782	940450	1000918	1102472	872872	864538	864882	868601	951690	888526	834687	900030	870744	19805	18061	19782
702.54		plasmenyl-PE 34:1	5.95				1335157	1042838	1539801	1158312	1051058	1016408	958766	992971	913615	1031398	1081486	975763	1097742	1073670	1157559	1149262	1168408	1399717	1043310	1339618	1336320	1355431	1451483	1712232	1585969	1591475	1714946	6290	5494	6043
700.53		plasmenyl-PE 34:2	5.39				98150	78339	116888	89658	78860	78945	72245	70456	63494	69278	78092	70137	75959	73455	77721	79522	77292	95264	69013	79187	76872	81261	85755	76095	68036	69556	80794	7541	7215	7156
730.58		plasmenyl-PE 36:1	6.63				295535	216610	364362	247839	215171	197953	194453	200062	172860	205467	224467	192977	224991	223323	251264	233314	250167	317079	212018	302313	299436	308967	342064	464986	409229	426849	462634	4608	4597	4768
750.54		plasmenyl-PE 36:2	5.98				90499	76244	99401	83073	77207	76998	73565	74404	68360	73362	80690	72811	77861	76394	77722	84083	84545	95095	76205	100074	99611	100908	99954	105566	99302	99798	105135	33525	29261	31960
758.61		plasmenyl-PE 38:1	7.24				20014	15605	24683	16780	15050	13824	13947	13908	12797	14387	16286	13773	16883	15470	17605	17408	19216	21892	15775	19261	19295	18794	20700	20725	18287	19063	21273	3667	3127	3422
756.59		plasmenyl-PE 38:2	6.65				50389	36251	59748	42538	34482	32802	30005	31646	27134	31344	37548	32430	38316	37900	41469	40376	41169	51261	35352	49120	46506	48057	53257	43895	39844	41179	45717	1302	1342	1106
754.58		plasmenyl-PE 38:3	6.26				33929	26940	39708	29238	27838	27460	25320	27708	24208	26874	28820	24913	29314	28741	29831	30172	29504	33737	27456	36439	35983	35044	39834	58586	57163	56798	59443	3429	3617	3465
780.59		plasmenyl-PE 40:4	6.6				23309	12149	29676	11846	15958	9835	9126	14656	13959	16240	17594	15422	11991	11975	22309	12861	12631	24917	10648	13199	14537	13279	16250	22570	21358	21430	35578	2380	2401	2186
788.55		PS (36:2)	5.03				218135	169892	244002	170251	180225	158735	162550	165667	144646	177051	196606	170296	185164	163471	203733	177970	174636	226343	147524	98732	99102	96462	110133	106598	107177	110777	107477	44275	41288	48381
814.57		PS (38:3)	5.14				82989	70628	88403	72105	65677	66031	60640	62397	69071	76712	77211	74245	93967	92984	99976	109195	115561	105815	112474	120384	129344	124606	134495	119320	114255	113758	124965	6245	5756	6407
812.55		PS (38:4) 	5.02				50711	43088	53362	45090	43495	40970	40151	40866	44701	49331	49033	45041	55897	53480	56984	55079	53598	56362	50488	40673	42679	42892	44568	51440	52375	50377	51767	7267	18270	20598
725.55		SM (34:1)	4.69				761865	640081	824658	680433	604627	550385	558400	572192	491099	587751	625516	542598	620584	616722	679958	611687	608524	746550	545139	540407	550811	538982	617344	618390	575804	589976	609877	392672	351680	396044
675.54		SM (d18:1/14:0) 	4.1				341631	262585	401923	285616	239216	224383	219801	220037	190919	230730	253388	214701	247318	240895	269992	246047	237758	315272	210802	193077	194062	192352	216322	176169	164057	172384	174131	84088	75058	82265
701.55		SM (d18:1/16:1) 	4.2				253649	190270	307053	212616	168661	149147	148231	156233	136407	163795	176120	147693	181086	175257	201452	171472	175379	228491	160630	143998	151171	142970	170733	173314	160474	167118	169243	209655	195165	203031
787.66		SM (d40:1) 	6.67				633019	509244	740750	546235	520662	468220	476816	486025	427806	490980	527613	450366	535282	517909	581941	518300	547248	676157	491742	598793	590593	585318	663555	942964	876627	912492	920531	333111	310688	329328
785.65		SM (d40:2) A 	6.02				328862	270018	364302	282831	267824	248658	249589	250099	215700	257292	271342	237219	256973	261976	291361	257462	260645	322373	240918	238072	236234	238028	260226	240621	227212	228866	234851	188759	169694	185282
815.7		SM (d42:1) 	7.33				657273	516561	798980	567833	556249	514317	514898	529223	465137	529331	562974	492699	551846	543040	628910	539577	577486	727304	522650	622241	618315	602887	691548	1107981	1016257	1052449	1053829	205138	188250	198025
841.71		SM (d44:2) 	7.3				57941	44106	70170	48277	46463	40718	42745	43549	38088	43403	47945	41221	47356	46855	54045	45816	49210	64903	44198	46943	46360	45544	52613	55222	48457	51026	51212	2374	2303	2805
745.63		TG (14:0/14:0/14:0) 	9.41				30455	23830	34470	25465	16992	17916	17695	18220	21310	21403	23767	21225	30567	28769	34394	32310	39509	44910	35110	55928	53228	56305	65631	110634	95768	106474	107810	14858	14010	13163
771.64		TG (44:1)	9.44				77851	58625	99212	66023	41621	40466	37499	39231	48381	52484	57725	49568	74531	64293	83883	64929	74655	97714	62320	80098	74397	82735	93650	190926	159115	171002	175154	14641	13913	15054
796.74		TG (46:0)	10.36				290819	215156	352358	250867	138411	124604	119561	133213	171506	184699	190315	166158	337644	310871	395286	426337	507594	583209	468603	819128	814591	819446	981312	1100885	1079042	1092530	1058534	77803	74437	71991
799.68		TG (46:1) 	9.92				631322	463088	769090	519732	356736	318674	308330	333444	400183	440688	471802	397305	607015	537365	700893	569098	659716	832488	553193	674683	627275	694135	802620	1214623	1075048	1151066	1130019	73040	72432	76159
797.66		TG (46:2) 	9.48				111212	78742	140965	90185	61618	56680	55295	59533	67733	75617	83939	67604	88752	77879	99196	63939	71173	99138	60548	52755	46082	51935	60227	111294	98569	104001	105043	32305	32553	37446
829.72		TG (48:0) 	10.77				394963	337065	431174	369034	218949	192074	200839	211289	253397	261704	260130	246701	477293	457348	533583	645775	736004	782066	734968	1328161	1337386	1313801	1504363	1429579	1495999	1480223	1436210	214422	200475	203624
827.71		TG (48:1)	10.36				1753986	1384481	2019151	1527907	1091042	990970	960075	1032003	1245274	1360684	1390574	1235523	1891405	1742795	2102894	1958755	2192469	2527385	1951636	2417089	2337834	2441369	2748398	3354438	3055091	3253210	3174739	393599	377364	395607
825.69		TG (48:2) 	9.96				844423	632840	1016341	706414	522182	477819	464771	494659	555271	631674	670033	573000	749323	654681	831755	596731	670204	854048	551486	482108	427531	481801	547965	859406	761618	789723	775443	208311	203564	216855
823.68		TG (48:3) 	9.55				71666	51244	92712	56943	44016	38766	37567	41426	44271	50088	55418	44556	55311	48252	64351	38507	44148	58108	35749	26318	23812	25156	30816	44207	39362	41463	39233	56811	55532	62807
838.79		TG (49:0)	10.95				19447	14340	23858	16697	11097	10230	10023	10655	14103	14786	15570	13393	26440	23465	32635	33709	42408	50274	37078	63622	62354	63514	78628	97426	98857	98907	88381	6596	5526	5720
841.73		TG (49:1) 	10.59				144285	100398	186932	124160	82583	74001	71561	76423	98015	112787	115272	99380	186959	164891	225227	189287	228169	286025	198506	250659	236707	250063	302851	385567	360320	378631	339450	37379	36463	38828
839.71		TG (49:2) 	10.18				97949	70947	125273	82625	57946	58246	53739	56265	70630	77904	85549	74486	106856	93763	119221	85511	100004	129435	83487	74930	69061	74741	86271	125501	108258	118243	113379	26397	25497	26433
857.75		TG (50:0) 	11.2				215452	160187	249876	184479	108767	96328	94462	100444	135458	148351	139605	127830	286616	267512	351201	452685	551481	594174	508969	1122977	1095380	1108664	1283744	1453558	1486627	1466596	1426028	94472	89478	95289
855.74		TG (50:1)	10.77				2436999	2107385	2628007	2223878	1698543	1558034	1557895	1639849	1856587	1949665	1968234	1821603	2625435	2475276	2840728	2900666	3180255	3399324	3017247	3747230	3709383	3800085	4138052	4504170	4271227	4470387	4310092	1356914	1284329	1329338
853.73		TG (50:2)	10.4				2773609	2188378	3179056	2400547	1910969	1798900	1733639	1827600	2117791	2305482	2389247	2108606	2745137	2488350	2952634	2425427	2638291	3096877	2341029	2177406	2002625	2171114	2384253	3047692	2767174	2871760	2811316	1240437	1200234	1226199
851.71		TG (50:3) 	9.99				485110	352217	611040	400166	308597	295988	278796	298249	318589	361581	396076	325779	387339	347898	444170	275205	303960	407112	248173	180155	152872	172452	195098	290343	256226	263552	257455	524304	502611	536707
849.69		TG (50:4) 	9.63				27421	19803	37117	23405	17917	16196	15442	16465	20613	23760	25942	21482	29380	27746	34946	21677	27037	34542	20565	17020	16221	17329	20706	27420	28541	27303	24037	87379	84831	94124
864.8		TG (51:1)	10.98				93197	63185	128616	79844	49230	45306	42839	47406	64850	75706	77616	64072	133143	118386	168967	151245	189296	234428	162515	230947	221995	228062	283752	394461	353739	384221	339277	16780	15366	16305
867.74		TG (51:2) 	10.59				348781	240390	450391	290044	200627	181369	177156	187734	248519	275934	293713	243058	401080	355569	476226	348747	406235	520180	347005	335119	301321	333213	379576	535586	482688	505901	459648	77801	76498	82708
865.72		TG (51:3) 	10.22				33048	26804	41266	28343	22072	21775	21489	21571	26380	28028	31762	25985	35728	31088	37936	25794	28308	34319	23727	19173	16606	18770	20187	25935	23758	25738	23795	36519	36441	38541
885.78		TG (52:0) 	11.56				49788	33973	60375	43275	29793	23440	23147	26015	30962	35229	35604	30235	65321	59303	87047	114700	148882	167088	129956	431403	408993	417879	519793	822467	817887	837375	772671	28784	26736	27318
883.77		TG (52:1)	11.18				1322033	1001200	1557881	1153872	838213	763034	727511	788052	975942	1057659	1062923	951618	1574837	1437010	1808262	1866027	2208192	2438084	2008450	3047881	2927890	3050782	3388537	4135280	3906093	4096948	3935885	403804	380067	398654
881.76		TG (52:2) 	10.78				4807659	4179733	5140381	4410847	3979962	3803683	3725599	3841164	4227046	4409752	4464707	4187635	4795911	4515719	5018291	4550113	4801698	5185306	4472098	4303496	4066714	4307447	4457511	5275579	4930387	5074747	4997447	3090788	2970556	3048354
879.74		TG (52:3) 	10.43				1808494	1384245	2163893	1580294	1297839	1239215	1175959	1221633	1400830	1553409	1637034	1424792	1714669	1541098	1873965	1356552	1492476	1810646	1278244	988341	856362	960402	1034184	1388913	1256694	1273950	1243945	3946899	3765007	3893003
877.73		TG (52:4)	10.08				136591	100463	168808	113560	85767	85277	78751	85811	102731	118056	126972	108170	148813	136924	176727	120155	134256	165348	111178	94476	84383	92339	104001	131585	119308	125060	116293	2059218	1934574	2010486
875.71		TG (52:5)	9.83				53232	36307	67594	44650	38261	36819	35155	38164	47765	54133	56764	47278	66404	61072	81206	47615	56958	77162	47981	41030	37671	39297	49076	80305	74190	79230	68922	154577	154050	161581
897.78		TG (53:1)	11.36				50381	37583	65349	44153	33447	28975	27600	29655	38803	42214	42192	38299	70554	63985	80328	81759	101125	116791	87191	141572	134146	143396	166228	244101	227457	241396	214941	9988	10538	11158
895.77		TG (53:2) 	11				97628	76303	114233	88162	67580	62138	60421	62586	76985	82382	83143	75074	103715	96331	115076	105372	113820	128210	101460	103735	102434	106381	119275	161761	146018	155087	144057	25427	24675	28057
893.75		TG (53:3) 	10.62				255954	178356	341048	217018	154094	147135	140716	146938	182907	219033	226663	190879	271363	239882	321289	216444	250956	324933	207380	168226	146492	160014	181386	250672	226706	232142	213228	57916	58012	61092
911.8		TG (54:1) 	11.54				274525	190187	367870	234565	164582	152389	141391	154564	196144	217263	224992	186203	340214	303627	426651	443544	562424	660594	468808	971443	909463	967666	1159972	1805976	1652164	1775694	1637769	53425	53311	56368
909.79		TG (54:2) 	11.18				2459657	1871285	2892316	2146497	1837304	1713833	1633898	1737372	2020046	2209239	2234084	1990705	2543649	2348376	2823188	2510599	2826927	3157669	2478406	2789800	2598751	2818637	2972159	3577600	3285671	3434707	3333180	356438	337578	350779
907.77		TG (54:3)	10.82				3098554	2655420	3425154	2884142	2784455	2720919	2629177	2648022	2885379	3043726	3105610	2884975	2994778	2794924	3140873	2634527	2748298	2988467	2468798	2064184	1874631	2050474	2005778	2391269	2228455	2261760	2226885	1252934	1200634	1238050
905.76		TG (54:4)	10.48				460495	327881	580127	393982	278459	267654	256035	273469	337733	379830	406347	344152	493001	446966	585588	402918	470574	574340	396906	330015	293290	320306	357613	455800	418714	430989	399740	1369758	1323371	1377937
903.74		TG (54:5)	10.25				161176	115268	197623	135416	109506	108540	99899	111653	152484	165828	173836	151013	223033	204689	277920	181651	204614	259164	183193	170059	151653	159128	190970	311545	296190	312442	272605	901553	858824	868548
901.73		TG (54:6)	9.84				56667	39486	73502	50415	45580	44302	40623	44392	54275	60364	60403	52687	69378	65131	83098	50022	57674	76087	50198	41161	36800	39095	48342	82198	77361	80905	69385	206137	202613	220542
920.86		TG (55:1)	11.7				17444	13640	20724	15848	11196	10541	10622	11012	12881	13783	14376	12537	19576	18274	22083	24331	27835	32028	24553	41322	38296	39753	48143	72517	64432	68162	64085	3267	3015	2805
916.83		TG (55:3)	10.97				144581	94567	200667	119460	88780	83052	75865	84610	102089	121158	128819	106023	156280	137475	189109	137437	161864	206294	130656	119771	105086	120051	135652	184586	162634	172303	153181	2511	2615	2702
939.83		TG (56:1) 	11.82				245702	177622	319378	211013	147246	128758	126416	133278	150041	164324	177015	141468	227908	204394	277408	266780	323207	379572	284387	525261	480519	504750	614793	882172	819811	868299	813398	17785	18417	18450
937.82		TG (56:2) 	11.52				603253	425410	779474	514698	403809	387719	359033	380192	446743	511603	545823	446175	637942	580894	754426	642408	766670	921418	643194	818226	758814	835272	957598	1227796	1085520	1154942	1090065	25962	25339	27897
935.8		TG (56:3)	11.17				1210950	923235	1466676	1083238	936852	911150	844196	866483	974811	1105111	1135351	1011504	1163069	1056474	1266549	1031478	1135891	1312051	977667	801192	734681	803539	837320	865015	790833	807834	791774	33289	31921	35270
933.79		TG (56:4) 	10.9				230719	174062	274984	203668	166233	164680	155446	163306	191540	214482	224388	200441	255883	233598	295928	228134	259243	300270	222287	201007	185554	199377	228226	317792	297581	312080	268003	51360	47813	51705
931.78		TG (56:5)	10.57				168935	119935	220470	148031	106996	103263	98063	105545	139788	161301	170402	143105	218856	199073	273969	196513	224098	273938	198562	188162	178526	186013	215471	331311	316256	334076	281057	90972	87545	94280
929.76		TG (56:6) 	10.31				253257	187877	326960	226961	183737	184470	168082	186545	249449	279039	284861	245683	338157	311497	401837	252874	284560	351846	250342	183240	163755	173818	201161	320507	297552	310395	266860	155400	147348	159043
927.75		TG (56:7) 	10.13				122329	89959	167248	110265	89647	89353	83349	90612	125624	137994	135113	120644	177457	165760	212883	130509	152999	191193	131788	91940	88843	93998	112518	185687	175949	185398	163391	121835	118321	129034
925.73		TG (56:8) 	9.71				23399	16795	30841	21742	17140	17335	15667	17187	21233	24151	25138	21716	28190	25362	31917	16772	18240	23728	16359	9126	7867	8463	9988	14232	13544	13692	12245	22599	21807	24635
965.85		TG (58:2) 	11.81				764020	581337	973988	677692	534539	488848	457867	494267	540672	594346	634846	520713	662638	611218	777864	623557	733522	869309	621645	725875	661544	713720	815213	1041396	937606	996705	935757	24840	26092	26980
963.84		TG (58:3) 	11.53				357794	249309	483352	308079	242565	234534	218153	223253	258280	295715	329657	261863	344555	307774	408644	316430	367840	460221	301952	292593	261246	295748	322800	359711	320824	336696	317522	20849	19778	21528
961.82		TG (58:4)  A	11.26				64298	45185	78805	54512	45367	43467	39183	42088	49034	56042	58866	50966	66555	62141	78857	62567	71505	82443	60624	56688	52596	55938	65656	81910	75638	80954	71092	8043	8200	8725
954.84		TG (58:5)	10.92				32421	21484	44572	27917	21090	20650	18477	20191	25708	31201	32675	26901	41392	38363	53776	35809	43449	56491	36827	29773	28152	29979	35037	56468	56331	58801	48871	4494	3841	3621
957.79		TG (58:6)	10.69				91462	64552	116992	80223	68609	67588	61361	65655	83872	93576	94733	80572	115805	108073	140793	97485	118471	141320	100167	90724	88548	91454	105440	176514	167132	172816	151130	10262	10613	11522
953.76		TG (58:8) 	10.15				77132	56188	96710	67947	48706	48532	43879	46197	67300	74988	72121	66316	89277	81572	98936	62697	69732	80909	59887	35176	34144	35414	37048	49638	47205	48163	44846	8259	8993	8988
993.89		TG (60:2) 	11.96				786316	612966	983380	694889	584584	541229	501093	545378	561781	597711	618931	525940	577969	537296	663053	547834	628436	736788	530205	613004	561074	608947	667980	858915	763008	803674	762885	39247	36556	34873
982.88		TG (60:5)	11.28				15568	11076	18418	13471	10100	9987	9203	9098	11731	13184	14097	11940	17648	15444	19960	16609	18495	21992	15768	15301	14126	14251	17089	20441	20501	20421	18584	1860	1761	1840
894.75		TG 54:7;TG(16:0/18:2/20:5)	9.67				18826	11615	26580	15618	13384	12580	12010	12528	15555	19480	19049	16135	23215	21008	28862	16433	18433	24602	15608	10735	10472	11483	13529	23482	22695	22349	21232	9949	9910	10183
950.81		TG 58:7;TG(18:0/18:2/22:5)	10.32				80962	56648	114529	74220	50151	47459	43844	47535	65277	75290	76300	63062	93672	83355	110640	69105	79806	102983	66563	44056	40295	41657	47814	67750	64796	66074	58133	9090	8475	9488
986.91		TG 60:3;TG(20:1/20:1/20:1)	11.81				491071	356288	647574	431811	347230	329128	302627	314696	341173	390033	432640	343595	395964	364549	481310	350122	411204	495675	338511	327519	278839	313921	349874	388301	350377	362092	340671	24526	24134	22746
