Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_sample_1-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_2-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_3-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_4-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_BioRec_Plasma1a_pos_1132014.mzXML peak height	CSH_BioRec_Plasma2_pos_1132014.mzXML peak height	CSH_BioRec_Plasma3_pos_1132014.mzXML peak height
951.78		CSH_posESI #081	11.16				20715	20197	20397	21329	22159	21928	21800	21255	22118	21312	22540	21393	19364	20007	18982	18139	17802	17078	17365	13517	12602	13434	13306	13454	12613	12817	12826	4290	4323	4650
902.7		CSH_posESI #091	6.99				20569	15308	24050	17054	10582	10410	10059	9948	10294	12351	12864	12279	17035	17504	19327	18767	18945	22427	18524	17556	17693	18142	21334	13111	13090	12597	14176	2690	2121	2310
813.64		CSH_posESI #098	9.48				15614	12517	17659	13286	10662	9605	9571	11637	11604	11518	13399	11898	14389	13486	15715	10098	11196	12843	9921	8091	7964	8299	8734	14223	12852	13722	14407	4782	5620	7315
790.57		CSH_posESI #106	5.28				140846	127505	144156	137730	130605	132015	121227	131299	135329	144409	142441	139343	177086	176890	182547	189762	202948	196314	191991	171202	179094	178489	189390	172437	172353	170774	174522	21841	20630	24768
885.68		CSH_posESI #116	9.38				197852	160573	224028	160778	151009	140559	137287	149920	129604	152825	150899	138736	147676	139005	137657	118800	103639	141729	114856	117173	126015	123096	125717	140953	135457	121447	133384	22910	21635	23895
864.53		CSH_posESI #124	5.02				11608	11599	11263	11468	9419	9762	9726	10264	9585	12275	10983	10604	11373	10846	11379	11413	11527	11544	11182	9552	16018	18032	10094	8148	8011	16469	17081	10885	9842	6117
903.66		CSH_posESI #130	6.65				37766	36475	38349	37489	38713	36284	38402	36614	34862	39370	39945	37810	41239	40407	41548	36539	36366	38645	34641	33677	33521	32447	35224	31478	30909	31702	31035	4642	4778	5370
895.72		CSH_posESI #134	10.44				33957	32746	34411	33654	36367	35641	35582	35506	36588	37474	35797	37411	33653	33357	34115	31943	33431	32192	29781	27536	25516	27609	26145	29472	28542	27638	27742	51645	50890	52309
899.75		CSH_posESI #141	11.18				18988	19370	17669	18926	18392	16929	16558	17704	17470	17580	17786	17074	21127	20323	21794	24215	25283	24001	25500	30830	29714	30030	30055	31155	32289	32046	32499	27158	28795	30834
435.32		CSH_posESI #142	3.42				51609	51362	56977	55003	54028	51759	46815	48809	49447	51632	54051	49940	54082	56347	57180	55393	54568	57882	56357	53146	56619	53278	55226	57083	61033	54496	56100	55197	55835	54036
803.54		CSH_posESI #156	3.42				235382	180317	282331	220864	185303	159645	149725	164849	170412	200791	200675	167966	235895	227034	252211	214220	249402	292767	219187	223639	223679	217421	251081	270253	301853	263682	265249	589771	585765	597419
841.67		CSH_posESI #164	@				32274	32349	33475	33105	30340	30334	31415	31898	33505	31777	33264	34782	33794	34055	35385	31591	31379	31567	30856	26896	26468	27634	27970	33005	30214	31296	31534	11435	11752	13014
867.68		CSH_posESI #170	10.01				27124	24261	29586	25488	25622	24290	23956	25824	25277	27486	28134	25847	26957	25992	27712	22690	23215	25470	20324	17086	15642	15485	17796	19662	18639	18575	19416	32733	33536	36886
551.5		CSH_posESI #176	10.78				15863	13627	18300	15342	9860	8676	9163	9649	11788	11774	12719	11376	18156	17335	21953	20833	25511	26914	23298	35219	32715	34664	38602	40810	40775	41047	38918	7673	7689	7084
897.74		CSH_posESI #196	10.77				33260	32503	30543	30989	32945	32952	33003	33291	33638	32138	33084	32624	31088	30246	31845	30390	32063	29970	28570	27285	26709	27301	26836	29160	31845	28645	33145	25026	26596	27113
876.68		CSH_posESI #197	6.58				10987	8955	13089	9587	7396	6668	6332	6375	6243	6791	7864	6687	8617	9075	10361	9566	9933	11598	9135	9619	9409	9590	12017	8067	8084	8103	7956	14970	13039	14186
369.35		CSH_posESI #201	10.31				89897	66924	111553	84250	31002	24582	28391	28904	31414	39615	42060	33710	79746	71620	81782	95514	103140	122793	86760	100587	101430	94408	114277	63163	65869	64749	69615	549471	497011	531850
925.77		CSH_posESI #203	11.18				35672	35313	35536	34973	36307	38740	36977	36956	37826	37187	37611	37442	34578	36610	34616	34548	32594	32116	32096	28520	29091	29044	27748	28500	28240	28749	28562	27168	28483	31171
893.7		CSH_posESI #211	10.07				14486	12977	16797	14011	12417	11864	12400	13472	15457	16183	15958	15938	17840	17489	17990	14297	14768	15412	11780	10812	10513	11116	11330	12753	11869	12131	11916	53133	57783	59733
808.74		CSH_posESI #215	10.15				31816	22557	39610	25990	17010	15920	16006	16730	21813	24158	27426	21831	38063	34389	44945	35950	41252	56119	35188	41652	37182	41204	47975	74541	66278	71726	64123	10260	10142	9558
848.54		CSH_posESI #230	4.95				24872	31152	21893	29431	35173	35892	36932	35437	38406	37021	32185	36134	34990	36835	33038	35516	35581	30556	37381	34339	33778	33181	32958	30708	31645	30823	31047	79423	85190	88463
1162.86		CSH_posESI #232	5.45				31252	37234	27441	34462	40177	43606	43564	41368	42595	39450	36849	39768	38154	38706	34148	43811	40662	33077	42770	41920	42508	41882	39027	39732	41164	40707	40459	3318	3160	3677
1516.13		CSH_posESI #261	4.93				76098	52774	100648	61558	49908	43405	41166	42369	29297	42061	46793	36842	35853	37031	41000	27925	25825	44223	22567	11313	11952	11026	15198	13605	12197	12500	14114	48006	37707	47128
