Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_QC01_pos_0314.d	CSH_QC 02_pos_0314.d	CSH_QC 03_pos_0314.d	CSH_QC 04_pos_0314.d	CSH_QC 05_pos_0314.d	CSH_QC 06_pos_0314.d	CSH_SAT_1_pos_0314.d	CSH_SAT_2_pos_0314.d	CSH_SAT_3_pos_0314.d	CSH_SAT_4_pos_0314.d	CSH_SAT_5_pos_0314.d	CSH_SAT_6_pos_0314.d	CSH_SAT_7_pos_0314.d	CSH_SAT_8_pos_0314.d	CSH_SAT_9_pos_0314.d	CSH_SAT_10_pos_0314.d	CSH_SAT_11_pos_0314.d	CSH_SAT_12_pos_0314.d	CSH_SAT_13_pos_0314.d	CSH_SAT_14_pos_0314.d	CSH_SAT_15_pos_0314.d	CSH_SAT_16_pos_0314.d	CSH_SAT_17_pos_0314.d	CSH_SAT_18_pos_0314.d	CSH_SAT_19_pos_0314.d	CSH_SAT_20_pos_0314.d	CSH_SAT_21_pos_0314.d	CSH_SAT_22_pos_0314.d	CSH_SAT_23_pos_0314.d	CSH_SAT_24_pos_0314.d	CSH_SAT_25_pos_0314.d	CSH_SAT_26_pos_0314.d	CSH_SAT_27_pos_0314.d	CSH_SAT_28_pos_0314.d	CSH_SAT_29_pos_0314.d	CSH_SAT_30_pos_0314.d	CSH_SAT_31_pos_0314.d	CSH_SAT_32_pos_0314.d	CSH_SAT_33_pos_0314.d	CSH_SAT_34_pos_0314.d	CSH_SAT_35_pos_0314.d	CSH_SAT_36_pos_0314.d	CSH_SAT_37_pos_0314.d	CSH_SAT_38_pos_0314.d	CSH_SAT_39_pos_0314.d	CSH_SAT_40_pos_0314.d	CSH_SAT_41_pos_0314.d	CSH_SAT_42_pos_0314.d	CSH_SAT_43_pos_0314.d	CSH_SAT_44_pos_0314.d	CSH_SAT_45_pos_0314.d	CSH_SAT_46_pos_0314.d	CSH_SAT_47_pos_0314.d	CSH_SAT_48_pos_0314.d	CSH_SAT_49_pos_0314.d	CSH_SAT_50_pos_0314.d	CSH_SAT_51_pos_0314.d	CSH_SAT_52_pos_0314.d	CSH_SAT_53_pos_0314.d	CSH_SAT_54_pos_0314.d	CSH_SAT_55_pos_0314.d	CSH_SAT_56_pos_0314.d	CSH_SAT_57_pos_0314.d	CSH_SAT_58_pos_0314.d	CSH_SAT_59_pos_0314.d	CSH_VAT_1_pos_0314.d	CSH_VAT_2_pos_0314.d	CSH_VAT_3_pos_0314.d	CSH_VAT_4_pos_0314.d	CSH_VAT_5_pos_0314.d	CSH_VAT_6_pos_0314.d	CSH_VAT_7_pos_0314.d	CSH_VAT_8_pos_0314.d	CSH_VAT_9_pos_0314.d	CSH_VAT_10_pos_0314.d	CSH_VAT_11_pos_0314.d	CSH_VAT_12_pos_0314.d	CSH_VAT_13_pos_0314.d	CSH_VAT_14_pos_0314.d	CSH_VAT_15_pos_0314.d	CSH_VAT_16_pos_0314.d	CSH_VAT_17_pos_0314.d	CSH_VAT_18_pos_0314.d	CSH_VAT_19_pos_0314.d	CSH_VAT_20_pos_0314.d	CSH_VAT_21_pos_0314.d	CSH_VAT_22_pos_0314.d	CSH_VAT_23_pos_0314.d	CSH_VAT_24_pos_0314.d	CSH_VAT_25_pos_0314.d	CSH_VAT_26_pos_0314.d	CSH_VAT_27_pos_0314.d	CSH_VAT_28_pos_0314.d	CSH_VAT_29_pos_0314.d	CSH_VAT_30_pos_0314.d	CSH_VAT_31_pos_0314.d	CSH_VAT_32_pos_0314.d	CSH_VAT_33_pos_0314.d	CSH_VAT_34_pos_0314.d	CSH_VAT_35_pos_0314.d	CSH_VAT_36_pos_0314.d	CSH_VAT_37_pos_0314.d	CSH_VAT_38_pos_0314.d	CSH_VAT_39_pos_0314.d	CSH_VAT_40_pos_0314.d	CSH_VAT_41_pos_0314.d	CSH_VAT_42_pos_0314.d	CSH_VAT_43_pos_0314.d	CSH_VAT_44_pos_0314.d	CSH_VAT_45_pos_0314.d	CSH_VAT_46_pos_0314.d	CSH_VAT_47_pos_0314.d	CSH_VAT_48_pos_0314.d	CSH_VAT_49_pos_0314.d	CSH_VAT_50_pos_0314.d	CSH_VAT_51_pos_0314.d	CSH_VAT_52_pos_0314.d	CSH_VAT_53_pos_0314.d	CSH_VAT_54_pos_0314.d	CSH_VAT_55_pos_0314.d	CSH_VAT_56_pos_0314.d	CSH_VAT_57_pos_0314.d	CSH_VAT_58_pos_0314.d	CSH_VAT_59_pos_0314.d
896.54		CSH_posESI #034	4.841				1247	1818	1329	1347	1620	1485	1163	2065	1738	1489	958	1581	4233	1570	1520	1698	3101	1622	1561	1744	3103	2693	1369	815	1841	2366	1385	1460	2098	811	1337	1250	1340	1520	2176	1547	2731	2740	1540	1453	1202	1943	3447	1601	3930	2997	2236	1111	2317	1731	1452	3613	2598	4303	6477	1258	2143	2401	3102	1238	2106	3244	2557	920	1641	3087	4262	2281	2721	1995	1775	4297	1997	5496	3180	3269	1625	2096	4509	3592	2840	1562	2651	2066	3871	2484	2681	5543	1557	2739	1853	2606	2493	3747	2540	2911	3287	2460	5186	3110	6297	4134	4084	5924	4322	4714	2829	3903	5423	2102	8626	6004	5272	3368	2687	3198	4014	5258	3056	4890	2634	3437	1687	2543
430.379		CSH_posESI #041	5.215				104338	118916	98988	94961	98634	89011	59531	34709	10107	126355	171906	65006	208826	65733	66433	68157	25068	162069	24964	140278	145227	48600	24569	30243	37189	53753	313730	88923	261801	40564	254203	14988	109766	129998	87879	143758	104986	142322	45989	61543	102015	49720	201422	28385	74586	60010	69966	55986	70944	248803	50398	298125	87844	54535	45828	55894	25947	606638	101990	64090	110015	21843	36809	31498	104258	102217	48020	26056	89753	320215	167642	92472	57083	26510	41711	14530	194493	69725	156295	261242	110435	45860	30189	64243	95283	727625	65923	229170	58866	876255	105589	322724	191153	130636	240251	16302	257081	54504	115571	116388	35493	184327	29370	70127	312372	68907	128200	106239	163842	51396	110136	63549	106467	49185	49283	43823	833447	37433	90231	131245	29228	64230	42076	120475
900.566		CSH_posESI #042	5.643				2281	2317	2854	2640	2298	2317	1326	957	2056	1718	1254	3044	3210	3540	1983	1793	6567	1830	1930	2217	3967	2348	1710	1415	2419	2539	2591	2250	2535	1175	1692	1523	1758	2197	2799	2512	2002	4709	1671	1766	1635	2112	1955	1842	3225	2115	3071	1575	2803	2674	1794	2632	2884	6540	5255	1318	1543	1651	3135	986	2793	2951	2408	1964	2624	2950	2920	2509	2649	1766	1980	3302	1718	3613	2960	3367	1439	3996	4324	4842	3150	1492	2673	3424	7564	4908	2311	4527	4297	3489	1956	3004	1784	2675	3585	2880	3201	1923	4047	2562	3979	2915	2128	8638	3318	7421	2634	3322	2497	2629	7223	2177	6127	4131	2011	2901	2699	2865	2037	10057	2353	6034	1752	2461
951.816		CSH_posESI #058	10.316				5270390	7825498	6984800	6319073	6399988	5438147	3583596	2928283	1986156	12071858	2327043	9912822	3885230	3977631	5727358	3161961	1731755	2600731	3692805	6882635	1095112	2851452	4127205	2344663	5068854	5117039	4775630	4480731	17640099	2955414	3065530	2220522	2146008	2207388	3002542	3108390	4435796	1805950	3734088	4812515	4799404	5139576	7422259	666280	5377310	3197663	1269594	1153703	3989590	2747681	4535961	5162490	4269376	1188111	1416409	2237807	3676769	3894970	1991911	1948134	1932931	1440419	2533562	1880791	3623408	5908214	5210291	3351082	11597346	5292461	7923408	6800459	3897053	5781067	2557365	2206734	2545081	10877712	14326602	3142819	6272557	2554083	4178807	9571988	4109341	11475800	4063755	7699525	5795309	5189308	6825703	6613467	4994184	4066863	6326516	8904459	3795378	4016639	7497956	4665428	5693015	14720309	2862027	3239744	19575844	983268	2706216	3217161	6725419	6412822	3395579	6143589	1782438	1664511	3953585	4142330	6592278	1805468	3784261	1701991	6544699	2998078	4590026	3672796
748.534		CSH_posESI #061	5.254				9395	8490	9579	9112	9164	9038	4586	11817	6651	14508	7875	9968	13419	14241	10984	8788	19190	17481	8398	6092	13636	10292	10009	5147	9061	10492	14157	7665	15425	2904	11534	3402	7211	16306	13451	12446	15523	12169	11034	10371	6522	12572	22687	10673	7338	18287	7334	5215	14865	20206	10533	23101	21315	16573	13619	6565	5157	26023	20971	5371	10667	6617	5055	5871	9610	11105	21307	10615	18683	14507	7674	15290	6911	12344	12324	10554	9746	7836	13686	26985	11937	6694	8883	10609	31174	24779	7131	18411	7004	24004	6735	15309	14272	12804	25230	9952	10773	8786	17456	13225	22152	24551	9676	30139	29906	16234	10350	13311	24152	9230	57708	16552	15931	9434	8738	13901	33325	11281	9786	33461	7445	13598	5458	8841
951.776		CSH_posESI #081	11.164				6133640	5314865	5711348	5574092	5475488	5544720	3279567	4441364	2913813	6130885	2861768	5236813	4765754	4047647	3648813	3806487	3495031	3174483	4299440	5458870	3207399	4248460	3753461	2661835	4385089	4385164	3279025	5405408	6293640	3242244	4276371	2648698	3723195	4071269	3674732	3580462	6524507	3791537	3749593	3982974	3827139	3907625	5932158	1604750	3822773	3229352	3727479	2324868	2900811	2935098	3577742	6230825	4038874	2411577	2836745	3209296	4251293	4338697	3551518	3163317	3789205	3261277	3992697	2639402	4668522	3869219	6541048	4026908	7857983	5104062	5550508	4106649	3827337	4819664	3332289	3354659	3302359	4671651	6338592	4073245	4031252	3100171	3972608	6744681	4709684	4929109	5073170	4435236	4035612	5193488	3839090	4081629	4304189	4534038	4678894	5797659	4153260	4099026	4887059	4423411	4583605	6867529	3244639	3064970	5667966	2529123	3287689	3335559	4904078	4249882	4050198	4839234	2923130	2541016	4209788	4149541	6261114	3374010	4814959	3966193	6697169	3598524	3438491	4313492
813.636		CSH_posESI #098	9.47				3418110	3909913	3650589	3217366	3245701	3377280	1593757	2494840	3139332	1458896	3872012	3633684	3972770	4007670	1887844	3633744	3999315	3629614	2542645	2135130	3263289	2722969	3570634	1375072	2446075	2288364	2350968	4169180	2934342	4445553	2917367	1011239	2933167	2087464	7114713	3126833	3554694	3161200	2281330	2238510	3804396	3664577	2359914	974126	2668562	1930860	3287318	2781227	4745784	3315557	1916197	3174443	2782981	3026791	3714083	2500860	2836643	3751643	3107067	1225051	3695428	932088	2114870	1723162	3877387	2933470	4549905	6192437	2038273	6999679	3530277	2965428	3544254	1899154	4237938	3875696	2921939	2546376	2325588	4979877	3239605	2802218	2073120	2460508	2572259	3591629	3673671	1849299	7029157	4648774	2028625	5541541	2817004	6912383	6044907	4135438	4579560	1985436	4183238	5138362	4172797	1887546	2954297	2843101	4808321	2816519	4618842	5500620	4565519	1777160	3265768	4559952	3741304	3691084	3720996	2720284	6255686	2569093	1747430	3670301	1415242	2901265	2856291	3747383
915.816		CSH_posESI #117	10.633				1912129	2989091	2695458	2406961	2232793	1910648	1583391	1308169	942611	3140901	1358081	3743183	2312593	2530082	1996038	1644932	1827884	1591745	1546631	2225338	866040	1582542	2400768	1053789	1829389	1864387	1965247	2850471	4357385	1664437	2145042	869894	1286881	1172719	1694917	1474078	2006576	1422673	2018626	1930065	2244898	2449712	2110241	384272	1835624	1226214	1062571	970877	1356956	1664676	2299442	2335530	1974913	717615	963885	1216632	1283050	1713941	1749647	973278	1652186	972859	1166035	1047434	1856849	2511514	1984083	1653652	2954930	2850818	3070801	2071987	2148022	1851696	1627088	1815695	1371093	2555711	3100456	1702413	2300415	1114213	1807460	2914190	1747102	4420516	2432597	2363387	2588558	2885605	2619551	2558518	1804487	2034083	3022135	2865620	2125661	2027452	3465593	2080962	2382065	2604320	1015421	1276901	4438481	757862	1746264	1367044	2134008	1926324	1351300	2647882	1057402	832198	1787469	1382899	2629564	1244005	1483613	1261970	2811782	1262513	1843027	1501199
865.667		CSH_posESI #125	9.599				5011506	5246259	5165312	4725541	4669367	4614088	2915894	2721956	2583926	2387841	3238993	5874393	4958007	3684283	2535127	2555647	3360686	2837035	2806566	3159323	2142800	2316070	3505912	1736421	3789152	2417049	1878735	4853227	5298733	2491062	2916876	1232841	2181648	2210526	4834538	2672386	4413430	3012610	3085395	2907105	3852466	3438646	4386203	1079860	2967427	1646588	2072605	3844076	2817189	2765720	3237896	2023134	2900428	2385638	2644419	2630139	3147098	3155698	3073869	1858134	3703794	1979062	2323442	2083568	4092318	4065993	4526236	4291581	3733001	6109460	4462628	3585806	3271496	3046462	2652178	3637303	2472512	3344586	3604024	3668646	2813171	2313089	2423374	5162977	3030810	3767549	4170237	2504621	3664229	3188718	2941738	3776726	3041211	4615645	5200692	5565457	4532453	3066488	5300659	4417049	3786290	4092401	3046815	2384685	4486962	1798398	7272625	2814526	4815217	2679445	2045526	4408968	2991311	1992923	3596280	2816466	5513871	2088651	2574890	3465638	3745459	2687641	3044998	3169089
816.701		CSH_posESI #137	9.103				4228836	4929167	4705884	4483048	4401646	4354766	1861612	2809883	2897266	1707149	3798481	5231574	5101642	4233940	2365538	2779524	5463855	3070281	1946434	2349298	3836450	2276637	3234260	1447665	2265565	2465367	1686978	5945701	3834258	2928884	2743753	1065701	2552736	1978819	6409643	3150914	4001295	3903831	2570645	2649694	4563288	3941817	4360484	1009683	2737336	1642859	2794512	5113419	3017320	3098947	2593237	2121807	2603113	3087193	3771127	2584555	2392881	3863198	3409566	1778119	4628166	1559509	2217156	2160014	5382206	3054051	5099509	5142705	2410229	7375011	4945394	3354994	3694217	2366362	3258173	5749982	2841717	1756522	2475634	7483378	2761516	2497026	2197216	2428362	3030277	2406258	6069432	2088258	5335065	3795335	1933642	4845171	2737586	6292423	6523948	4758803	5687148	2699117	4475525	5889611	3857073	3489770	2467992	2683713	3941961	2431212	10850379	3293639	5366034	2175862	2489822	4212789	3829094	3634349	3837417	2322474	7318865	2560360	2520799	4696633	2165652	2750430	3256737	4449970
