Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_QC01_pos_0314.d	CSH_QC 02_pos_0314.d	CSH_QC 03_pos_0314.d	CSH_QC 04_pos_0314.d	CSH_QC 05_pos_0314.d	CSH_QC 06_pos_0314.d	CSH_SAT_1_pos_0314.d	CSH_SAT_2_pos_0314.d	CSH_SAT_3_pos_0314.d	CSH_SAT_4_pos_0314.d	CSH_SAT_5_pos_0314.d	CSH_SAT_6_pos_0314.d	CSH_SAT_7_pos_0314.d	CSH_SAT_8_pos_0314.d	CSH_SAT_9_pos_0314.d	CSH_SAT_10_pos_0314.d	CSH_SAT_11_pos_0314.d	CSH_SAT_12_pos_0314.d	CSH_SAT_13_pos_0314.d	CSH_SAT_14_pos_0314.d	CSH_SAT_15_pos_0314.d	CSH_SAT_16_pos_0314.d	CSH_SAT_17_pos_0314.d	CSH_SAT_18_pos_0314.d	CSH_SAT_19_pos_0314.d	CSH_SAT_20_pos_0314.d	CSH_SAT_21_pos_0314.d	CSH_SAT_22_pos_0314.d	CSH_SAT_23_pos_0314.d	CSH_SAT_24_pos_0314.d	CSH_SAT_25_pos_0314.d	CSH_SAT_26_pos_0314.d	CSH_SAT_27_pos_0314.d	CSH_SAT_28_pos_0314.d	CSH_SAT_29_pos_0314.d	CSH_SAT_30_pos_0314.d	CSH_SAT_31_pos_0314.d	CSH_SAT_32_pos_0314.d	CSH_SAT_33_pos_0314.d	CSH_SAT_34_pos_0314.d	CSH_SAT_35_pos_0314.d	CSH_SAT_36_pos_0314.d	CSH_SAT_37_pos_0314.d	CSH_SAT_38_pos_0314.d	CSH_SAT_39_pos_0314.d	CSH_SAT_40_pos_0314.d	CSH_SAT_41_pos_0314.d	CSH_SAT_42_pos_0314.d	CSH_SAT_43_pos_0314.d	CSH_SAT_44_pos_0314.d	CSH_SAT_45_pos_0314.d	CSH_SAT_46_pos_0314.d	CSH_SAT_47_pos_0314.d	CSH_SAT_48_pos_0314.d	CSH_SAT_49_pos_0314.d	CSH_SAT_50_pos_0314.d	CSH_SAT_51_pos_0314.d	CSH_SAT_52_pos_0314.d	CSH_SAT_53_pos_0314.d	CSH_SAT_54_pos_0314.d	CSH_SAT_55_pos_0314.d	CSH_SAT_56_pos_0314.d	CSH_SAT_57_pos_0314.d	CSH_SAT_58_pos_0314.d	CSH_SAT_59_pos_0314.d	CSH_VAT_1_pos_0314.d	CSH_VAT_2_pos_0314.d	CSH_VAT_3_pos_0314.d	CSH_VAT_4_pos_0314.d	CSH_VAT_5_pos_0314.d	CSH_VAT_6_pos_0314.d	CSH_VAT_7_pos_0314.d	CSH_VAT_8_pos_0314.d	CSH_VAT_9_pos_0314.d	CSH_VAT_10_pos_0314.d	CSH_VAT_11_pos_0314.d	CSH_VAT_12_pos_0314.d	CSH_VAT_13_pos_0314.d	CSH_VAT_14_pos_0314.d	CSH_VAT_15_pos_0314.d	CSH_VAT_16_pos_0314.d	CSH_VAT_17_pos_0314.d	CSH_VAT_18_pos_0314.d	CSH_VAT_19_pos_0314.d	CSH_VAT_20_pos_0314.d	CSH_VAT_21_pos_0314.d	CSH_VAT_22_pos_0314.d	CSH_VAT_23_pos_0314.d	CSH_VAT_24_pos_0314.d	CSH_VAT_25_pos_0314.d	CSH_VAT_26_pos_0314.d	CSH_VAT_27_pos_0314.d	CSH_VAT_28_pos_0314.d	CSH_VAT_29_pos_0314.d	CSH_VAT_30_pos_0314.d	CSH_VAT_31_pos_0314.d	CSH_VAT_32_pos_0314.d	CSH_VAT_33_pos_0314.d	CSH_VAT_34_pos_0314.d	CSH_VAT_35_pos_0314.d	CSH_VAT_36_pos_0314.d	CSH_VAT_37_pos_0314.d	CSH_VAT_38_pos_0314.d	CSH_VAT_39_pos_0314.d	CSH_VAT_40_pos_0314.d	CSH_VAT_41_pos_0314.d	CSH_VAT_42_pos_0314.d	CSH_VAT_43_pos_0314.d	CSH_VAT_44_pos_0314.d	CSH_VAT_45_pos_0314.d	CSH_VAT_46_pos_0314.d	CSH_VAT_47_pos_0314.d	CSH_VAT_48_pos_0314.d	CSH_VAT_49_pos_0314.d	CSH_VAT_50_pos_0314.d	CSH_VAT_51_pos_0314.d	CSH_VAT_52_pos_0314.d	CSH_VAT_53_pos_0314.d	CSH_VAT_54_pos_0314.d	CSH_VAT_55_pos_0314.d	CSH_VAT_56_pos_0314.d	CSH_VAT_57_pos_0314.d	CSH_VAT_58_pos_0314.d	CSH_VAT_59_pos_0314.d
746.571		PE (36:1) 	6.439				13087	13706	15244	13090	13770	13908	7638	12402	10454	11210	9199	18174	26467	19493	12817	11896	25261	15407	11858	10422	15522	11683	11491	7666	12092	13385	13980	13317	21492	6786	16106	7966	9941	11899	16217	13706	15603	26107	12374	15037	10788	12749	16817	9394	13567	13667	16791	10487	10314	17244	9985	18149	16684	23761	18187	8539	8805	11466	29891	7104	20542	10510	11407	9113	12925	12450	24441	17677	17726	15303	14182	22287	12266	17579	17596	23549	9980	10009	20242	40944	15019	9584	16644	15913	30740	23857	12463	21622	26444	34863	12733	21441	13804	19230	24628	18816	24553	14129	23760	20429	23319	21930	13081	35118	23060	38642	22789	13878	22760	10913	38412	18631	26768	14809	12767	18908	24428	18732	14619	46674	13720	23196	10146	16813
724.526		PE (p-36:4) or PE (o-36:5) 	5.455				76597	65004	84288	78121	77580	74453	47461	46126	54478	58197	41839	113821	56020	140636	79354	47168	80641	72532	83498	50463	60064	81268	73388	55079	94424	79908	73816	62849	110844	35136	75174	43635	51413	68115	83700	68907	80405	85200	66311	88185	45689	103272	70791	47675	58968	58498	45472	30565	82695	88073	82825	76285	77696	94973	88263	51622	39610	76588	116976	32953	66632	52545	44981	63998	79978	77577	82739	71229	75133	68792	64294	101442	46736	86022	41439	53532	42977	64795	91720	96611	85176	39549	82937	103773	101334	111560	45571	76200	123612	86925	55402	69068	40032	77528	102335	51122	66409	41397	119769	67898	123264	94638	51056	167287	108191	91862	44626	67622	76545	78586	101438	59905	81448	39221	65915	79462	82287	57266	57140	138771	61613	77703	58571	63965
752.557		PE (p-38:4) or PE (o-38:5) 	6.099				45730	38526	50930	46706	46563	44307	21647	25655	28729	35955	21874	71445	52443	83910	42132	49663	97438	53966	43026	38391	71574	65734	43905	28471	35469	60163	58437	44797	67286	30206	42972	31159	28894	38963	47373	30709	50078	81361	31219	56164	33628	45631	35519	24194	34105	31722	51293	26200	42199	63375	36044	63117	41629	89798	57234	23338	18336	32642	79188	21283	61874	28291	44939	31625	41755	45676	65482	59095	45803	42578	58006	68448	32897	57105	49696	59959	35506	45520	82689	107122	78343	35647	53115	57994	84607	92342	38025	73378	129107	61252	44560	48285	37721	50069	75040	43100	64897	26274	77941	57913	77295	44404	32091	123089	61952	80080	45013	46091	44925	41151	63559	35123	83186	29247	35209	48522	50260	44449	42539	130420	40322	99616	31149	36673
778.569		PE (p-40:5) or PE (o-40:6) 	6.134				4353	3731	4740	4231	4452	4232	2521	3828	3233	3829	2371	5034	5256	6132	4400	4986	8705	5634	3005	3207	6309	4402	4303	2336	3495	4977	4124	3944	5526	2080	4127	2374	3214	3600	5709	2933	4525	7176	3908	3797	3492	4683	4597	3047	3533	4880	5307	3799	5095	5629	3222	6959	5147	9142	7122	2590	1907	3651	8028	2268	5442	3326	3086	3047	4069	3972	8201	5248	5980	4972	4333	7794	3646	7927	4882	7514	3725	3468	7093	10989	5134	2838	6359	5291	9234	6986	3516	7330	7444	7799	3686	5836	3979	7242	6301	7511	5758	3533	7076	5402	9283	6036	4834	14168	7840	9153	6521	5824	6054	3823	12113	4990	8316	5802	4486	5097	5902	6614	5041	12711	3260	6436	3103	5035
790.573		plasmenyl-PC (36:3) 	5.101				9207	8046	10091	9524	8907	9493	4177	11626	6036	16675	4795	13703	6104	11234	8431	6469	5827	12763	9716	3967	5843	12516	11957	5961	11680	9941	11049	5322	15512	2621	6916	4604	3529	17028	7062	7801	16153	4688	9174	12446	4245	14484	35563	8011	5193	13476	3029	2848	9691	13777	8935	11642	11108	6050	7649	7617	10321	12409	10610	5229	4215	4428	5667	6295	5755	7611	10343	7777	9101	5682	4051	8861	3877	6708	4978	3179	4548	7835	5879	6167	7416	3852	4698	11326	9025	6515	3426	6933	3863	5200	3743	4111	8206	4248	5065	8573	3465	4362	9715	4552	14325	18509	4463	7928	10604	5165	3622	4184	8701	7438	11953	8004	5175	5199	6131	8774	7715	4364	4134	6994	6129	5797	3502	4344
702.541		plasmenyl-PE (34:1)	6.095				14195	12626	14295	13034	13251	12881	10473	12060	12003	13424	13766	15472	22103	24480	17919	14153	24519	19869	14129	11966	18786	12852	16535	7312	13298	18922	14954	15075	28070	9575	18600	9704	15267	18495	25837	19901	16270	20417	16475	15702	21810	18059	18100	8343	12765	16595	19072	13495	16951	19441	10453	22100	20071	22532	21184	10840	7857	22488	29037	9427	23317	12691	9929	11143	14732	15680	19200	17792	23907	22247	13563	16460	19546	18497	16062	17731	12658	12757	21958	41583	16169	9581	17948	18725	24228	28474	11968	23358	36579	46939	18327	31429	15726	23677	22165	21060	20021	17857	24251	26243	35596	24432	9435	47188	29744	35494	18369	22210	24845	8290	24754	25864	25268	58686	16189	21125	26609	33886	15507	32834	13266	16700	14861	18448
700.53		plasmenyl-PE (34:2) 	5.574				16373	13936	18013	16994	16421	15538	12723	9695	9475	15944	25334	9490	46112	26713	17632	14977	46796	29238	11303	9434	23685	11143	23192	4985	6965	28409	26407	29106	25602	9281	18777	7166	35845	29373	36382	33856	13840	25293	44666	13576	29933	12528	16735	8546	12065	24420	27423	33728	16708	28436	9658	23963	34750	37824	22645	11150	2929	36199	41461	17705	39539	12048	6591	10501	22274	13895	13954	21010	32603	31775	12134	15149	13395	12574	10464	31977	24660	9081	20152	58429	20499	13471	15658	12807	19286	63158	17839	28494	55611	82439	22715	91019	20979	44233	24946	14034	34489	45413	33603	30399	27838	24154	11557	31488	60692	26687	44448	30953	48476	9124	14661	51569	55245	4646	18680	12211	47271	29681	26656	30389	9761	9881	19611	28098
730.574		plasmenyl-PE (36:1) 	6.782				7482	6324	7571	6533	7359	6956	4878	7702	6123	8405	7035	9166	17117	12510	8814	11534	22596	12065	7024	7641	17925	9077	8564	4079	5462	12249	10568	8541	15905	6880	10041	7422	7794	10045	13416	9118	9902	14096	8426	10217	12369	8293	9849	4764	7487	8941	19236	9996	6973	12822	4575	17553	10793	18986	12521	5315	3751	8421	18277	5712	16260	7193	8032	5050	7635	8835	14380	12394	13210	12190	11035	10863	9833	10242	15927	17562	8288	10087	16409	33476	12207	6725	10438	10648	15271	21340	8222	17990	28068	32220	14580	17916	11729	13675	12255	13868	16099	10960	17167	19279	17876	12146	6222	24217	16363	28864	16428	12867	13746	4774	18555	14954	21243	20712	8491	14442	14716	16771	11059	23907	9553	14881	6527	10453
754.571		plasmenyl-PE (38:3) 	6.417				2990	2626	3450	2609	2978	2851	2358	1916	1968	4034	2947	3193	9742	5947	3476	4135	8405	5149	3085	3565	6288	3763	3298	1675	2220	5011	6942	3329	6225	2244	2912	2898	4218	3214	6370	3775	4380	5386	3572	4151	4976	3539	2136	2324	3125	3792	6475	3859	3664	5661	1826	9175	5166	6351	4297	2127	944	3187	6042	2790	6133	1610	2951	2338	2939	3483	3852	4958	4872	4632	4532	3696	3546	3733	4152	6603	4082	4662	7026	11000	7080	2827	3295	4408	5398	11411	2769	6737	13162	8810	4743	10238	4805	6550	3826	4831	6891	3511	6823	6484	7352	3513	3847	6524	7742	5847	6995	6666	6387	2419	5891	4761	7896	2428	3102	3459	5080	4239	4755	8107	2513	4949	2983	4581
750.543		plasmenyl-PE (38:5) 	5.499				40327	31972	48927	41318	41370	39798	24171	21405	28222	21626	16597	76924	33300	61381	34373	23663	41747	23796	33551	26070	34194	28271	29097	19656	54041	29985	23192	27162	61821	15372	35495	18482	17189	24967	34464	29851	38786	41793	22023	28123	22191	42618	45199	22396	21189	24570	27982	14728	40550	26521	32315	32256	35846	47793	44850	20304	26170	23528	48239	18406	40258	32765	25364	22143	35548	30108	46243	35824	37152	32359	39181	34078	18360	44400	19825	26881	15197	22375	49666	48065	31228	20618	32911	54976	43610	36676	21547	40475	47945	38173	22902	27182	16641	32917	44574	20527	31381	17194	43345	33920	51600	48759	18439	75615	43828	51805	20721	26847	43795	30864	52141	27595	38585	22193	25690	45682	32166	31385	26528	73686	34990	36982	18201	28133
780.589		plasmenyl-PE (40:4) 	6.609				2291	2063	2423	2128	2500	2455	1815	1240	1896	1527	1326	3368	4188	4481	2590	2220	4948	2617	2213	2043	4122	2813	1864	1281	2440	2522	2499	2308	2898	1482	2273	1888	2046	1610	3228	1918	2548	7285	1508	2559	1862	2400	1477	1379	2641	1894	3291	1811	2419	2932	1721	2255	2350	7172	5461	1349	1456	1752	4976	1231	3002	2757	2105	2270	2456	3149	3350	3188	2933	2525	3313	6253	3597	6887	3209	3952	1814	3094	5135	8067	3110	1815	5616	4082	8367	4775	3255	4502	5289	5560	2510	4140	1908	5070	4743	4392	5225	2437	5859	2960	6543	2223	2859	10559	2655	8156	3431	3170	2723	2342	5418	2509	5087	7044	2728	3505	2819	7518	3946	10200	3146	5514	2511	3397
689.557		SM (33:1) 	4.475				14230	14808	15212	14465	13640	13925	17039	10152	12117	12946	10712	16700	19901	26148	17246	17383	31762	19383	10750	9292	17897	17147	19263	8285	12122	17382	23005	17379	39943	5430	16799	10558	13654	16499	20526	23141	13169	15878	15429	14164	22698	47611	21622	8681	19704	21605	17183	11016	32673	21303	13984	36464	25654	27467	30360	11487	6712	21067	23919	10160	20393	12543	11454	9845	10318	17375	19915	13896	18753	17229	10006	17692	10003	20518	20622	17639	10624	12433	16276	24329	16438	9841	12997	17673	32144	25444	10175	20585	21707	23045	10236	18305	13815	20244	20236	19610	15478	10773	16713	18412	46395	21339	10946	37710	24456	24743	16779	20159	16087	9674	30854	17786	25168	37032	11697	9965	24829	18331	14328	33242	9701	15675	7332	8968
705.588		SM (34:0) 	5.023				12906	12902	15163	13050	12283	13268	10659	6361	10266	14202	8221	16224	27592	37567	20897	12428	73796	17902	17370	11644	33489	15842	11647	6749	26150	17139	15425	15942	25787	6173	12140	7984	12871	13960	24107	19832	19889	35125	11519	15317	17046	23845	15477	9904	14542	22393	23001	13646	29344	21284	14572	29727	27487	38499	28002	10632	10965	23904	27626	7724	22942	15554	11439	12694	16295	16493	24663	16887	21782	14979	13962	20176	20751	28148	35066	30121	11901	23074	23189	60758	16152	10491	19523	32725	62685	25774	15115	34799	26925	31236	12318	21326	17935	25000	28994	50767	25091	10753	28977	25362	39197	20612	12906	70490	27493	51049	25045	20878	29078	14369	47944	22715	33182	51691	16555	22082	33225	31166	15072	83474	14613	34114	11851	15484
731.605		SM (d16:1/20:0) 	5.46				48926	49109	53148	48781	51367	51953	38757	24190	22314	50305	31403	69285	51185	56282	45814	32299	85254	46078	35406	26896	49695	38015	36723	19878	39664	68815	61711	30778	73074	24406	34668	24445	30165	49348	55593	59237	46146	103789	40495	38338	33635	56876	35039	18784	46917	53113	43230	24694	46674	48470	24545	54469	61034	76218	83634	19181	24512	33887	72356	30386	53361	37885	21433	25721	48358	63596	63028	39083	70286	40636	32537	64542	49475	71505	54564	51214	27902	47759	60994	94818	42955	27007	55422	54070	140659	87471	32694	87392	103705	83235	36619	56627	50715	62091	57304	113951	52548	36475	60425	57053	115510	49324	26503	214990	66214	113482	50965	51318	40392	33548	89008	55826	68502	226888	38385	43584	48720	99839	41039	150104	34706	54461	30293	45526
729.587		SM (d16:1/20:1) 	4.895				47159	47292	51732	47364	48212	47669	36570	14851	24017	46043	22902	41247	33119	38569	27391	24123	43607	34742	25224	16990	29963	25532	34837	15849	26075	56298	48168	24613	60373	17224	38938	21446	15622	38109	35330	41904	25777	48030	36303	32406	23452	52537	23578	9465	41291	31410	22779	12774	29258	37824	19512	39204	47672	37210	54667	14390	19177	20904	40546	18888	33217	29675	17183	16234	23980	44767	31272	35635	52737	26830	17202	53696	26364	43091	31648	25584	18314	33939	40524	50293	29503	15952	47019	46844	62165	47851	21487	47669	75887	48940	25505	26697	25702	36284	25547	49408	33236	25105	45588	29059	69096	34727	14515	112731	39780	49003	26819	28041	29280	17521	42157	39213	36243	84721	21778	28817	27442	46656	24190	58151	26423	28844	21949	24359
675.541		SM (d18:1/14:0) 	4.177				23954	25376	26894	24578	24313	24097	21868	14039	18274	18801	16620	29291	24988	40018	22293	20632	45262	22613	20729	14246	23421	25000	23978	11964	28114	26634	33597	22012	41494	10066	25167	12725	19771	25349	37422	37526	23682	22154	17566	19344	31346	59546	27154	16693	27535	32060	24331	18062	60368	23021	17722	40228	36702	47336	50358	20391	16726	29584	34071	15106	30681	19556	16465	15523	23287	23911	27983	22141	26953	22371	15593	26685	16955	28535	25812	24714	11732	19893	23287	30300	23086	13166	20726	35614	46659	31358	14666	25440	37540	30537	13879	29917	22620	35762	28236	34211	20468	10827	23714	27321	59596	25346	18976	51905	35823	38134	27596	32771	28325	11433	40627	26573	42495	69714	20339	17366	38745	26623	20372	53522	14225	21940	12398	17960
703.573		SM (d18:1/16:0) 	4.817				457350	500680	526743	491017	517077	534302	361979	271726	355563	461545	245859	594820	704598	805749	561155	417953	1205065	486677	408377	447073	766839	439835	421354	212784	567990	511729	542012	432396	906795	224015	447636	283574	365528	389574	586578	625024	625510	609475	429090	452911	577831	659172	586112	277045	585152	466457	592140	362101	780867	584875	478137	930119	815520	815356	745973	310219	427740	679898	825342	241885	697798	468938	462697	318067	464827	490530	645681	532505	650004	506243	496839	578038	436011	718579	598857	695280	320473	601275	691253	1295017	512313	249638	486556	987766	1081371	741025	364868	739088	1082988	809060	439887	608163	504193	607699	684957	813059	514591	386052	707665	631687	974174	687886	374164	1228905	741749	1004722	615839	583565	775621	382683	945580	720633	780772	1143686	455199	701008	934297	603725	522526	1404157	499378	806029	357027	410242
701.557		SM (d18:1/16:1) 	4.274				53795	57802	61280	54449	55746	54687	38736	20623	42328	44313	24375	46576	27714	67125	36576	33595	66818	39669	41767	24684	42310	38825	44539	26516	48676	47649	45747	37172	85793	19239	57533	34842	22055	42362	40559	57831	34174	30932	43517	47836	37564	97677	42923	18012	44482	35243	27207	21531	48520	42071	37720	56718	56331	41609	55411	27402	27420	38161	41791	23952	44993	45161	32184	23533	24655	29375	30356	36685	44984	27557	19535	40319	20694	34015	27614	26090	20488	30822	30610	49011	28052	17853	32651	69520	48508	31513	18240	32359	67125	38312	21358	27164	20777	31700	29104	36382	29411	20966	34700	28520	62949	43616	17021	62746	37743	32298	27749	24387	40167	18144	36295	30965	42247	51046	21616	26479	41285	31111	25930	52642	26042	35842	18228	16492
799.665		SM (d18:2/23:0) 	6.598				11148	12916	12920	11765	11776	12621	7271	6491	6845	8921	7886	9930	10271	13075	7977	10207	13158	10664	7598	6974	8313	9789	15946	6829	4933	10728	13611	10017	18554	4173	12267	5978	6037	9978	15034	12958	9224	10159	13028	9753	8324	20254	11834	6026	13013	11403	8451	7113	11955	12056	6477	16962	18701	13251	15181	9669	4093	9850	15168	5548	11863	5933	7525	6678	8059	10741	8986	11493	13084	14662	6034	16201	6712	9433	11090	8033	8160	11397	11478	9616	10756	9318	9393	8804	16209	19632	7782	10266	17339	14362	8122	9961	7716	14961	13543	10839	12287	8411	11568	9517	23642	12572	8003	18645	19922	13140	12722	11845	15931	5291	15970	19524	14468	26561	10825	5993	15845	10324	8885	15207	8682	9871	6065	6869
811.662		SM (d18:2/24:1) 	6.246				30446	30849	33285	30236	30271	31844	23905	14320	20413	24883	13216	34409	30168	30958	23088	18366	50176	29801	23784	12016	28629	21735	18522	11682	30191	29715	24937	13666	53775	9332	37255	16313	9780	22320	28214	33435	22261	32587	20053	27583	17892	50322	30512	15588	33841	25401	20464	11133	25108	29958	21943	29289	42262	41492	49223	13647	19578	15917	37026	12594	27741	37620	19911	14918	25510	30891	30192	26921	40054	20477	15200	48197	20265	38656	30591	27020	14821	29358	30017	48658	20856	11906	31495	40010	71281	30497	16410	36649	38520	47071	16906	19995	17158	33866	30562	48214	29816	15604	37883	26238	58624	36034	21276	74875	28054	53318	25435	20610	35127	17625	43419	35608	34834	81885	20630	33176	24616	41944	19320	66562	23291	36634	13164	23295
759.635		SM (d38:1) 	6.156				42339	46380	48681	44560	45526	44381	24205	22550	18276	30379	28603	53976	52430	54830	40633	23796	51974	35853	25968	28983	36502	28131	33225	15537	30323	32300	38074	34094	50052	16905	23302	18931	29692	37685	41009	36275	52006	55862	34483	24848	30888	42789	34112	17327	33180	35805	39303	24080	32980	40908	18477	57499	49148	56451	59297	20901	16963	30558	65094	30215	47272	23839	17467	22158	46149	44994	47865	36660	58826	45379	37387	57381	35798	58443	39398	36663	28934	38559	55434	67446	32641	26378	41875	42126	89291	73596	27407	41326	98369	53460	29282	55504	44053	48360	55752	88552	42772	30071	41551	48934	78145	41139	26468	93297	63133	65460	49135	33831	40193	25305	55049	54375	55802	102648	32945	24773	51458	52693	46131	95765	32631	35023	25205	44271
787.667		SM (d40:1) 	6.849				87769	93188	97433	87851	87676	89146	35625	44183	44907	54737	56262	103650	125284	145977	82517	62820	195071	76153	63699	60082	123373	76333	75091	48232	62048	65706	79319	105274	103472	41878	47648	37948	76173	70076	93522	68663	118012	143469	70476	72749	74234	68741	61128	48770	81743	73682	100806	72802	92171	95565	45774	136780	114139	116744	110815	55682	38978	79829	144063	53515	117846	44247	53130	65442	82932	67801	82290	82520	86911	89284	79253	116052	91883	111930	84362	119341	62854	84192	107977	178353	74729	49069	103260	84489	171798	132516	75885	84377	236721	105919	67084	116931	95688	96205	111681	195113	110076	58117	90675	101551	143097	61228	68843	170093	129149	125587	128604	77912	87925	52046	107035	110478	110051	185144	75247	45092	116949	101944	98980	211523	79583	101074	69208	85444
785.651		SM (d40:2) B 	6.256				43272	45654	48201	43143	44774	45543	15576	14903	20443	21980	18875	29234	23400	39217	19542	20165	35529	28131	20277	14607	25699	22822	32707	19481	16220	26730	26837	30319	41558	14613	32523	17249	17198	36001	29307	30410	23217	30306	38175	32719	18098	43567	23662	13269	30253	22655	18495	18206	20229	32396	15232	33288	35356	33322	38745	19781	10728	18415	38266	22512	32942	20201	17736	21262	23592	22068	20591	34320	39820	31017	15939	49735	19291	23273	23102	21992	20731	29318	24080	32329	24054	18449	31722	27588	44111	41210	20556	16107	68358	38733	23689	29933	25872	31555	30130	30924	33340	23044	38019	22848	51129	28611	20062	43247	36607	25958	32471	19382	35227	13192	26403	35212	36089	41832	21674	16244	28511	24316	31635	45544	26624	24790	21047	18572
801.684		SM (d41:1) 	7.197				20798	22955	22759	22012	21316	20745	13688	15154	11592	17028	19144	27012	42704	34947	31094	27219	60960	23328	22737	22487	32310	26497	28119	14253	16332	21379	31217	29235	33742	9241	17172	10404	21141	17406	35973	23177	32486	36175	22274	19474	25024	27573	24209	16005	25466	30842	32952	22473	45773	30224	16391	55804	49354	33755	35600	22041	12381	32036	40379	11751	30187	10570	17822	15798	21183	23981	27752	21796	22977	32568	22671	28130	23011	36866	31442	34108	22104	27876	36462	43696	25413	19280	23189	23623	48824	51168	23881	29260	48972	35111	17785	28615	24191	34005	36995	46211	29631	19497	22840	34010	51296	21818	19968	44471	54609	36651	42620	35896	30929	16916	39928	47901	38711	62033	28954	12890	43980	33678	21525	54759	18583	30050	15338	21990
740.676		TG (42:0) 	9.383				1797520	2300388	1820204	1698677	1696891	1476813	860437	2738782	2579670	1325390	4746163	2428215	2962757	4539065	1293211	4817446	3879648	4033101	1502182	1264928	3250051	3302240	3738419	1127421	893210	2378131	2939029	2759571	1601134	5551863	2312995	918597	3570706	2309378	8557133	3506444	1881260	2512912	1763342	2242312	3326612	3127778	1538363	829199	2658852	2590936	3879907	2632709	3321920	3977519	1224771	3847667	2068145	2893911	3519415	1915724	885535	2629574	3033716	789090	3066960	511587	1794401	1448136	3350539	2268199	4281082	7697738	1253805	6932998	1993757	2432332	3924805	1002084	4815870	3404035	3564692	1802329	1722780	4973888	3667749	2677510	1351075	1120199	1727476	3995345	2497702	1503135	10468593	4587420	1593974	8172182	3152687	7040505	5981258	2113676	3906294	1941775	4456807	4360180	4353803	1129246	2496320	3043261	5302271	3148863	4557828	8167890	4870326	1394927	3635897	3706635	4203793	3206565	2739101	1484080	4235026	2844024	1175010	3194395	744252	2455948	2289712	3387538
738.661		TG (42:1) 	8.884				1294854	1365470	1319392	1270917	1235693	1111310	665734	1723243	2184549	574105	2523405	1196803	2501033	2657225	624599	2811338	2599578	1532100	1087853	714391	2675337	1458305	1907657	493273	1009847	1168381	986645	1628240	1009068	3438909	1223043	427143	1726016	1303867	7350381	2111805	1269164	1629332	894881	881809	1933150	1731823	923905	659163	1064016	1418202	3161268	1466055	2898975	1497527	763435	1862760	1408943	2774729	2610152	1113001	1451352	1822166	1847746	491383	2153059	351994	1711654	796911	2512820	1187747	2960809	6018267	637626	3472425	1257341	929638	2262765	608648	3304050	2817935	1377613	703836	692844	4090302	1464736	1844757	672671	680360	1259672	1237064	1636322	814860	6877833	2111026	634703	4126645	1551964	5447968	3979793	1469506	2585930	845765	1856969	2753322	2105582	735581	1939179	1735440	2250110	2735761	2527079	5193027	3231740	723595	2875225	2967683	3431653	2855259	1672362	1751911	3228765	1702867	639496	2604019	438077	2482872	1226287	2339943
766.692		TG (44:1) 	9.411				6432461	8085333	7193668	6572637	6388398	5560707	3248035	7690629	9338469	2914634	12807910	6845933	10184350	13469349	3609681	13551743	11472139	9147778	5502329	4110451	7662628	7980362	10970188	2807390	4355550	5588498	6188536	8134334	5105762	14378369	6793567	2054058	8245875	6306350	30166521	9405569	7323507	7776308	3604089	4450922	9989374	10016342	4409735	2442847	6275530	6768544	11171183	6379639	14326327	8752255	4022731	10927806	7592712	9981775	10904590	5812229	4795741	9010008	8308496	2250584	9358258	1266256	6234487	3802864	9456054	6941732	14348161	28050350	3858476	21535175	6833566	6997269	10399415	3144079	16929161	10754462	7691719	5726330	4422791	12854436	9129804	8815152	4124688	3876909	6360791	9266962	7541996	3872067	27048528	12111606	3922548	19694588	8928929	24910458	19615072	9362600	11886486	3825360	10485531	14755273	11693970	3406081	7608290	8258259	15473708	9827925	11897737	24294975	14167357	3675884	12747616	12944241	13061723	10275232	9133821	6902031	16120197	7495692	3683072	10350323	1839087	9095442	6538657	8886080
764.676		TG (44:2) 	8.964				1777780	2169253	1999778	1799081	1855787	1758755	1132989	1897668	2530231	689086	2897136	2006039	3513172	3293326	866810	2989204	4818953	2193270	1388873	1061438	2514657	1724513	2463230	816604	1421605	1497255	1303553	2464897	1586370	2829680	1747064	574220	2115956	1879452	7938875	2224788	1943342	2478834	1116644	1135179	2917375	2300883	1504167	841085	1392246	1717788	2904348	2136478	3195140	2081800	1051882	2087033	1869841	3193379	2817150	1802452	1909612	2265243	2250636	787406	3278839	546168	1873564	1077767	2576193	2191148	3557639	5919565	953700	4291499	2017873	1432644	2728918	862436	3858773	4851879	1710514	944247	1084863	3989479	1924783	2243412	1069796	997291	1733536	1639389	2570945	1111621	5065655	2979305	856585	4281534	2407464	6150375	4552768	2125655	3724046	1066345	2562102	4082038	2366739	1204149	2384203	2079445	2913414	2670927	3801964	4678635	3440863	1025447	3442804	2998805	3922891	3152483	2506859	2164896	4346150	2159211	1166246	3286842	639137	2619969	1826523	2272362
