Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
UNKNOWN 07934 BP *156.13759*, RT 1.14513	758248	Counts	12976		19294	43767	24854		21781	22301	10441	9602	9167				12665		14476	6611		12633	23560	24400	7361			22625	16662	12080	6598	12872
UNKNOWN 07936 BP *219.134*, RT 1.17504	758250	Counts	59152		17119	124837	41613	39971	15881	109012	38983	28096	24158	96228	34971	63908	26440	55751	59938	101371	29261	17160	60928	26948		28908	21860		11605	8885		8782
UNKNOWN 07945 BP *300.2434*, RT 1.25928	758259	Counts	204513	368006	175310	328085	258856	312294	203178	314716	202971	232099	80773	169195	208495	169462	93431	124919	93798	115497	163706	55426	257331	119986	47510	91062	135824	75115	92972	69377	39353	27455
UNKNOWN 07949 BP *191.23731*, RT 1.28528	758263	Counts	233811	222358	158642	246591	200137	256627	197679	273928	232986	242586	177491	209046	268754	208289	158689	177672	276970	205483	222454	150102	276078	245214	115693	245851	301307	196871	203629	193461	131871	194015
UNKNOWN 07960 BP *132.2407*, RT 1.34207	758274	Counts	1140123	224361	443159	213752	136139	765668	467711	309943	712624	464581	688528	708010	428791	214247	590367	178600	1546784	206278	890407	1351742	471184	356839	470982	458602	594182	655944	875812	228970	607695	1004444
UNKNOWN 07964 BP *156.13772*, RT 1.34546	758278	Counts	12749	11916	18907	12088	16293			18247								8444	18581	8851			22871		7369		18162					
UNKNOWN 07965 BP *247.12834*, RT 1.38621	758279	Counts	530778	435909			283003	353744			264000	141962	114183	361637	553093						271303	568560	104018	171549			108839	27638	51042			238567
UNKNOWN 07967 BP *90.11062*, RT 1.34949	758281	Counts	378271	93853	358396	139759	315181	572653	390764	126480	460726	478698	260549	434606	518223	92921	300309	63039	659832	90803	511849	357515	157810	102198	227173	124819	164868	410324	520877	409911	260488	535734
UNKNOWN 07972 BP *204.97901*, RT 1.40031	758286	Counts		16731	18451	13619	11209	21999		22065	10621	10366	32877	7857	30972	20018		17295	20609	16549	11158	47966	23513	21541	35671	21722	28403	22983	16777	20373	11959	58019
UNKNOWN 07979 BP *465.24465*, RT 3.64083	758293	Counts	9335	71140	19278	59932		47562	46517	22029		40583	15949	16819	21099	18591	13204	19340	20447	13040		12338	6321		8935	15783			44395	20649		12323
UNKNOWN 07992 BP *625.31916*, RT 3.69224	758306	Counts	39098	59486	39827		46144	48947		26779		59422	24741						17902	30540						30493			60654		43649	
UNKNOWN 08003 BP *284.33138*, RT 3.6666	758317	Counts	160378	130363	128342	195599	110499	149245	135338	152767	82946	129183	38489	228894	172555	176324	89312	180637	119809	205933	78541	137685	244694	170360	77415	180353	283810	148249	129662	140004	31411	117783
UNKNOWN 08005 BP *400.34096*, RT 3.69736	758319	Counts	45786			26380		42702	63720	15045	15710	51172	43280	22436	66911	49068	24595	51126		32223	22246			83772	49462	43039		11080		32368		135554
UNKNOWN 08006 BP *525.30217*, RT 3.72535	758320	Counts				74763		61902	43834	65509			47534	33555	45295		38388	29532			35324		37713	21897				63594				23492
UNKNOWN 08008 BP *293.20878*, RT 3.77285	758322	Counts	781747	1800841	863862	610441	1433990	1514944	4568736	1888077	516893	131681	382329	261430	686582	379607	280464	1142520	429611	796474	599381	539132	756034	1201010	208193	676350	340735	972878	1461550	1768048	93276	730504
UNKNOWN 08013 BP *156.13746*, RT 1.50099	758327	Counts	236774	11761	215208		297189		168739		260217	259521	131606				202877		238944		206933	168842	20240		172173		25150	184786		159246	151489	271080
UNKNOWN 08014 BP *260.16078*, RT 1.46065	758328	Counts	270382	47092	36866	388716	35264	103251	6419	338149	169208	17873	15813	287533	179381	236051	15818	223974	136385	356222	43894		142802	88384	11631	86443	72822	14313		13686	13087	22184
UNKNOWN 08018 BP *204.97868*, RT 1.58817	758332	Counts	18600		26339	13767	20876	31787	21228	18567	22418	10133	32988	9167	32857				20825	39359	32518	64537	20908	22785	36675	70530	41522	26412	19271	23293		69288
UNKNOWN 08028 BP *203.13824*, RT 1.97043	758342	Counts	18755			55798				39621	12717			34357	9493	23959		28531		39840			12663	5930								
UNKNOWN 08047 BP *249.18503*, RT 2.41996	758361	Counts	182871	196587	100529	161558	126709	181503	116174	251821	170849	136918	169583	140330	184635	159232	145534	173795	164816	147372	162611	150372	178487	130939	182112	126977	186226	103977	129268	166942	133906	173387
UNKNOWN 08049 BP *89.06032*, RT 2.42234	758363	Counts	20729	26830	15799	26947	19280	34730	14930	45032	9661	6559	16020	17983		22960	26945	27130	35649	27559	31485	29262	33090	28442		16078	32679	17943		25172	22453	32019
UNKNOWN 08059 BP *639.33418*, RT 3.73524	758373	Counts		59782		68931		68437	60197	54483	31797				39121			30612					12018		9382							
UNKNOWN 08061 BP *410.52893*, RT 3.75411	758375	Counts		31405	25701	76145		51702	39614	106463	14257	38164	30549	8970	16733	48117	11126	63377		56835	14105	12174	28315	12120	18370	25127	15524		23854	7753	19547	26484
UNKNOWN 08062 BP *410.34816*, RT 3.75684	758376	Counts	3506179	5580285	3221900	5060809	3747305	4106471	4654750	4979885	2908338	2187720	1558099	4410469	5636898	3534707	1410107	5153452	2479307	3903195	1729760	2439361	4114953	3801809	1178724	3762490	3288506	2175822	1552916	863137	323692	2532832
UNKNOWN 08063 BP *440.35855*, RT 3.76104	758377	Counts	126499	176781	108058	160184	89650		140247	152688	40247	86974	73387	76921	137933	123505	47560	158061	112445	133195	42801	88003	141761	127755	50121	109565	143311	45423	72860	60847	30397	64267
UNKNOWN 08064 BP *389.25162*, RT 3.75724	758378	Counts	756374	718951	620494	805795	554048	745738	606545	954497	607306	595954	515957	620772	757851	703541	285519	697299	568618	722249	592382	514054	491720	770308	231123	830243	738331	539983	361389	256814	171337	521622
UNKNOWN 08069 BP *539.31745*, RT 3.77984	758383	Counts						43208	63735		65385	89454	41101	52958	59783			41378		77187			45119	87952	49113	64678	32030					
UNKNOWN 08072 BP *395.29073*, RT 3.78225	758386	Counts	1431223	2086264	1712732	2169785	1654082	1791896	1910524	2013816	801472	758998	471181	710284	1827697	1485763	380604	1684766	1254636	1730973	1519839	1213260	1597954	1965153	356676	1979810	1586269	1292485	327104	1275049	79969	1876142
UNKNOWN 08075 BP *90.97741*, RT 3.83817	758389	Counts		49901	25755	30008	33069	27884	23676	43760	23527	27949	22670		46197	26182	17318	23888		43391	12991	18724	27600	6959	34395	27972	30234					11222
UNKNOWN 08076 BP *416.24443*, RT 3.8007	758390	Counts	162859	132915	259313	86016	179784			826883	288309	172687	269112	78071	95054		175444	103163	216448		187627	270289	2170298		131171	279493	127431	756359		311289	326436	
UNKNOWN 08080 BP *340.2614*, RT 3.82605	758394	Counts	8193156	5508774	4019070	18639429	8192291	15598425	2662197	16214925	5718155	3795889	2699859	4159848	5950598	10166041	4360444	7530219	7515563	10301569	2900635	6178029	6309479	9451931	3757232	10657485	8238765	4477665	2080764	571332	1256095	7422478
UNKNOWN 08081 BP *74.09811*, RT 3.82833	758395	Counts	10577046	8670151	6420658	16723575	9042470	14386503	5721907	15426664	7644026	6804601	3013884	6998555	8310254	10849048	5342309	9525823	8252547	11338781	7983784	6362901	9129964	10175411	3233763	11280426	9690013	5607879	2771587	4576013	1330992	8562466
UNKNOWN 08082 BP *386.23358*, RT 3.82897	758396	Counts	70119	116114	98626	98189	33091		51934	128510	46402	51614	48710	65059	85398	102637	44509	136359	18530		61154	32691	98174	103651	37334	90367	81313	9996	44044	40837	16872	31676
UNKNOWN 08083 BP *495.29136*, RT 3.83755	758397	Counts	94643	73692		31450					89008		55307	93718	75907	99226	54840	104457	64446	102765	45046		52042			56977	74679	61539	63879	64943		
UNKNOWN 08084 BP *553.33282*, RT 3.83151	758398	Counts				58095	17234	35462	29120	26748	14133				28565	38507	6546	41260	18054	22997	8787		36194	5641	14523	23046	28946		13007	14688		28486
UNKNOWN 08090 BP *166.24185*, RT 2.51067	758404	Counts	508573	392639	286106	263959	188971	328859	212163	519179	366118	283660	548075	224808	509645	279134	397465	434877	414460	310980	436273	494543	544268	550385	325530	484589	656772	364771	424188	493369	325758	536635
UNKNOWN 08091 BP *175.31581*, RT 2.50201	758405	Counts	207717	142464	62952	183778	82394	181052	77388	36693	93667	114110	205983	49650	148110	163392	212818	48853	84169	187373	143576	143378	30058	201027	11462	67922	54806	14042	149112	119887	23687	
UNKNOWN 08105 BP *308.1127*, RT 2.51421	758419	Counts	89756							29893	48637	23247				35349					29071			36320		96282	32818					
UNKNOWN 08112 BP *138.12707*, RT 2.56553	758426	Counts	24325	45209	79469		66371	37772	61695	133802	48358	67010	84107			31648	33689	23802	83213	61085		71157	84255	116590	54012	51343	199826	24573	80075	110391		
UNKNOWN 08114 BP *173.07887*, RT 2.63157	758428	Counts	402111	367669	261576	320218	59339	490139	225833	587258		58894	422326	290747	420605	331307	406981	396070	469932	356580	555332	387850	554200	377771	400477	304801	536555	247577	377149	531917	79515	
UNKNOWN 08119 BP *189.12255*, RT 2.61251	758433	Counts	357725	273787	188959	171719	141730	206939	90040	229399	209855	105508	88230	136059	160066	109573	74930	269757	99003	110407	165565	388713	95210	76059	77425	219646	140523	44581	97064	92356	120393	172513
UNKNOWN 08122 BP *156.13785*, RT 2.63204	758436	Counts	12657	26078				20211	14104						16474	17506		18706		19919	12686	14598	43739	32480		22620	48590		12192	40815		
UNKNOWN 08123 BP *136.11149*, RT 2.61835	758437	Counts		10557	9481	10608				9423		13590			8808								26169	11199	15140	10777	16137	11733	12238	12789		
UNKNOWN 08124 BP *233.14936*, RT 2.62672	758438	Counts	159566	137904	113754	120596	102086	100114	108843	135124	23201	95223	259808	158813	17464	153196	148846	148146	175700	175210	198465	203764	511916	439556	336589	462262	627885	322972	411919	391125	315278	22746
UNKNOWN 08127 BP *352.24861*, RT 3.85202	758441	Counts	377619	481495	379487	487975	381853	454789	399647	535585	290206	360800	214068	389931	467591	394081	299874	461641	312774	452729	235138	273992	393192	443216	215233	448908	426256	284839	229751	130089	104247	333233
UNKNOWN 08128 BP *516.3541*, RT 3.85331	758442	Counts		11641	46475	42540	28582	81352			30795	36854		8737	57153	69380		41452	15616	52115			37578		13417		43627	52704	17950			28173
UNKNOWN 08129 BP *428.37221*, RT 3.8108	758443	Counts	76673	53921	81346	76230	48665			71942	81751	115896	82299	29049	70080	56632	89849	54529			43709		107303	90149	47714	30366	89069	227685		49926	31816	
UNKNOWN 08130 BP *400.3771*, RT 3.81523	758444	Counts	307630	170442	158652	476068	79918	258789	244876	238554	218285	42119	68070	71356	186807	156772	200800		161193	237422	110797	283012	598651	154126	71436	230503	234127	1720269		46618		
UNKNOWN 08131 BP *611.37462*, RT 3.862	758445	Counts	117391			139707		185410	67445	139624		59587		57277	67988	113879		91142	73894	106165			54743	105308	32746	117021	85859					120242
UNKNOWN 08132 BP *388.39244*, RT 3.81401	758446	Counts	7872034	7261130	6576139	9053387	7593465	9016437	9495571	9225663	6412384	7665688	9120615	7634641	6817146	9163675	9399408	8012269	6607684	8162099	8275299	5815535	11619130	10220133	8863989	8180625	13744110	12393555	4590384	13906743	11553789	15807211
UNKNOWN 08134 BP *472.53328*, RT 3.88687	758448	Counts	23533	114558	39487	174398	29433	82987		146616	49956	37612	41890	38401	58108	15982	22780	63643	29203	110311	32454	19480	123993	41134	28419		79427	38252	23091	26783	39029	32122
UNKNOWN 08135 BP *472.33831*, RT 3.8862	758449	Counts	5119572	7591044	4570533	10289508	5661377	7288142	3946312	8308601	3142532	2370689	3315461	6464304	7159756	6907625	2146766	6770629	3890014	7275331	5404415	3505317	5995244	5769282	2041642	6651243	6361950	3735368	1947208	1633574	767436	3948867
