Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	747214	Counts				11535		41496		55586		7715		9468	17694	26168	6229	61460	27382			9711	22655	21388	7298	20990		41424		94368		26022
1,2-DIPALMITOYL-SN-GLYCEROL	747436	Counts	50933		164046	9059	55135		55221		40817		164434	112875			433938	24350	199715		215813	568502	11433	13913	138487			64670	74637	51924	82137	119211
1-METHYLADENOSINE	747122	Counts			25196			30986			20458		18276	16927	36295		35014	45001	32881	26302		37863	45111	42246	22668							
1-OLEOYL-RAC-GLYCEROL	747482	Counts	976172	868120	1164171	254522	180775	1192787	1109947	753886	320928	1027987	366111	498893	207781	680412	444742	504178	607915	681265	446136	303221	519078	1082230	497730	839404	1091193	1099712	651800	1589674	1359124	1089823
11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	747738	Counts			128228	50166	96973		36495		92627	33325				37990	24771				29457		41037		31578		38040	69385	20101	52531	24552	
12-HYDROXY-DODECANOIC ACID	747446	Counts	49089	47965	39988			48864		65946	26983			45445	38534	36470		43498		51201				10813			25915					
17ALPHA-HYDROXYPROGESTERONE	747727	Counts		175408		133474	193561	166793					111071							49912	78243			53844		70630	37314					
2-AMINOPHENOL	747343	Counts		11406		15263				13044		6015		11094	7317					8675			17768	5221		6430	20860		6000	7685		8630
2-DEOXY-D-GLUCOSE	757987	Counts	15538	28457		9048				45626			7116			20970	9217	9633				5699	7900			23869	47197					28737
2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID	747330	Counts				27101	11555	16086		60161	18161	50173	21312		11894	17042	20452	12901		28092		33877	46702		12608		9575	13715	20954			
2-HYDROXYPHENYLACETIC ACID	747271	Counts	65475	113523	14641	75509	24783	56350	10057	106920	25019	9578	12866		10880		8952	21431			20118		30215	20208		12638	28721	6653				17421
2-METHYLGLUTARIC ACID	747353	Counts			9873	15204		7466	8281							8734			10345			5716			7478		6960		14511	7745	14577	8882
2-METHYLMALEATE	758007	Counts			10884	15237					18139			10181	14862				13975				10295	14854	12317	8895						
2`-DEOXYADENOSINE	746826	Counts	279749	72737	205352	239279	176310	106825	246478	334136	202708	160252	74744		69222	56362	103620	59203	86257	83357	70261	46548	192841	254194	96464	75289	104668	144163	100518	85147	80151	107872
2`-DEOXYADENOSINE 5`-DIPHOSPHATE	746799	Counts				8062								7224			6669		7344	16882				16957		7492			7646		9478	
2`-DEOXYCYTIDINE	747087	Counts	107956	184305	45564	58131	22172	75904	49144	87924	39864	20508	29027	77288	60113	76852	54639	105577	75491	56402	18758	29774	146907	121037	47806	26984	15935	65402	48853	18655	38329	43017
2`-DEOXYCYTIDINE 5`-DIPHOSPHATE	747227	Counts			12127	7276		26872			12544	12546		11417		22996		26899		18867		15032				18968		9846	9217	16207		10368
2`-DEOXYGUANOSINE	746787	Counts	1295812	1381404	1564990	1135028	1161128	1021692	1469278	1528582	1490465	1220073	2592023	1256315	1507077	1270605	2167093	1351394	1814270	1378628	1602057	1450440	1794153	1939170	1233651	1028824	1379145	1629265	1475575	1517113	1374163	1270440
2`-DEOXYGUANOSINE	747515	Counts				49193	36381	58277	53040		77754		36403		11357			32213	11525		54867				28778						34298	
2`-DEOXYGUANOSINE	746786	Counts	31869745	23484843	2855041	20542242		19721441	2308094	20914304	2759679	2025780	9966745	58598554	55085335	40167905	8555877	63317454	10060109	68988708	8367418	8043941	135719275	158899643	14467193	99549520	111423513	22818720	162189773	20422312	13083603	
2`-DEOXYGUANOSINE 5`-DIPHOSPHATE	746825	Counts											151925	27173	35128		95031		77425	71922	89685	131570	258766		86163			153826	52057	134472	30175	55152
2`-DEOXYGUANOSINE 5`-MONOPHOSPHATE	746771	Counts	343139	465949	14878	528282	330593	381115		320285	270857	204543	10098	14544	23524	8889		17740	13870			11816	39518	71611		40308	82214			10910		33443
3,3`-DITHIODIVALINE	746881	Counts	452073	317752	242424	281020	272574	299434		317020	246205	224983		20333											28757			218119			230311	
3,5-DIIODO-L-THYRONINE	747621	Counts	16197	6789	16744			12684				22029	9742			7640		16100	19525		12850	9663				16168						
3-HYDROXY-3-METHYLGLUTARATE	757997	Counts		15540		14117				15186					16466	8162			11921				29918	13275		13604	15688					11840
3-HYDROXYANTHRANILATE	747275	Counts	125276	333745	117970	295688	71986	102629	134538	85812	162788	100144	228316	161377	101244	361208	200190	76630	192263	94157	179162	121454	576826	130212	179931	91040	472739	124417	331297	493141	129869	271755
3-METHYLADENINE	747334	Counts	7916	24187	14304	22562	24087	22049	20339	38192	31604	42107																				
3-UREIDOPROPIONIC ACID	746869	Counts	70687	144627	61904	101396	78634	88145	55928	130577	78406	77486	55259	47018	110624	46311		43951	45457	69605	62796	66590	180799	127036	45033	132473	202591	44243	119625	66054	46181	99548
3`-CMP	747146	Counts	226192	227128	153726	341388		254944		280829	178927	206701	313242	275905	301066	373435		280646	324541	304312	398170	213251	476251	452199	348342	401004	575303	388298	540617	354921	380625	64093
4-ACETAMIDOBUTANOATE	747105	Counts	25875		82316		13572		56712		55675	11858	85428	39591			112357		108824		62546	127074			102783			92454	53495	35229	74508	73682
4-ACETAMIDOBUTANOATE	747525	Counts	13644					19332	6668				17843			10832	6492		10338		14511	11416		9713				12271		8895		24920
4-AMINOBENZOATE	747347	Counts	304793	752144	458756	35350	209331	294107	450225	62467	357206	298484	1650154	893538	100421	879659	1421751	205630	1308327	159263	1325946	337784	1131552	103504	815627	264508	915982	490678	936595	94164	768046	915653
4-AMINOBENZOYLGLUTAMIC ACID	747589	Counts	19924				10693	17984	13240		8559		16543		12190			11049					17696		9926						10048	
4-AMINOBENZOYLGLUTAMIC ACID	746975	Counts								67941					54052	91089		48478	21128	71417		11626	172946	121609		35401	122826			79135		
4-GUANIDINOBUTANOIC ACID	746891	Counts	240726	346780	278366	336281	323716	262589	266175	404748	303645	274900	251227	200149	285704	141824	175544	156321	245005	131292	142245	277329	298467	180978	121051	221875	395402	156306	289445	117419	150465	200123
4-METHYL-2-OXOPENTANOATE	758009	Counts	54460	8817		63648	27923	47893	10063	31087	18142				5226	5738		14356													7877	
5-HYDROXY-L-TRYPTOPHAN	747578	Counts			32462	56776	23260			83013	72889		36786				20418	28346	12219			28255										
5-HYDROXYINDOLE-3-ACETIC ACID	747715	Counts	13794	31191	17105	41949	10783	29724	25319	39303	17867	17581	19952	25629	23857	24427	19698	11627	19082	17041	13620	8121	83002	38541	32776	57101	60644	12749	30255	23217	22057	22499
5-HYDROXYINDOLE-3-ACETIC ACID	747398	Counts	40833	37250	24373	28806	18668	29242	20606	44846	28786	27382	35282	15980	37490	29899	33025	23903	34806	22009	40035	26544	80530	51322	39894	57641	50329	43104	49478	73562	32539	73452
5-OXO-PROLINE	747524	Counts	5655344	6299322	2696096	6107221	3364482	4117886	2191825	6610646	3242326	2802363	4054662	4211363	8856781	5915413	3133818	8210786	3838548	6676392	3984320	5817672	10105664	10690339	3450506	10621442	12936204	3675563	5834070	4046854	4144475	9005824
5`-DEOXYADENOSINE	746945	Counts		487644	66621	453162				499950	30790	45075	194576			784480	157191		199292			159928	2738359	3000601	276367	1904599	2213324	360694		380172		
5`-DEOXYADENOSINE	746944	Counts	279736	72743	205343	239306	176308	106822	246473	334092		160246			69225			59206	86251	83357	70249	46548	192878	254217	96670	75292	104638	144163	100527	85265		108013
5`-METHYLTHIOADENOSINE	747025	Counts	2019952	1562804	1414668	1403805	1284751	1383177	1409935	1767865	1691702	1428554	1553725	893410	1170123	1114839	1237616	982376	1091411	1036120	1254704	1354416	2397021	2486254	1852356	2097501	2361789	1900964	2218792	1922785	1841613	1943201
5`-METHYLTHIOADENOSINE	747598	Counts		52198	28963	45447	33706	43342		52338		23258	34728	33781	22058	41584	31667	35132	37107		29511		102716	82531	72907	70538	68118	82113	101850	72133	49201	70474
6-PHOSPHOGLUCONIC ACID	746767	Counts	275984	153314	158500	266169	700307	620661	242447	144305	172804	192012	76411	91977	63180	36817	49771	37909	48948	47963	94389	73889		34373	70507	52560	65267	41096	111164	67597	54920	84378
6-PHOSPHOGLUCONIC ACID	746766	Counts	65932	548012	122512	532444	271441	1068387	86354	570111	338471	218525		89050	73180	45170		29386	10891	76387			121966	92250	56614	119764	61734		82361		17795	
ADENINE	747182	Counts	977152	1734920	857979	2199832	1520545	1181631	929699	2808255	1173830	1106489		15735		22101	9387		10271	24146			17987	29922			29579		13584			20282
ADENOSINE	746912	Counts	31718054	23356609	31978241	20448097	27181979	19588570	25966215	20723518	31026382	20333512	68528744	58246247	54783490	39826152	76748801	63096347	89948447	68430180	65081098	62430219	134366574	157986108	108877629	98810700	110488695	142704471	161165270	112292507	110254483	130606914
ADENOSINE	747576	Counts	163908	367126	34740	327561	126930	162697		292841	101699	83797	267591	408151	474013	369020	218769	458061		599404	336138		1674181	961828	374016	708263	1047294	415438	928305	558020	407832	601020
ADENOSINE 3`,5`-CYCLIC MONOPHOSPHATE	747168	Counts						5136		8114				5898	6229	36695		6351	7408	18708	12512		102872	175651	25600	36656	76454	230462	29476	51791	7556	
ADENOSINE 5`-DIPHOSPHATE	747615	Counts		21412									12593	14974	5344				11074		19245		18329	10081		6697			6084		16352	
ADENOSINE 5`-MONOPHOSPHATE	746805	Counts	313783	667984	181858	533951	391133	546224	357263	295619	236864	541009			242173								391646				373606					
ADENOSINE DIPHOSPHATE	747779	Counts	297388	793660	138503	493871	234292	126894	240143	717620	189638	310619	110823	143220	164035	104019	49137	102660	51087	95219	148073	95489	281198	159326	87205	266735	579349	70218	134474	114832	120061	139994
ADP-RIBOSE	746931	Counts	80187	277788	35805	239208	113201	177126	39340	146105	97471	106732			17015								10076			11600						
ALANINE	746927	Counts	14360	51560	35098	28851	24940	15204	8255	28173	33161	13418	27119	27150	28732	18531	10920	19350	17680	17730	15191	31572	26273	19765	21965	21243	36585	46692	32105	15131	8218	29575
ALLANTOIN	747093	Counts	18665	33784	25974	27246	23847	15554	20997	41616	6061	7029	26963	33855	39225	26233	17400	32642	15814	22772	24258	25703	50037	25518		29738	68453		25190		6040	40098
AMINOHYDROXYBENZOIC ACID	747809	Counts		42042			82634			56573		45897	48770			26900	51346		52779		58910	74588	71446		36488	43809	75592				40823	98528
AMINOHYDROXYBUTANOIC ACID	747797	Counts	36917	74640	45323	55801	62927	48424	41494	74519	39910	29198	40468	50346	93784	38885	66633	69041	36426	48523	52660	61805	91555	36684	43427	62283	94708	110011	98288	93284	36984	66517
ANDROSTERONE	660268	Counts	144943	115067	99658	143446	104841	170144	83862	151130		64499	78255	146013	174527	132856	135212	154167	90786	136018	78336	73365	138278	95281		161673	132608	64325	79649	65287	60069	112061
ANTHRANILATE	747411	Counts	104171	95707	92347	79037	62575	86592	70334	139386	39630	160113	39307	46765	86428	42755	34324	38685	215381	109226	72012	102924	81836		85723	58058	39317	44765	117009	38164		47393
ARG-VAL-TRP	660265	Counts	4149269	2114264	1457524	2692368	3643076	5254789	1334659	4145456	1447463	1106020	670470	1271321	1142373	2236553	634101	1062502	344485	1706729	1474816	704160	1809491	902619	457291	2419962	1635248	1456304	1971528	549172	780783	1106506
ARGININE	747145	Counts	5348339	4559403	5455584	2443568	5946884	3694298	4495549	4871854	6089132	4884301	6922824	5228578	9469345	3521424	7154136	6595835	6698166	5314512	5294586	11603579	3908103	3216351	5547054	4344830	4641983	5595848	3603186	5368888	5104705	6135337
ASCORBATE	746964	Counts	6891	7955				14409		12700			9779		11868									17509		30063	17063					10108
ASPARAGINE	746997	Counts	19111	83622	45063	60488	68320	57563	65640	91172	83619	68170	91354	66092	124451	46174	74451	84919	103439	57119	76508	154514	80324	47776	108235	88587	147857	131726	90807	94876	85932	104168
ASPARAGINE	746996	Counts	35875	65541		58115	63496	53977	60277	61843	102087		83763	47413	81623	34384		67917	123372	35913	52779	192730	77044	29850		40027	87566		68993	100191	55195	69597
ASPARTATE	746990	Counts	31618	68025	94112	42802	58906	43472	80496	53510	106912	78816		37241	49688	20585	46288	31621	40242	27819	38277	64267	20524	30875	20853		57796	126819	32650	92291	59040	49703
BENZOIN	747473	Counts			37002			32972				30660			38664	20691		22011	43286	28403						20636						
BIOTIN	747395	Counts				10095	103955	139410		24410	43076		134761	125686		105094	25317		33040				24824		50701	31210			152689			
BIS(2-ETHYLHEXYL)PHTHALATE	747443	Counts	1685029	4449406	3808220	4098159	2595818	4793895	4416754	5054275	2872815	1357481	1649216	3798714	4148987	4458595	4593067	4414227	3708395	4636396	3861250	3036365	6395618	5369199	2411739	4544939	6793134	6156787	2800481	4029079	2958765	1726035
BIS(2-ETHYLHEXYL)PHTHALATE	747444	Counts	20707585	17998886	22810750	11980893	9956104	24410677	25571404	23396744	10947331	21345839	8085505	18208253	14873884	21939646	19157203	22335396	20504059	20822792	16468836	12759693	22883006	25282393	9554350	21628126	29469069	28793801	5607161	12822269	11121307	6274405
BIS(2-ETHYLHEXYL)PHTHALATE	747445	Counts	3798117	7169073	9027929	4305269	2572064	11462638	10938829	10490012	3002901	2854436	2972885	7573118	6690692	11082530	6886518	10611388	7686313	9932162	4760204	3750322	12242902	10164052	3101504	9155162	16531768	12916576	2109924		3683830	1793968
BOC-ALA (+NA)	660259	Counts	7871417	6521318	7094795	2755097	5936965	8713507	467500	7860156		8091642	5187995	6384742	9803183		5380963	8576478	7651564	7402465	5761641	8297412	4297962	4013767	3185327	6744481	3386178	2369750	3589652	2308254		1201759
BOC-ALA-OH	747204	Counts	7870294	6514078	7097078	2738861	5936776	8685730		7835843		8059938	5184704	6384862	9785541		5159268	8566340	7393617	7402564	5757725	8035808	4298098	4011541	3108098	6742239	3383706	2266150	3593329	2300989		1203962
BOC-ASN	747080	Counts	24122610	27055900	21902484	24855694	20992600	27470924	23073149	32245698	23134149	22561996	19900500	22437165	27501637	21588620	21783814	24316426	22157213	23898946	25588699	23610320	25973143	21713600	18799583	27172261	25013033	16700475	23137436	19573664	16174191	18851405
BOC-ASP-OH	747245	Counts	5446108	4748466	4273596	5251606	4719097	6187664	3228302	7173915	3614929	4688588	3546817	4458840	6669171	4492134	3433992	5739871	4519860	5152906	4143035	4775264	4919018	3886722	2727992	5103481	3326829	2409027	3449916	2842915	1188258	1115709
BOC-HIS-OH	747217	Counts		7340	6328	19283		36893		7659			7945		12094		10762			20117	6961		30972	16744			32238	8045	35181		8303	19349
BOC-LYS-OH	746935	Counts							8978							17763	23969	17322	7743		12512	18036	39429	28824		42851	35180	36460	26268	27916		18490
BOC-PHE-OH	747460	Counts	12120068	17329829	10496874	19557497	12605301	15234088	12420886	20201168	9648154	11133754	4848219	8794814	14408966	10083873	5904176	13124068	6872847	11971959	3239026	6848152	9756721	10500624	5559648	11030809	8628760	5354591	10213012	6055505	2798405	8602355
CAFFEINE	747138	Counts		94248		93220	77888	48338	74538	139772				35423		17917		85720			76146		69319						47636			
CAFFEINE	747534	Counts		52493		63504	16629	103674	19975	96532	24312		46594	26739	53656		46568		43552	62719	11166	28707				73915		17593	66567		50852	51646
CARNOSINE	747040	Counts		35103		12313	12425	19859	13691	41610			16632	11644	54948	14218	17231	53881	23630	23701		41456		15172		25110	32747	11986	29518		14200	28467
CITRAMALATE	747642	Counts	139915	38948		34396	33920			43402	68222		159284	46478		54597	74350	36187	76824		78473	48655	112355	66578			70283	71535		82620		
CITRATE	747595	Counts	1750656	1629494	1119853	1566376	1334436	1408083	910983	1646787	1522287	1192057	878004	666189	1147886	709400	549980	1201379	818660	779505	827768	1350988	1472621	1532890	839378	1936058	2521106	711554	1172087	896730	1021569	1915123
CITRATE	747008	Counts	318062	400885	265274	440567	298761	372233	199771	381536	380617	263092	49719	113454	199195	159554	91070	189288	150195	188365	128599	174794	374629	158790	27893	353289	498645	149304	206008	36356	207844	78011
CORTICOSTERONE	747736	Counts	140905	93363		107124		45947	102433	93265	39098	145517			117468		81686	95481	29839	68954	97583	75824	83601	67280		79878	69003		41594			
CORTISOL 21-ACETATE	747663	Counts	34566	46845		48241	79714	55193	77931	87199			57761		32910	83649	11495		69286	42333	75615		54176									37136
CORTISOL 21-ACETATE	747285	Counts	96947	68307	31062	73917		73322	34400	79230		71064	59205	27657	28110	65647	50284		39936		63643	89033	28225	21532	39324	40329	28669	43788	41969	20275		
CORTISONE	747461	Counts	197292	145838	124834	197222				219172	122119	140251	111543		204183	139544	128634	198571	122192	76373		215415			115077	119231	100077	55491		75376	95770	44405
CREATINE	746836	Counts	486618	866990	391121	765394	844027	668589	354486	867440	274152	260629	730771	618853	888457	373918	310328	577037	482576	514885	673904	449106	936392	443771	312958	749342	1334569	380238	883402	688268	364666	784480
CREATININE	747405	Counts	159107	185348	85514	183276	209281	162884	41159	230994	67289	124618	200167	166749	252509	96803	63387	248830	119055	134668	168680	163916	209782	132804	78989	220142	266562	83782	222919	172869	93736	185637
CREATININE FROM COMPLEX	747520	Counts	23045	31142	13374	20633	31893	31496	21074		41475	8703			40744	27591	37221	50890		28772	31853	65112	22497	17551	20420	26058		15148			14091	17818
CYSTEIC ACID	747508	Counts							72705	38222	68839	77581	70284				48691				47076		60449	39001	85775			79179	59474	83163		
CYSTEINE	746958	Counts	6422	22087		22131	5031				5705			11669	14240						13220						18589		13187			6122
CYSTINE	746960	Counts	126962	83403	102998	69630	71787	49171	53769	101914	116683	68008	253281	136087	292964	118108	222410	283881	253178	163841	138041	369914	94021	103068	117188	119028	137993	118301	105802	121590	134028	179132
CYSTINE	747195	Counts	31106	67415	46838	59188	73525	54132	59247	62197	78288	31352											9036						5434			8539
CYTIDINE	746909	Counts	128475	265822	72867	126898	131368	112403	61340	172128	118124	63922	83964	128294	208009	119530	64819	133093	87473	175583	74076	96364	215305	165903	76348	394168	312154	76900	204236	140650	82127	269420
CYTIDINE 2`,3`-CYCLIC MONOPHOSPHATE (CCMP)	747157	Counts	105178	48161	52342	59459	62882	73629	44123	82395	74724	50127	107648	139522	160607	88257	122745	230710	143401	174296	84443	167296	118352	123485		22751	116414	74161	189694	78834	88116	167332
CYTIDINE 5`-DIPHOSPHATE	746800	Counts		41629		47193	20140	29739	8357	24273		17917			17660		10236				11073	13108	32021			56560	35176	8856	23370			
CYTIDINE 5`-DIPHOSPHOCHOLINE	747617	Counts		14872						16989				41049	31263						24957	15446	29825	25033	33846	38337						31124
CYTIDINE 5`-DIPHOSPHOCHOLINE	747202	Counts	29711	52594	16606	75145	56794	91681	81091	69678	33231	141579	32179	51470	52704	58519	24637		21044	44302	63012	13105	122098	70617	35304	41978	102657	52830	71172	49326	16178	37953
CYTIDINE 5`-MONOPHOSPHATE	746844	Counts		226625		338644	109993	77032	69860	280315	70842	57829	154509			98290	92842		292220	84738	398175	162663	465661	431429	344525	396706		323511	540560	169676	349705	
CYTIDINE 5`-MONOPHOSPHATE	757956	Counts			42339	47296		66522	61741	103799			130020	51567		95005	80865			82691										148217		
CYTIDINE 5`-MONOPHOSPHATE	757957	Counts	248186	278149	171131	198118	151854	131050	113723	212154	183483	163785	274062	147009	241508	122804	188169	237185	186946	176761	197911	263271	138719	190950	178579	214941	256837	153797	161055	164127	196510	237925
CYTIDINE 5`-MONOPHOSPHATE	747561	Counts	248324	278142	172753	198104	153437	131050	113721	212133	187222	165957	274083	147004	241496	122818	185892	237147	186960	176801	197912	268583	138663	190950	178576	214922	256915	154768	161054	164143	196538	237934
CYTOSINE	747066	Counts		17360		17768		22305		18689						35077		33697		23318		8626	16010	22596								
DEOXYCHOLATE	747434	Counts	1115466	1084665	1034446	913543	784210	1024933	926731	1120555	790919	862165	1046558	723679	892682	1050206	860618	1112705	326750	941311	797375	891505	1235179	1556860	903255	1337364	1565089	1166540	720707	307927	313116	1325403
DEOXYCHOLATE	747435	Counts	11732789	13757645			14332829	7912339	8466283	13754568	13256879	15357974	8280374	15379374	20836652	14270506	17839689	13456836	3669968	21234618	11768753	20630050	33822710		10226248	12028528	17866866	12381622	16257352	12704092	10304917	
DEOXYCORTICOSTERONE	747458	Counts	25413	50389			34978									30681		23239	14749	36758			23640				36673				11747	
DEOXYCORTICOSTERONE	747731	Counts			213018							154178				159313		28095	30454	53103		146824						146743		82322		
DEOXYRIBOSE	746894	Counts		14106		13394	5620			14324		8471			13817	14418			9493	6503							9248	7156				
DETHIOBIOTIN	747692	Counts	73182	26254		15469	99746	78355	33136	104291	77632	46136		78851	104364	58510	44844		66912	12013	73238		81456				86778	68947	67624	68470		22477
DETHIOBIOTIN	747691	Counts	497469	199952	436438	370790	432295	459865	242936	458253	280278	440274	436214	429522	493569	357684	118669	451932		427430	434585	518811	430617	429846	376082	446049	321323	372260	407493	409232	160726	188418
DGTP	758011	Counts	14338		20465		29292	30738	18719	25305	29451	24358	14706	18825	21972	17139	15200		19120	11409	11906	10914	89908	16583	20961	47119			29754	45346	20756	56812
DI-LINOLEOYL-3-SN-PHOSPHATIDYLCHOLINE (POSSIBLY)	737143	Counts	19008713	48826692	6120160	38702865	69103567	34888457	7029829	39910456	63272059	6341206	13144070	18462428	64763987	35848895	28330455	60704458	2710316	36471956	50008822	21945797	105543080	29872978	53979575	40624012	73745035	5290736	18444584	23327764	20057125	57672097
DIACYL-GLYCEROPHOSPHOCHOLINE (C50H82NO8P PROBABLY)	728569	Counts	366637		110996		729180		119727		1056298	157390	160070	268909			215254		292963		552823	178978			574365		449168	476865	101600	605197	3645157	
DIACYL-PHOSPHATIDYLCHOLINE	728538	Counts			449180	27479656	3327044	6789237	1533049		825920				2890876	4637041		7288757	1032220	4532855	1115876		1241431	7511107	1190545	3904756	916761			834568	1518928	2362424
DIHEXOSE	747778	Counts	3604061	6098895	2663543	5235545	2799158	3370553	1947738	6455180	3225419	2624623	3540661	2505515	6285660	3297983	2227613	4832302	2730128	3940727	2767446	3039310	5091885	4054309	2181390	4988021	6962899	2123718	3176722	2954987	2460667	3852669
DIHYDROFOLATE	757984	Counts				25543	28074	32609		27852		20462		12293	12533			14646		42124						13226	28828		9958			13100
DIHYDROOROTATE	747190	Counts				13379			16892	24966	17453														30925	31771	10144	14238		12265	9264	
DIHYDROOROTATE	757235	Counts			12724	13372			16907	24931	17452	22312	7575		14429			20084	15028			7407	43151		30903	31788	10140	38260	21172	20313	26381	
DIHYDROXYACETONE PHOSPHATE	746828	Counts	9622		98417	8386	35226	20549	44771	15337	46199	33878	139369	141640	15841	23879	105774	13829		38483	212853	48910	59596	52626	194211	43632	41951	229726	172631	203243	162631	82618
DIMETHYLBENZIMIDAZOLE	747475	Counts	29654	23869		36353	31228	43033		32409			34684	18847	37580			48996		28885	14707	53310	39241	28965			44615	24185	25932	39573	21950	25982
DIMETHYLBENZIMIDAZOLE	747474	Counts			10089	12946					6663				8783	6806	18468					15738	14057		16850		12131	11882		21936	13401	7514
DIMETHYLXANTHINE	747796	Counts	84131		114379	17095		41759	37630	61378		44654	59629	20696		30829	39599				95243				32615		48031	52946				
DIOLEOYLPHOSPHATIDYLCHOLINE	660272	Counts	28083192	29648813	9466222	69669695	52882732	36802449	9759378	27431838	29708354		10540953	13025446	70473290	55986350	15180321	58899875	6606116	45530005	37653946	8101959	103231828	37871027	16238028	49623327	66135484	13069034	17055369	13235436	18889953	34456052
DOCOSAHEXAENOIC ACID	747456	Counts	487292	730364	775720	289235	317636	812131	94812	806058	352874	721020	294285	29374	280567	353047	449257	213870	231381	239103	183848	136593	207554	45798	148137	63972	245248	179912	69151		105514	
DOCOSAHEXAENOIC ACID	660269	Counts	16992	52810	34888	51652	16737	57879	41149	57825	18770				10657	18058		9744								14111						
EDTA	747132	Counts		238961	28247	291294	36137	46969	46235	376621	31572	36986	53343	42758	32573	48255	56944		24881	35778	57711		79896	41245	47360	15808	161648		50481	64451	36912	23851
ENKEPHALINE, (D-ALA)2-LEU	660257	Counts			228020			220992			200970	221300		219020	215223			200664	212492	229543	243184	260528	243427			219349	154244	208754	212724		106544	131270
ERYTHRITOL	746941	Counts	80198	50779	33235	43463	46214	31911	36945	61960	61540	31869		98118	191900	42558	57887	146205	50210	73061		161077	71801	30770	23187	38871	84420	66259	44873	33145	18890	111236
ESTRADIOL 17 ALPHA	747426	Counts	44498		19304	156310	60450	75795			17937	60563			63181							30414			26532	38321	36088	17221			24675	29933
ETHYL 4-OXOCYCLOHEXANECARBOXYLATE	747629	Counts	17449	41761	75953	31769	26479	13122	46967	82050	17249			12762	21083	9763	21449	43333	62492		55721	64526	53241	76461	41396	17777	36937	37051	21294	100062	28753	89479
ETHYL 4-OXOCYCLOHEXANECARBOXYLATE	747231	Counts	114967	110631	102202	100998	91332	130559	104716	173438		105919	102266	85229	137490	79549	139349	128378	118550	127707	127774	126120	134978	109188	100061	156165	114324	81904	105940	114461	68049	81199
FLAVIN ADENINE DINUCLEOTIDE	746779	Counts				81731		46980	47147		141412							25396					51338		78371			101646		168160		
FOLIC ACID	747056	Counts	648458	552481	432149	435325	431363	417881	392623	579034	470422	345210	435115	338361	473988	363807	319540	465319	407934	382803	350482	555766	384517	395052	278879	498459	456805	250307	394298	294371	333080	422125
FORMYL-L-METHIONINE	747571	Counts	425768	388866	351922	310332	262093	375448	301783	416829		324579	333411	246439	414393			453099	375427	290381	390705	540169				531224	492357	283923	444858	388532		381765
FRUCTOSE 1,6-BIPHOSPHATE	747037	Counts	58586	314492		47054	135855			302907	101074		250590	380636	453957		111381	261191	136412	76747	379999		883824		335616	918890	1650059	138918	754947	257086	501474	505059
FRUCTOSE 1,6-BIPHOSPHATE	747039	Counts		26964		14456	20067	24812		46464		11477	38185	94411	30530	27809			24845		69218		55705	15993	35368	174034	277647	90566	99294	63551	113784	48262
GDP-GLUCOSE	758002	Counts	30506	29244	25549	19226	42007	14311	25080	9799	24103	24883	9569								13029	8837			9973			17531	7202			12654
GLUCOSAMINE 6-PHOSPHATE	747151	Counts	9037	25682	21815	31569	17576		23940	25416			33004	10940	27314		33729		20955	11522	9805	9541	21364	39417				47027	7215		8574	21346
GLUCOSAMINE 6-SULFATE	746916	Counts	17423	31945		21756		23904	34617	28022		28880	29993	7104					21355		15382	9541		39495	5751			53003	7378	25063	8574	
GLUTAMIC ACID	746962	Counts	712104	1683659	988912	1784358	1281656	1233560	631735	1971580	518711	490612	1957303	1266206	2605599	963409	723889	1136949	748725	1019514	1615241	682487	2144515	995399	738486	1574302	4119436	1015577	1885518	2058793	695658	1703912
GLUTAMINE	746951	Counts	245332	324239	290664	288891	321350	238310	282421	407188	334620	270232	278293	206762	309799	158040	307391	331887	346599	183735	263783	559268	221952	121951	207571	196934	284005	280158	209969	207458	192412	266354
GLUTAMINE	746953	Counts	532646	735200	728250	631553	900108	729911	737532	852145	956720	343706	732557	661635	719740	400637	909337	782536	846962	506063	698707	1444174	599143	259833	270338	498949	825751	858452	585591	661495	255531	748645
GLUTATHIONE	746943	Counts	570353	3309126		3612243	303709	1496215		5020884				1285959		10166259				10818272	938594		9285725	7224046	153890	9983268	10597832		1013575	704746	102574	
GLUTATHIONE	746942	Counts	64565427	66939883	41247305	82678492	91720219	74212168	56193175	66156379	56267891	60976364	122483336	182493149	141589982	162548472	107018319	120902424	103337571	137061341	129183642	88420130	260138865	250526199	151812031	235684166	287785680	180192222	208353535	196319790	170884591	259599993
GLUTATHIONE	747583	Counts	119981	792081		878391	51938	403442		1219682				250372		3630634				3996532	171034		2953204	2975152	74078	3875218	3423690	71512	220475	139895	78899	
GLYCERIC ACID	747027	Counts	9450					8273							14065	11304	6804					11954	17841		11401					10258		
GLYCEROL PHOSPHATE	747209	Counts			8745						36269			11150	142673	79421	300153				50107	163684	94851	28778	121877			130200	15719			
