Local ID	Metabolite Name	Kegg ID	Units	S00010701	S00010702	S00010703	S00010704	S00010705	S00010706
771274	4-PYRIDOXATE	C00847	Counts		264105		338830	232725	233093
776310	4-VINYLPHENOL SULFATE (*)	C05627	Counts	101956	63178	171363	78242	78893	198519
770887	5,6-DIHYDROURACIL	C00429	Counts	13564475	10762912	14667490	10122031	6429262	5406440
771339	5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5`-MONOPHOSPHATE	CA1116	Counts			78282	62208	60318	87778
771046	5-AMINOLEVULINIC ACID	C00430	Counts		235066				
770995	5-HYDROXY-L-TRYPTOPHAN	C00643	Counts						42417
771389	5-HYDROXY-L-TRYPTOPHAN	C00643	Counts			93861		2184177	793390
818489	5-HYDROXYINDOLE-3-ACETIC ACID	C05635	Counts					73431446	
771296	5-HYDROXYMETHYLURACIL	C03088	Counts					190471	185426
771283	5-OXO-PROLINE	C01879	Counts	2779122	1811491	2630925	3121876	15202762	17301665
771240	5-PHOSPHO-ALPHA-D-RIBOSE	C00119	Counts	26543	33723	86771		246186	224909
771179	5`-METHYLTHIOADENOSINE	C00170	Counts			113524		112750	188393
771354	6-HYDROXYNICOTINATE	C01020	Counts			13006			
771057	6-PHOSPHOGLUCONIC ACID	C00345	Counts						17284
771172	6-PHOSPHOGLUCONIC ACID	C00345	Counts	203582	108461	447811	72577	365870	486393
773862	7-ALPHA-HYDROXY-3-OXO-4-CHOLESTENOATE (*)	C17337	Counts		57287	1047708	121861		
777865	9(10)-EPOME (*)	C14825	Counts	558870	282066	268017	243980	4351893	14860184
770935	ACETYLENEDICARBOXYLATE	C03248	Counts					20572	
770936	ACETYLENEDICARBOXYLATE	C03248	Counts					12201	
773244	ACONITATE (*)	C00417	Counts	1065183	1737763	988522	1380639	591839	628573
771030	ADENINE	C00147	Counts					18758	
771341	ADENINE	C00147	Counts	530949		595638		1728310	
771087	ADENOSINE	C00212	Counts		41173				
771383	ADENOSINE	C00212	Counts	231519	116388	168819	69522	63955	577825
771006	ADENOSINE 3`,5`-CYCLIC MONOPHOSPHATE	C00575	Counts	32637		22340		140326	135820
771425	ADENOSINE 5`-DIPHOSPHATE	C00008	Counts	209664	101187	198043	63157	1899181	3467036
770906	ADENOSINE 5`-MONOPHOSPHATE	C00020	Counts	249560		270998	189511	23626550	33180954
770942	ADENOSINE 5`-MONOPHOSPHATE	C00020	Counts					1007030	157547
771084	ADENOSINE 5`-MONOPHOSPHATE	C00020	Counts					1007030	157547
771145	ADENOSINE 5`-TRIPHOSPHATE	C00002	Counts					18349	
771359	ADENOSINE 5`-TRIPHOSPHATE	C00002	Counts			63254		144189	302443
771044	ADENOSINE-5`-DIPHOSPHOGLUCOSE	C00498	Counts	71930		54736	25593	961374	1349760
771073	ADENOSINE-5`-DIPHOSPHOGLUCOSE	C00498	Counts			30238			
770838	ADIPIC ACID	CA1042	Counts	102466			87072		
771390	ADP-RIBOSE	C00301	Counts	118474	124880	105274	150026	290969	378682
770869	ALDOSTERONE	C01780	Counts			448089	71624		
771280	ALLANTOIN	C01551	Counts	55805		21033			
770937	ALPHA-KETO-GLUTARATE	C00026	Counts		207375	219505	211502	44829	68520
773439	ALPHA-TOCOPHEROL (*)	C02477	Counts	61225	126505		24709		
771460	AMINOBUTANOIC ACID	CA1498	Counts	333369		378663	123578	627663	668971
771453	AMINOHYDROXYBUTANOIC ACID	CA1508	Counts	1700899	1093571	1111092	567145	3038228	2709178
771406	AMINOPENTANOIC ACID	CA1501	Counts	6183449	2544257	4838693	1854556	22975363	19324638
770884	AMINOPROPIONIC ACID / SARCOSINE	CA1506	Counts	109846	1693670	3806947	58066	465083	458831
770986	ANANDAMIDE	C11695	Counts		1087846	416165			
770987	ANANDAMIDE	C11695	Counts			61142			
817660	ANDROSTERONE GLUCURONIDE (*)	C11135	Counts				132802		
817661	ANDROSTERONE GLUCURONIDE (*)	C11135	Counts				37186		262374
817232	ANDROSTERONE SULFATE (*)	C04295	Counts		28965		75533		
817233	ANDROSTERONE SULFATE (*)	C04295	Counts	365245			182590	1404791	2053280
771379	ANILINE-2-SULFONIC ACID	CA1341	Counts	28942	43050	67333		135301	157788
771112	ARACHIDIC ACID	C06425	Counts		37175				
760593	ARACHIDONATE	C00219	Counts	76653					
771238	ARACHIDONATE	C00219	Counts	15650579	3062353	22386801	11713848	1265445446	2056676087
773961	ARACHIDONOYLGLYCEROPHOSPHOETHANOLAMINE (*)	M05344	Counts	7972421	699590	648584	1277472	2864070	6013485
802921	ARACHIDONOYLGLYCEROPHOSPHOETHANOLAMINE (*)	M05344	Counts	7972421	699590	648584	1277472	2864070	6013485
