database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180928_QC_14	20180928_QC_13	20180928_QC_16	20180928_QC_15	20180928_R087	20180928_R120	20180928_R089	20180928_R083	20180928_R084	20180928_R085	20181002_QC_11	20180928_R086	20181002_QC_10	20180928_QC_18	20180928_QC_17	20180928_R080	20180928_R081	20180928_QC_19	20181002_QC_09	20180928_R098	20180928_R099	20180928_R095	20180928_R097	20180928_R090	20180928_R091	20180928_R092	20180928_R093	20180924_R042	20180924_R041	20180924_R044	20180924_R046	20180924_R045	20180924_R048	20180924_R047	20180924_R050	20180924_R020	20180924_R024	20180924_R023	20180924_R026	20180924_R025	20180924_R028	20180924_R029	20180924_QC_20	20180924_QC_21	20180924_R031	20180924_R030	20180924_R033	20180924_R032	20180924_R035	20180924_QC_17	20180924_R037	20180924_QC_18	20180924_QC_19	20180924_R039	20180924_R038	20180924_QC_13	20180924_QC_14	20180924_QC_15	20180924_QC_16	20180924_R001	20180928_R107	20180928_R108	20180928_R109	20180928_R069	20180928_R102	20180928_R103	20180928_R104	20180928_R105	20180928_R066	20180928_R067	20180928_R100	20180928_R068	20180928_R101	20180924_R004	20180928_R062	20180924_R006	20180928_R063	20180924_R005	20180928_R064	20180924_R008	20181002_R060	20180924_R007	20180924_R009	20181002_R061	20180924_R011	20180924_R010	20180924_R013	20180924_R012	20180928_R118	20180928_R119	20180928_R114	20180928_R115	20180928_QC_21	20180928_R076	20180928_QC_20	20181002_R056	20180928_R077	20180928_R110	20180928_QC_23	20180928_R078	20180928_R111	20180928_QC_22	20180928_R112	20180924_R015	20181002_R053	20180928_R072	20180924_R014	20181002_R052	20180928_R073	20180924_R017	20181002_R055	20180924_R016	20181002_R054	20180928_R075	20180924_R019	20180924_R018	20181002_R051	20180928_R070	20180928_R071
CHEBI:82968	C9H16N2O6	CC(O)C(NC(=O)CCC(N)C(O)=O)C(O)=O	"InChI=1S/C9H16N2O6/c1-4(12)7(9(16)17)11-6(13)3-2-5(10)8(14)15/h4-5,7,12H,2-3,10H2,1H3,(H,11,13)(H,14,15)(H,16,17)"	gamma-Glutamylthreonine	247.0935296		"M-H, M+K-2H, M-H2O-H"	1	11.12785	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.2																																																																																																																										
CHEBI:63804	C15H12N2O3	Oc1ccc(cc1)C1(NC(=O)NC1=O)c1ccccc1	"InChI=1S/C15H12N2O3/c18-12-8-6-11(7-9-12)15(10-4-2-1-3-5-10)13(19)16-14(20)17-15/h1-9,18H,(H2,16,17,19,20)"	4-Hydroxyphenytoin	267.0764672		M-H	1	2.99095	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.5																																																																																																																										
CHEBI:84690	C54H101NO18	CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC	"InChI=1S/C54H101NO18/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-42(60)55-37(38(59)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2)36-68-52-48(66)45(63)50(40(34-57)70-52)73-54-49(67)46(64)51(41(35-58)71-54)72-53-47(65)44(62)43(61)39(33-56)69-53/h29,31,37-41,43-54,56-59,61-67H,3-28,30,32-36H2,1-2H3,(H,55,60)/b31-29+/t37-,38+,39+,40+,41+,43-,44-,45+,46+,47+,48+,49+,50+,51-,52+,53+,54-/m0/s1"	Trihexosylceramide (d18:1/18:0)	1050.684455		M-H	1	1.68175	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	29.5																																																																																																																										
CHEBI:104011	C9H10N2O3	Nc1ccc(cc1)C(=O)NCC(O)=O	"InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)"	4-Aminohippuric acid	387.1321984		2M-H	1	6.719633333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	37.7																																																																																																																										
CHEBI:44920	C8H18O5	OCCOCCOCCOCCO	"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"	Tetraethylene glycol	387.2199313		2M-H	1	6.74705	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	36.5																																																																																																																										
CHEBI:35465	C16H30O2	CCCCCCCC\C=C/CCCCCC(O)=O	"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h9-10H,2-8,11-15H2,1H3,(H,17,18)/b10-9-"	Hypogeic acid	253.2178319		M-H	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39																																																																																																																										
CHEBI:85278	C19H30O2	C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O	"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12?,14-,15-,16-,17-,18-,19-/m0/s1"	Dihydrotestosterone	325.1878252		"M+Na-2H, M+Cl"	1	0.850783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	35.3																																																																																																																										
CHEBI:34159	C20H28O3	CCCCC\C=C\C=C1/[C@@H](C\C=C/CCCC(O)=O)C=CC1=O	"InChI=1S/C20H28O3/c1-2-3-4-5-6-10-13-18-17(15-16-19(18)21)12-9-7-8-11-14-20(22)23/h6-7,9-10,13,15-17H,2-5,8,11-12,14H2,1H3,(H,22,23)/b9-7-,10-6+,18-13+/t17-/m0/s1"	"15-Deoxy-d-12,14-PGJ2"	337.184916		"M-H2O-H, M+Na-2H"	1	0.867033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	36.4																																																																																																																										
CHEBI:68946	C18H32O3	CCCCC\C=C/C=C/C(O)CCCCCCCC(O)=O	"InChI=1S/C18H32O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14,17,19H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b8-6-,14-11+"	Alpha-dimorphecolic acid	277.2171078		"M-H2O-H, M+FA-H, 2M-H"	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	38.4																																																																																																																										
CHEBI:59270	C14H28O3	CCCCCCCCCCCCC(O)C(O)=O	"InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)"	2-Hydroxymyristic acid	487.3781333		"M-H2O-H, 2M-H"	1	1.120933333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	38.7																																																																																																																										
CHEBI:89188	C14H22O	OC1=CC=C(C(C)(C)C)C=C1C(C)(C)C	"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3"	"2,4-Di-tert-butylphenol"	249.1478974		M+FA-H	1	0.253583333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.6																																																																																																																										
CHEBI:83051	C19H36O2	CCCCCCCC\C=C/CCCCCCCCC(O)=O	"InChI=1S/C19H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h9-10H,2-8,11-18H2,1H3,(H,20,21)/b10-9-"	10Z-Nonadecenoic acid	341.2691203		M+FA-H	1	0.388666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.9																																																																																																																										
CHEBI:39421	C8HF17O3S	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)"	Perfluorooctanesulfonic acid	498.9297635		M-H	1	0.713666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.7																																																																																																																										
CHEBI:67890	C6H8O3	CC1OC(=O)C(O)=C1C	"InChI=1S/C6H8O3/c1-3-4(2)9-6(8)5(3)7/h4,7H,1-2H3"	"3-Hydroxy-4,5-dimethyl-2(5H)-furanone"	109.0287248		M-H2O-H	1	0.73195	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.2																																																																																																																										
CHEBI:17169	C7H6O	O=Cc1ccccc1	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	Benzaldehyde	151.0399305		M+FA-H	1	0.73195	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39.1																																																																																																																										
CHEBI:6456	C14H22N2O	CCN(CC)CC(=O)Nc1c(C)cccc1C	"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)"	Lidocaine	269.1429955		M+Cl	1	0.741083333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39.1																																																																																																																										
CHEBI:15918	C9H14N3O7P	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)n1	"InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"	dCMP	352.057832		M+FA-H	1	0.750233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.1																																																																																																																										
CHEBI:15882	C6H6O	Oc1ccccc1	"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"	Phenol	93.03512545		M-H	1	0.750233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.6																																																																																																																										
CHEBI:9349	C2H6O2S	CS(C)(=O)=O	"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3"	Dimethyl sulfone	187.0091111		2M-H	1	0.759366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.8																																																																																																																										
CHEBI:74067	C12H24N2O3	CC[C@H](C)[C@H](N)C(=O)N[C@@H]([C@@H](C)CC)C(O)=O	"InChI=1S/C12H24N2O3/c1-5-7(3)9(13)11(15)14-10(12(16)17)8(4)6-2/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t7-,8-,9-,10-/m0/s1"	Isoleucyl-Isoleucine	265.1513093		M+Na-2H	1	0.7868	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.5																																																																																																																										
CHEBI:33569	C8H11NO3	NCC(O)c1ccc(O)c(O)c1	"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2"	Norepinephrine	150.0569653		M-H2O-H	1	0.814216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.5																																																																																																																										
CHEBI:16814	C19H28O5S	C1[C@@]2([C@@]([C@@]3(C(C[C@@H](OS(O)(=O)=O)CC3)=C1)C)(CC[C@]4([C@]2(CCC4=O)[H])C)[H])[H]	"InChI=1S/C19H28O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h3,13-16H,4-11H2,1-2H3,(H,21,22,23)/t13-,14-,15-,16-,18-,19-/m0/s1"	Dehydroepiandrosterone sulfate	367.1601598		M-H	1	0.814216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.2																																																																																																																										
CHEBI:35420	C21H32O5S	C1[C@@]2([C@]3(CC[C@]4(C)[C@@H](C(C)=O)CC[C@]4([C@@]3(CC=C2C[C@H](C1)OS(O)(=O)=O)[H])[H])[H])C	"InChI=1S/C21H32O5S/c1-13(22)17-6-7-18-16-5-4-14-12-15(26-27(23,24)25)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19H,5-12H2,1-3H3,(H,23,24,25)/t15-,16-,17+,18-,19-,20-,21+/m0/s1"	Pregnenolone sulfate	395.1897669		M-H	1	0.805083333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.2																																																																																																																										
CHEBI:72657	C22H34O4	CCC(O)C(O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O	"InChI=1S/C22H34O4/c1-2-20(23)21(24)18-16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19-22(25)26/h3-4,7-10,13-16,20-21,23-24H,2,5-6,11-12,17-19H2,1H3,(H,25,26)/b4-3-,9-7-,10-8-,15-13-,16-14-"	"19,20-DiHDPA"	397.214846		M+Cl	1	0.823366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.1																																																																																																																										
CHEBI:101278	C22H26N2O4S	COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O	"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1"	Diltiazem	449.1306346		M+Cl	1	0.823366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.2																																																																																																																										
CHEBI:771	C21H32O3	[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H]([C@H](O)C[C@@]21[H])C(C)=O	"InChI=1S/C21H32O3/c1-12(22)19-18(24)11-17-15-5-4-13-10-14(23)6-8-20(13,2)16(15)7-9-21(17,19)3/h4,14-19,23-24H,5-11H2,1-3H3/t14-,15+,16-,17-,18+,19-,20-,21-/m0/s1"	16-Hydroxypregnenolone	369.1740508		"M+Na-2H, M+K-2H"	1	0.8325	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.3																																																																																																																										
				MG(0:0/15:0/0:0)	297.2463269		M-H2O-H	1	0.867033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.5																																																																																																																										
CHEBI:17433	C12H15N5O3	Nc1nc2[nH]cc(CN[C@H]3C=C[C@H](O)[C@@H]3O)c2c(=O)[nH]1	"InChI=1S/C12H15N5O3/c13-12-16-10-8(11(20)17-12)5(4-15-10)3-14-6-1-2-7(18)9(6)19/h1-2,4,6-7,9,14,18-19H,3H2,(H4,13,15,16,17,20)/t6-,7-,9+/m0/s1"	Queuine	553.2297245		2M-H	1	0.885316667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.6																																																																																																																										
CHEBI:89509	C9H14S	C=1C=CSC1CCCCC	"InChI=1S/C9H14S/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3"	2-Pentylthiophene	307.1575736		2M-H	1	0.9036	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.7																																																																																																																										
CHEBI:89891	C6H12O	O=C(CCC)CC	"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3"	3-Hexanone	199.1688787		2M-H	1	0.912733333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.9																																																																																																																										
CHEBI:145975	C12H26O2Si	CCCCCCCCC(=O)O[Si](C)(C)C	"InChI=1S/C12H26O2Si/c1-5-6-7-8-9-10-11-12(13)14-15(2,3)4/h5-11H2,1-4H3"	Trimethylsilyl nonanoic acid	275.1681777		M+FA-H	1	0.958433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.9																																																																																																																										
CHEBI:46234	C14H18O4	COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O	"InChI=1S/C14H18O4/c1-8(2)6-7-10-9(3)11(15)13(17-4)14(18-5)12(10)16/h6H,7H2,1-5H3"	Ubiquinone-1	231.1018214		M-H2O-H	1	1.029533333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.6																																																																																																																										
CHEBI:34445	C14H22O	CC(C)(C)CC(C)(C)c1ccc(O)cc1	"InChI=1S/C14H22O/c1-13(2,3)10-14(4,5)11-6-8-12(15)9-7-11/h6-9,15H,10H2,1-5H3"	"4-(1,1,3,3-Tetramethylbutyl)-phenol"	205.1600314		M-H	1	1.038666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39.2																																																																																																																										
CHEBI:17327	C20H40O	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CO	"InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1"	Phytol	341.3054462		M+FA-H	1	1.047816667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.1																																																																																																																										
CHEBI:27226	C5H4N4O3			Uric acid	167.0203031		M-H	1	1.084383333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.9																																																																																																																										
CHEBI:18344	C10H7NO3	OC(=O)c1cc(O)c2ccccc2n1	"InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)"	Kynurenic acid	377.0767149		2M-H	1	1.075233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35																																																																																																																										
CHEBI:18451	C10H20O	CC(C)[C@H]1CC[C@@H](C)C[C@H]1O	"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9-,10-/m1/s1"	(-)-Neoisomenthol	311.2955157		2M-H	1	1.093516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39.6																																																																																																																										
CHEBI:19591	C6H10O	[H]C(=O)C([H])=C([H])CCC	"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3"	2-Hexenal	195.1384754		2M-H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.5																																																																																																																										
CHEBI:30746	C7H6O2	OC(=O)c1ccccc1	"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"	Benzoic acid	121.0287988		M-H	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.5																																																																																																																										
CHEBI:83051	C19H36O2	CCCCCCCC\C=C/CCCCCCCCC(O)=O	"InChI=1S/C19H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h9-10H,2-8,11-18H2,1H3,(H,20,21)/b10-9-"	10Z-Nonadecenoic acid	341.269289		M+FA-H	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37																																																																																																																										
CHEBI:89891	C6H12O	O=C(CCC)CC	"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3"	3-Hexanone	199.1695934		2M-H	1	1.120933333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39																																																																																																																										
CHEBI:89815	C13H26	C=CCCCCCCCCCCC	"InChI=1S/C13H26/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3H,1,4-13H2,2H3"	1-Tridecene	227.2019028		M+FA-H	1	1.120933333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	39.1																																																																																																																										
CHEBI:77930	C11H24O	CCCCCCCCCC(C)O	"InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11(2)12/h11-12H,3-10H2,1-2H3"	2-Undecanol	193.1589947		"M+Na-2H, M+K-2H"	1	1.139216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.6																																																																																																																										
CHEBI:73608	C15H23N3O4	NCCCC[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O	"InChI=1S/C15H23N3O4/c16-8-2-1-3-12(17)14(20)18-13(15(21)22)9-10-4-6-11(19)7-5-10/h4-7,12-13,19H,1-3,8-9,16-17H2,(H,18,20)(H,21,22)/t12-,13-/m0/s1"	Lysyl-Tyrosine	290.1496178		M-H2O-H	1	1.148366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.5																																																																																																																										
CHEBI:27373	C9H19NO4	CC(C)(CO)[C@@H](O)C(=O)NCCCO	"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1"	Pantothenol	242.0806964		M+K-2H	1	10.47783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.2																																																																																																																										
CHEBI:64349	C7H16N2O2	CNCCCCC(N)C(O)=O	"InChI=1S/C7H16N2O2/c1-9-5-3-2-4-6(8)7(10)11/h6,9H,2-5,8H2,1H3,(H,10,11)"	N(6)-Methyllysine	159.1133296		M-H	1	11.12785	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.1																																																																																																																										
CHEBI:74823	C8H16N2O4	CC(C)[C@H](NC(=O)[C@@H](N)CO)C(O)=O	"InChI=1S/C8H16N2O4/c1-4(2)6(8(13)14)10-7(12)5(9)3-11/h4-6,11H,3,9H2,1-2H3,(H,10,12)(H,13,14)/t5-,6-/m0/s1"	Serylvaline	203.1027323		"M-H2O-H, M-H"	1	11.13698333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.3																																																																																																																										
CHEBI:46234	C14H18O4	COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O	"InChI=1S/C14H18O4/c1-8(2)6-7-10-9(3)11(15)13(17-4)14(18-5)12(10)16/h6H,7H2,1-5H3"	Ubiquinone-1	231.1015102		M-H2O-H	1	19.11118333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.4																																																																																																																										
CHEBI:80550	C17H32O2	CCCCCCC\C=C\CCCCCCCC(O)=O	"InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h8-9H,2-7,10-16H2,1H3,(H,18,19)/b9-8+"	9E-Heptadecenoic acid	267.2318512		M-H	1	19.16603333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.1																																																																																																																										
CHEBI:83051	C19H36O2	CCCCCCCC\C=C/CCCCCCCCC(O)=O	"InChI=1S/C19H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h9-10H,2-8,11-18H2,1H3,(H,20,21)/b10-9-"	10Z-Nonadecenoic acid	341.2691177		M+FA-H	1	19.4179	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37																																																																																																																										
CHEBI:89509	C9H14S	C=1C=CSC1CCCCC	"InChI=1S/C9H14S/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3"	2-Pentylthiophene	307.1541403		2M-H	1	19.46361667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.2																																																																																																																										
				DG(15:0/20:1(11Z)/0:0)	589.5167887		M-H2O-H	1	19.50016667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.2																																																																																																																										
CHEBI:16196	C18H34O2	CCCCCCCC\C=C/CCCCCCCC(O)=O	"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"	Oleic acid	281.248137		M-H	1	19.5276	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.8																																																																																																																										
CHEBI:30805	C12H24O2	CCCCCCCCCCCC(O)=O	"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"	Dodecanoic acid	221.1535966		"M-H, M+Na-2H"	1	19.65353333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.2																																																																																																																										
CHEBI:88829	C16H24O3	CC(C)(C)C=1C=C(C=C(C1O)C(C)(C)C)C(=O)OC	"InChI=1S/C16H24O3/c1-15(2,3)11-8-10(14(18)19-7)9-12(13(11)17)16(4,5)6/h8-9,17H,1-7H3"	"3,5-Bis(1,1-dimethylethyl)-4-hydroxy-benzoic acid ethyl ester"	309.1705251		M+FA-H	1	19.65353333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	38.4																																																																																																																										
