database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180928_QC_14	20180928_QC_13	20180928_QC_16	20180928_QC_15	20180928_R087	20180928_R120	20180928_R089	20180928_R083	20180928_R084	20180928_R085	20181002_QC_11	20180928_R086	20181002_QC_10	20180928_QC_18	20180928_QC_17	20180928_R080	20180928_R081	20180928_QC_19	20181002_QC_09	20180928_R098	20180928_R099	20180928_R095	20180928_R097	20180928_R090	20180928_R091	20180928_R092	20180928_R093	20180924_R042	20180924_R041	20180924_R044	20180924_R046	20180924_R045	20180924_R048	20180924_R047	20180924_R050	20180924_R020	20180924_R024	20180924_R023	20180924_R026	20180924_R025	20180924_R028	20180924_R029	20180924_QC_20	20180924_QC_21	20180924_R031	20180924_R030	20180924_R033	20180924_R032	20180924_R035	20180924_QC_17	20180924_R037	20180924_QC_18	20180924_QC_19	20180924_R039	20180924_R038	20180924_QC_13	20180924_QC_14	20180924_QC_15	20180924_QC_16	20180924_R001	20180928_R107	20180928_R108	20180928_R109	20180928_R069	20180928_R102	20180928_R103	20180928_R104	20180928_R105	20180928_R066	20180928_R067	20180928_R100	20180928_R068	20180928_R101	20180924_R004	20180928_R062	20180924_R006	20180928_R063	20180924_R005	20180928_R064	20180924_R008	20181002_R060	20180924_R007	20180924_R009	20181002_R061	20180924_R011	20180924_R010	20180924_R013	20180924_R012	20180928_R118	20180928_R119	20180928_R114	20180928_R115	20180928_QC_21	20180928_R076	20180928_QC_20	20181002_R056	20180928_R077	20180928_R110	20180928_QC_23	20180928_R078	20180928_R111	20180928_QC_22	20180928_R112	20180924_R015	20181002_R053	20180928_R072	20180924_R014	20181002_R052	20180928_R073	20180924_R017	20181002_R055	20180924_R016	20181002_R054	20180928_R075	20180924_R019	20180924_R018	20181002_R051	20180928_R070	20180928_R071
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)"	Heptadecanoic acid	269.2489664		M-H	1	0.262733333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.3																																																																																																																										
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)"	Heptadecanoic acid	269.248899		M-H	1	19.37423333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.3																																																																																																																										
CHEBI:64349	C7H16N2O2	CNCCCCC(N)C(O)=O	"InChI=1S/C7H16N2O2/c1-9-5-3-2-4-6(8)7(10)11/h6,9H,2-5,8H2,1H3,(H,10,11)"	N(6)-Methyllysine	319.2338892		2M-H	1	0.958433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	52.5																																																																																																																										
CHEBI:89079	C27H44O3	C1CC(\C(\C[C@H]1O)=C/C=C\2/CC[C@]3([C@](C2)(CC[C@@]3([C@H](C)CCCC(CO)(C)O)[H])[H])C)=C	"InChI=1S/C27H44O3/c1-19-7-11-24(29)17-22(19)9-8-21-13-15-27(4)23(16-21)10-12-25(27)20(2)6-5-14-26(3,30)18-28/h8-9,20,23-25,28-30H,1,5-7,10-18H2,2-4H3/b21-8-,22-9-/t20-,23+,24+,25-,26?,27+/m1/s1"	"25,26-dihydroxyvitamin D"	415.3218209		M-H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	54.6																																																																																																																										
CHEBI:28792	C22H42O2	CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O	"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-"	Erucic acid	359.2952222		"M-H, M+Na-2H"	1	1.093516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	53.6																																																																																																																										
CHEBI:89753	C28H48O5	C1[C@H](C[C@@]2([C@](C1)([C@@]3([C@@]([C@@H](C2)O)([C@]4([C@]([C@H](C3)O)([C@H](CC4)[C@@H](CCCC(C)C)C)C)[H])[H])[H])C)C(O)=O)O	"InChI=1S/C28H48O5/c1-16(2)7-6-8-17(3)19-9-10-20-24-21(13-23(31)27(19,20)5)26(4)12-11-18(29)14-28(26,25(32)33)15-22(24)30/h16-24,29-31H,6-15H2,1-5H3,(H,32,33)/t17-,18-,19-,20+,21+,22-,23+,24+,26-,27-,28+/m1/s1"	Trihydroxycoprostanoic acid	485.3479492		"M-H, M+Na-2H, M-H2O-H"	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.3																																																																																																																										
CHEBI:39246	C19H38O2	CCCCCCCCCCCCCCCCCCC(O)=O	"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)"	Nonadecanoic acid	297.2792092		M-H	1	0.434366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.6																																																																																																																										
CHEBI:28623	C28H48O	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C	"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3/t19-,20-,22+,23+,24-,25+,26+,27+,28-/m1/s1"	Campesterol	445.3682823		M+FA-H	1	1.029533333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	51																																																																																																																										
CHEBI:17351	C18H32O2	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-"	Linoleic acid	301.2174294		M+Na-2H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	49.5																																																																																																																										
CHEBI:28592	C18H34O3	OC(CCCCCCC/C=C\C[C@@H](CCCCCC)O)=O	"InChI=1S/C18H34O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h9,12,17,19H,2-8,10-11,13-16H2,1H3,(H,20,21)/b12-9-/t17-/m1/s1"	Ricinoleic acid	297.2430355		M-H	1	19.69923333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	48.7																																																																																																																										
