database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180817_R030	20180817_R031	20180817_R032	20180817_R033	20180817_R035	20180817_R037	20180817_R038	20180817_R039	20180817_QC_19	20180817_QC_18	20180817_QC_11	20180817_R020	20180817_QC_13	20180817_QC_12	20180817_R023	20180817_QC_15	20180817_R024	20180817_QC_14	20180817_R025	20180817_QC_17	20180817_R026	20180817_QC_16	20180817_R028	20180817_R029	20180817_QC_20	20180821_QC_18	20180821_QC_17	20180817_R050	20180817_R051	20180821_QC_19	20180817_R052	20180817_R053	20180817_R054	20180817_R055	20180817_R056	20180821_QC_20	20180817_R041	20180817_R042	20180817_R044	20180817_R045	20180817_R046	20180817_R047	20180817_R048	20180821_QC_14	20180821_QC_13	20180821_QC_16	20180821_QC_15	20180821_QC_12	20180821_QC_11	20180821_R080	20180821_R081	20180821_R084	20180821_R083	20180821_R086	20180821_R085	20180821_R087	20180821_R120	20180821_R089	20180821_R091	20180821_R090	20180821_R093	20180821_R092	20180817_R060	20180821_R095	20180817_R061	20180821_R097	20180821_R099	20180821_R098	20180821_R062	20180821_R064	20180821_R063	20180817_R010	20180817_R011	20180817_R012	20180817_R013	20180817_R014	20180817_R015	20180817_R016	20180817_R017	20180821_R107	20180817_R018	20180817_R019	20180821_R109	20180821_R108	20180821_R066	20180821_R068	20180821_R101	20180821_R067	20180821_R100	20180821_R103	20180821_R069	20180821_R102	20180821_R105	20180828_R_075	20180821_R104	20180821_R071	20180821_R070	20180821_R073	20180821_R072	20180817_R001	20180817_R004	20180817_R005	20180817_R006	20180821_R118	20180817_R007	20180817_R008	20180817_R009	20180821_R119	20180821_R077	20180821_R110	20180821_R076	20180821_R112	20180821_R078	20180821_R111	20180821_R114	20180821_R115
CHEBI:72959	C34H67NO3	[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)(CO)NC(=O)CCCCCCCCCCCCCCC	"InChI=1S/C34H67NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,32-33,36-37H,3-26,28,30-31H2,1-2H3,(H,35,38)/b29-27+/t32-,33+/m0/s1"	N-Palmitoylsphingosine	520.5075201		"M+H-2H2O, M+H-H2O, M+H, M+Na, M+K"	1	19.37171667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.3																																																																																																																							
CHEBI:88539	C18H28N4O8	O[C@@H](C[N+]=1C=C(C(C[C@H](N)C(O)=O)=C(O)C1)CC[C@H](N)C(O)=O)CC[C@H](N)C([O-])=O	"InChI=1S/C18H28N4O8/c19-12(16(25)26)3-1-9-6-22(7-10(23)2-4-13(20)17(27)28)8-15(24)11(9)5-14(21)18(29)30/h6,8,10,12-14,23H,1-5,7,19-21H2,(H3-,24,25,26,27,28,29,30)/t10-,12+,13+,14+/m1/s1"	Pyridinoline	393.1760832		M+H-2H2O	1	6.677366667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.7																																																																																																																							
CHEBI:16933	C28H44O	[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@H](C)C(C)C	"InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+/t19-,20+,22-,24+,25-,26-,27-,28+/m0/s1"	Ergosterol	435.3044277		M+K	1	11.4802	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.9																																																																																																																							
CHEBI:28934	C28H44O	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C	"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13-/t20-,22+,25-,26+,27-,28+/m0/s1"	Ergocalciferol	379.3398748		M+H-H2O	1	13.81661667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	34.3																																																																																																																							
CHEBI:17033	C33H34N4O6	CC1=C(CCC(O)=O)\C(/N=C1/C=C1NC(=O)C(C=C)=C/1C)=C\c1[nH]c(\C=C2NC(=O)C(C)=C/2C=C)c(C)c1CCC(O)=O	"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,35H,1-2,9-12H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-,28-15-"	Biliverdin	583.255282		M+H	1	6.4185	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47.4																																																																																																																							
CHEBI:18185	C28H48O2	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1	"InChI=1S/C28H48O2/c1-20(2)11-8-12-21(3)13-9-14-22(4)15-10-17-28(7)18-16-25-19-26(29)23(5)24(6)27(25)30-28/h19-22,29H,8-18H2,1-7H3/t21-,22-,28-/m1/s1"	Gamma-Tocopherol	455.3298012		M+K	1	9.818733333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.1																																																																																																																							
CHEBI:18185	C28H48O2	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1	"InChI=1S/C28H48O2/c1-20(2)11-8-12-21(3)13-9-14-22(4)15-10-17-28(7)18-16-25-19-26(29)23(5)24(6)27(25)30-28/h19-22,29H,8-18H2,1-7H3/t21-,22-,28-/m1/s1"	Gamma-Tocopherol	455.330898		M+K	1	10.0006	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.8																																																																																																																							
CHEBI:73060	C21H39NO4	CCCCCCCC\C=C/CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/b13-12-"	cis-5-Tetradecenoylcarnitine	392.2793208		M+Na	1	9.930683333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.3																																																																																																																							
CHEBI:145962	C40H54O2	OC1CC(C(C(=C1)C)\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(\C=C\C=C(\C=C\C2C(CC(=O)C=C2C)(C)C)/C)/C)(C)C	"InChI=1S/C40H54O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-26,35,37-38,41H,27-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+"	"3'-Hydroxy-e,e-caroten-3-one"	549.4108221		M+H-H2O	1	18.00416667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.4																																																																																																																							
CHEBI:145971	C40H52O2	O=C1CC(C(C(=C1)C)\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(\C=C\C=C(\C=C\C2C(CC(=O)C=C2C)(C)C)/C)/C)(C)C	"InChI=1S/C40H52O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-26,37-38H,27-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+"	"e,e-Carotene-3,3'-dione"	565.4013271		"M+H, M+Na"	1	13.98101667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.1																																																																																																																							
CHEBI:10223	C40H56O	CC(\C=C\C=C(C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	"InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,28,36,38,41H,15,22,27,29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-,38-/m0/s1"	Alpha-Cryptoxanthin	535.4306651		M+H-H2O	1	18.69668333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.6																																																																																																																							
