database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180830_R008	20180830_R007	20180830_R006	20180830_R005	20180830_R009	20180830_R004	20180830_R001	20180903_R095	20180903_R097	20180903_R098	20180903_R099	20180903_QC_20	20180903_QC_21	20180903_R090	20180903_R091	20180903_R092	20180903_R093	20180903_QC_16	20180903_QC_17	20180903_QC_18	20180903_QC_19	20180903_QC_12	20180903_QC_13	20180830_R061	20180903_QC_14	20180830_R060	20180903_QC_15	20180830_R055	20180830_R054	20180830_R053	20180903_QC_11	20180830_R052	20180830_R056	20180830_R051	20180830_R050	20180903_R073	20180903_R075	20180903_R076	20180903_R077	20180903_R110	20180903_R078	20180903_R111	20180903_R112	20180830_R044	20180830_R042	20180830_R041	20180830_R048	20180830_R047	20180903_R070	20180830_R046	20180903_R071	20180830_R045	20180903_R072	20180903_R114	20180903_R115	20180903_R118	20180903_R119	20180830_QC_19	20180903_R084	20180903_R085	20180830_R039	20180903_R086	20180830_R038	20180903_R087	20180903_R120	20180903_R089	20180830_R033	20180830_R032	20180830_R031	20180830_R030	20180830_R037	20180903_R080	20180903_R081	20180830_R035	20180903_R083	20180830_QC_20	20180830_QC_21	20180830_R029	20180830_R028	20180830_R020	20180830_R026	20180830_R025	20180830_R024	20180830_R023	20180830_QC_15	20180830_QC_16	20180830_QC_17	20180830_QC_18	20180830_R019	20180903_R062	20180830_R018	20180903_R063	20180830_R017	20180903_R064	20180830_R016	20180903_R066	20180903_R067	20180903_R100	20180903_R068	20180903_R101	20180903_R069	20180903_R102	20180830_R011	20180830_R010	20180830_R015	20180830_R014	20180830_R013	20180830_R012	20180903_R103	20180903_R104	20180903_R105	20180903_R107	20180903_R108	20180903_R109
CHEBI:82965	C10H18N2O5S	C(=O)([C@@H](NC(=O)CC[C@@H](C(=O)O)N)CCSC)O	"InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-8(13)3-2-6(11)9(14)15/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)(H,16,17)/t6-,7-/m0/s1"	gamma-Glutamylmethionine	315.0410176		M+K-2H	1	0.6809	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	51.4																																																																																																																					
CHEBI:65101	C16H32O3	CCCCCCCCCCCCCCC(O)C(O)=O	"InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(17)16(18)19/h15,17H,2-14H2,1H3,(H,18,19)"	2-Hydroxyhexadecanoic acid	271.2272534		"M-H, M+Na-2H"	1	9.109	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	52.4																																																																																																																					
CHEBI:132611	C16H20O6	C=1C=CC(=C(C1)C(=O)OCC(CC)CCCC(=O)O)C(=O)O	"InChI=1S/C16H20O6/c1-2-11(6-5-9-14(17)18)10-22-16(21)13-8-4-3-7-12(13)15(19)20/h3-4,7-8,11H,2,5-6,9-10H2,1H3,(H,17,18)(H,19,20)"	Mono-(2-ethyl-5-carboxypentyl) phthalate	289.1076461		M-H2O-H	1	5.871316667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	52.4																																																																																																																					
CHEBI:133086	C18H34O4	C(CCCCCCCC(=O)O)CCCCCCCCC(=O)O	"InChI=1S/C18H34O4/c19-17(20)15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18(21)22/h1-16H2,(H,19,20)(H,21,22)"	Octadecanedioic acid	313.2369394		M-H	1	9.021616667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.3																																																																																																																					
CHEBI:28610	C26H52NO7P	O(C[C@H](O)COC(CCCCCCC/C=C\CCCCCCCC)=O)P(OCC[N+](C)(C)C)(=O)[O-]	"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1"	LysoPC(18:1(9Z))	556.3173303		M+Cl	1	8.667033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.5																																																																																																																					
CHEBI:131743	C21H44NO7P	P(OC[C@@H](CO)OC(CCCCCCCCCCCCCCC)=O)(=O)(OCCN)O	"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1"	LysoPE(0:0/16:0)	474.2614658		M+Na-2H	1	9.917116667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	53.1																																																																																																																					
CHEBI:75036	C23H48NO7P	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[NH3+]	"InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1"	LysoPE(18:0/0:0)	462.3003649		M-H2O-H	1	8.940433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	52.5																																																																																																																					
CHEBI:74820	C8H14N2O4	N[C@@H](CO)C(=O)N1CCC[C@H]1C(O)=O	"InChI=1S/C8H14N2O4/c9-5(4-11)7(12)10-3-1-2-6(10)8(13)14/h5-6,11H,1-4,9H2,(H,13,14)/t5-,6-/m0/s1"	Serylproline	247.0936684		"M-H, M+FA-H"	1	0.576033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	53																																																																																																																					
CHEBI:74820	C8H14N2O4	N[C@@H](CO)C(=O)N1CCC[C@H]1C(O)=O	"InChI=1S/C8H14N2O4/c9-5(4-11)7(12)10-3-1-2-6(10)8(13)14/h5-6,11H,1-4,9H2,(H,13,14)/t5-,6-/m0/s1"	Serylproline	201.0872179		M-H	1	1.046766667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	51.5																																																																																																																					
CHEBI:133086	C18H34O4	C(CCCCCCCC(=O)O)CCCCCCCCC(=O)O	"InChI=1S/C18H34O4/c19-17(20)15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18(21)22/h1-16H2,(H,19,20)(H,21,22)"	Octadecanedioic acid	313.2376495		"M-H2O-H, M-H"	1	12.1085	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	49.5																																																																																																																					
CHEBI:145254	C23H46NO7P	C([C@@](CO)(OC(CCCCCCCCC/C=C\CCCCCC)=O)[H])OP(=O)(O)OCCN	"InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)31-22(20-25)21-30-32(27,28)29-19-18-24/h7-8,22,25H,2-6,9-21,24H2,1H3,(H,27,28)/b8-7-/t22-/m1/s1"	LysoPE(0:0/18:1(11Z))	478.2922689		M-H	1	9.998283333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.5																																																																																																																					
CHEBI:27373	C9H19NO4	CC(C)(CO)[C@@H](O)C(=O)NCCCO	"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1"	Pantothenol	242.0791377		M+K-2H	1	0.6809	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	51																																																																																																																					
CHEBI:137889	C26H54NO6P	P(OC[C@@H](CO/C=C/*)O)(=O)(OCC[N+](C)(C)C)[O-]		LysoPC(P-18:0)	542.3368278		M+Cl	1	8.940433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50																																																																																																																					
CHEBI:89741	C13H22O3	C(C(=O)OC)[C@@H]1[C@H](C(CC1)=O)CCCCC	"InChI=1S/C13H22O3/c1-3-4-5-6-11-10(7-8-12(11)14)9-13(15)16-2/h10-11H,3-9H2,1-2H3/t10-,11-/m1/s1"	Methyl dihydrojasmonate	207.1407239		M-H2O-H	1	6.5106	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	49.6																																																																																																																					
CHEBI:89741	C13H22O3	C(C(=O)OC)[C@@H]1[C@H](C(CC1)=O)CCCCC	"InChI=1S/C13H22O3/c1-3-4-5-6-11-10(7-8-12(11)14)9-13(15)16-2/h10-11H,3-9H2,1-2H3/t10-,11-/m1/s1"	Methyl dihydrojasmonate	225.150323		M-H	1	5.569166667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	50.7																																																																																																																					
CHEBI:64489	C22H46NO7P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@](COC(=O)CCCCCCCCCCCCC)([H])O	"InChI=1S/C22H46NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-22(25)28-19-21(24)20-30-31(26,27)29-18-17-23(2,3)4/h21,24H,5-20H2,1-4H3/t21-/m1/s1"	LysoPC(14:0/0:0)	466.2926744		M-H	1	7.591833333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	48.3																																																																																																																					
				"MG(0:0/20:2(11Z,14Z)/0:0)"	763.6027182		2M-H	1	8.940433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	41.2																																																																																																																					
CHEBI:72736	C23H48NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LysoPC(15:0)	502.293259		M+Na-2H	1	8.3299	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	48.2																																																																																																																					
CHEBI:131692	C25H48NO7P	C(OP(=O)(OCCN)O)[C@@H](CO)OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O	"InChI=1S/C25H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)33-24(22-27)23-32-34(29,30)31-21-20-26/h6-7,9-10,24,27H,2-5,8,11-23,26H2,1H3,(H,29,30)/b7-6-,10-9-/t24-/m1/s1"	"LysoPE(0:0/20:2(11Z,14Z))"	550.3136321		M+FA-H	1	8.888016667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47																																																																																																																					
CHEBI:82914	C7H8O4S	Cc1ccc(OS(O)(=O)=O)cc1	"InChI=1S/C7H8O4S/c1-6-2-4-7(5-3-6)11-12(8,9)10/h2-5H,1H3,(H,8,9,10)"	p-Cresol sulfate	187.0078428		M-H	1	3.91235	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	49.1																																																																																																																					
CHEBI:82968	C9H16N2O6	CC(O)C(NC(=O)CCC(N)C(O)=O)C(O)=O	"InChI=1S/C9H16N2O6/c1-4(12)7(9(16)17)11-6(13)3-2-5(10)8(14)15/h4-5,7,12H,2-3,10H2,1H3,(H,11,13)(H,14,15)(H,16,17)"	gamma-Glutamylthreonine	269.0742475		M+Na-2H	1	0.70965	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47.2																																																																																																																					
CHEBI:75021	C8H16N2O4	CC(C)[C@H](N)C(=O)N[C@@H](CO)C(O)=O	"InChI=1S/C8H16N2O4/c1-4(2)6(9)7(12)10-5(3-11)8(13)14/h4-6,11H,3,9H2,1-2H3,(H,10,12)(H,13,14)/t5-,6-/m0/s1"	Valyl-Serine	225.0845973		M+Na-2H	1	0.593516667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	46.9																																																																																																																					
CHEBI:36206	C12H24O3	CCCCCCCCCC(O)CC(O)=O	"InChI=1S/C12H24O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15/h11,13H,2-10H2,1H3,(H,14,15)"	3-Hydroxydodecanoic acid	253.1219643		M+K-2H	1	4.877466667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	47.3																																																																																																																					
CHEBI:89060	C24H40O7S	[C@H]1(CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@@]2(C1)[H])O)[H])[H])[C@@H](CCC(=O)O)C)C)[H])C)OS(=O)(=O)O	"InChI=1S/C24H40O7S/c1-14(4-7-21(26)27)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(31-32(28,29)30)12-15(23)13-20(22)25/h14-20,22,25H,4-13H2,1-3H3,(H,26,27)(H,28,29,30)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1"	Chenodeoxycholic acid 3-sulfate	507.2233533		M+Cl	1	6.7141	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	45.9																																																																																																																					
CHEBI:75036	C23H48NO7P	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[NH3+]	"InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1"	LysoPE(18:0/0:0)	480.3132157		"M-H, 2M-H"	1	9.5101	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	45.6																																																																																																																					
CHEBI:145971	C40H52O2	O=C1CC(C(C(=C1)C)\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(\C=C\C=C(\C=C\C2C(CC(=O)C=C2C)(C)C)/C)/C)(C)C	"InChI=1S/C40H52O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-26,37-38H,27-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+"	"e,e-Carotene-3,3'-dione"	599.366357		M+Cl	1	6.981316667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	42.6																																																																																																																					
				MG(0:0/15:0/0:0)	353.2131106		M+K-2H	1	13.1837	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	43.4																																																																																																																					
CHEBI:88544	C23H43NO4	[C@H](CCC([O-])=O)([N+](C)(C)C)OC(CCCCCCC/C=C\CCCCCC)=O	"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(24(2,3)4)19-20-22(25)26/h10-11,21H,5-9,12-20H2,1-4H3/b11-10-/t21-/m0/s1"	9-Hexadecenoylcarnitine	478.2936368		M+K-2H	1	7.591833333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	46																																																																																																																					
CHEBI:82968	C9H16N2O6	CC(O)C(NC(=O)CCC(N)C(O)=O)C(O)=O	"InChI=1S/C9H16N2O6/c1-4(12)7(9(16)17)11-6(13)3-2-5(10)8(14)15/h4-5,7,12H,2-3,10H2,1H3,(H,11,13)(H,14,15)(H,16,17)"	gamma-Glutamylthreonine	247.0938045		"M-H2O-H, M-H"	1	1.046766667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	45.3																																																																																																																					
CHEBI:73074	C25H49NO4	CCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3"	Stearoylcarnitine	464.3171312		M+K-2H	1	9.917116667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	43.8																																																																																																																					
CHEBI:63800	C10H13N3O	NC(=N)N1CC(O)c2ccccc2C1	"InChI=1S/C10H13N3O/c11-10(12)13-5-7-3-1-2-4-8(7)9(14)6-13/h1-4,9,14H,5-6H2,(H3,11,12)"	4-Hydroxydebrisoquine	236.1044554		M+FA-H	1	6.795283333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	44.7																																																																																																																					
CHEBI:89538	C12H14O7S	C=1(C=C(C=C(C1)O)CC2OC(CC2)=O)OS(=O)(=O)OC	"InChI=1S/C12H14O7S/c1-17-20(15,16)19-11-6-8(4-9(13)7-11)5-10-2-3-12(14)18-10/h4,6-7,10,13H,2-3,5H2,1H3"	"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone-O-sulphate-O-methyl"	301.0329202		"M-H2O-H, M-H"	1	0.576033333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	42.1																																																																																																																					
CHEBI:60175	C6H14N2O3	NCC(O)CCC(N)C(O)=O	"InChI=1S/C6H14N2O3/c7-3-4(9)1-2-5(8)6(10)11/h4-5,9H,1-3,7-8H2,(H,10,11)"	5-Hydroxylysine	323.1855463		"M+FA-H, 2M-H"	1	8.399816667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	43																																																																																																																					
CHEBI:83058	C23H44NO7P	O(C(=O)CCCCCCC/C=C\C/C=C\CCCCC)C[C@H](COP(OCCN)(=O)O)O	"InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1"	"LysoPE(18:2(9Z,12Z)/0:0)"	498.2619992		M+Na-2H	1	7.30095	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	42.1																																																																																																																					
CHEBI:73713	C11H20O4	OC(=O)CCCCCCCCCC(O)=O	"InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)"	Undecanedioic acid	215.1287685		"M-H2O-H, M-H"	1	5.383133333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	42.2																																																																																																																					
CHEBI:82846	C22H38O2			Docosatrienoic acid	333.2789392		M-H	1	12.96891667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.5																																																																																																																					
CHEBI:34247	C15H24O	Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	"InChI=1S/C15H24O/c1-10-8-11(14(2,3)4)13(16)12(9-10)15(5,6)7/h8-9,16H,1-7H3"	"2,6-Di-tert-butyl-4-methylphenol"	265.1798298		"M-H, M+FA-H"	1	6.998783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.2																																																																																																																					
CHEBI:28125	C22H32O2	C(\C/C=C\C/C=C\C/C=C\CC)=C\C/C=C\C/C=C\CCC(=O)O	"InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-"	"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate"	327.2345221		M-H	1	11.04458333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	41.8																																																																																																																					
CHEBI:15394	C10H18O	CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2	"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3/t7-,8+,10+/m0/s1"	(-)-Borneol	199.1331671		M+FA-H	1	6.795283333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.1																																																																																																																					
CHEBI:89430	C21H36N8O6	O=C(NCC(=O)N1[C@@H](CCC1)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)[C@H]2N(CCC2)C(=O)[C@@H](N)C	"InChI=1S/C21H36N8O6/c1-12(22)19(33)29-10-4-6-14(29)17(31)26-11-16(30)28-9-3-7-15(28)18(32)27-13(20(34)35)5-2-8-25-21(23)24/h12-15H,2-11,22H2,1H3,(H,26,31)(H,27,32)(H,34,35)(H4,23,24,25)/t12-,13-,14-,15-/m0/s1"	APGPR Enterostatin	477.260983		M-H2O-H	1	9.34125	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.1																																																																																																																					
CHEBI:35465	C16H30O2	CCCCCCCC\C=C/CCCCCC(O)=O	"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h9-10H,2-8,11-15H2,1H3,(H,17,18)/b10-9-"	Hypogeic acid	275.2003633		M+Na-2H	1	9.980816667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.7																																																																																																																					
CHEBI:89991	C18H30O6	O[C@@H](CCCCC)/C=C/[C@H]1OC(O)C[C@H](O)[C@@H]1C/C=C\CC(O)=O	"InChI=1S/C18H30O6/c1-2-3-4-7-13(19)10-11-16-14(8-5-6-9-17(21)22)15(20)12-18(23)24-16/h5-6,10-11,13-16,18-20,23H,2-4,7-9,12H2,1H3,(H,21,22)/b6-5-,11-10+/t13-,14-,15-,16+,18?/m0/s1"	"2,3-Dinor-TXB2"	323.1852876		M-H2O-H	1	7.725566667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.6																																																																																																																					
CHEBI:88591	C13H16O3	CC/C(=C(/CCOC(C1=CC=CC=C1O)=O)\[H])/[H]	"InChI=1S/C13H16O3/c1-2-3-4-7-10-16-13(15)11-8-5-6-9-12(11)14/h3-6,8-9,14H,2,7,10H2,1H3/b4-3+"	3-Hexenyl salicylic acid	219.1017109		"M-H, M+FA-H"	1	7.114916667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	39.6																																																																																																																					
CHEBI:72959	C34H67NO3	[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)(CO)NC(=O)CCCCCCCCCCCCCCC	"InChI=1S/C34H67NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,32-33,36-37H,3-26,28,30-31H2,1-2H3,(H,35,38)/b29-27+/t32-,33+/m0/s1"	N-Palmitoylsphingosine	582.5075137		M+FA-H	1	9.323783333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	34.6																																																																																																																					
CHEBI:89823	C40H74NO10P	[H][C@](COP(OC[C@@](COC(CCCCCCCCCCCCCCC)=O)(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)[H])(=O)O)(C(O)=O)N	"InChI=1S/C40H74NO10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(43)51-36(34-49-52(46,47)50-35-37(41)40(44)45)33-48-38(42)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,36-37H,3-10,12,14-16,19-35,41H2,1-2H3,(H,44,45)(H,46,47)/b13-11-,18-17-/t36-,37+/m1/s1"	"PS(16:0/18:2(9Z,12Z))"	804.5026748		M+FA-H	1	8.382333333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	36.1																																																																																																																					
CHEBI:72747	C27H44NO7P	[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCCN	"InChI=1S/C27H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-27(30)33-24-26(29)25-35-36(31,32)34-23-22-28/h3-4,6-7,9-10,12-13,15-16,18-19,26,29H,2,5,8,11,14,17,20-25,28H2,1H3,(H,31,32)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-/t26-/m1/s1"	"LysoPE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	524.2790741		M-H	1	7.789266667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.4																																																																																																																					
CHEBI:73004	C21H44NO7P	[C@@H](COC(=O)CCCCCCCCCCCCCCC)(COP(OCC[NH3+])(=O)[O-])O	"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1"	LysoPE(16:0/0:0)	452.2798583		M-H	1	9.2426	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.3																																																																																																																					
CHEBI:16450	C9H12N2O5	OC[C@H]1O[C@H](C[C@@H]1O)n1ccc(=O)[nH]c1=O	"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1"	Deoxyuridine	273.0733895		M+FA-H	1	1.046766667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	40.5																																																																																																																					
