"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20180817_R001"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R001"	"20180817_R001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R004"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R004"	"20180817_R004.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R005"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R005"	"20180817_R005.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R006"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R006"	"20180817_R006.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R007"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R007"	"20180817_R007.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R008"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R008"	"20180817_R008.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R009"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R009"	"20180817_R009.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R010"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R010"	"20180817_R010.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R011"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R011"	"20180817_R011.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R012"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R012"	"20180817_R012.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R013"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R013"	"20180817_R013.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
"20180817_R014"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180817_R014"	"20180817_R014.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_POS_RP_mass_spectrometry_v2_maf.tsv"
